Product Key,Product Name,Product Type,Product Family,Product Line,Product Group,Product Description,Sku Number,Price,Cost Amount,Quantity on Hand
23,"23-M Series   55"" Class (55"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   55"" Class (55"" Diag.)",HD2346469246,172.5,233.694788329,3
24,"24-60"" Class (60"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,VIZIO,"60"" Class (60"" Diag.)   LED   2160p",HD5000774137,382.5,137.865788329,2
25,"25-M Series   70"" Class (69.5"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   70"" Class (69.5"" Diag.)",HD6548384322,388.0,5.956065988,1
26,"26-48"" Class (47.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"48"" Class (47.6"" Diag.)   LED   2160p",HD7090510318,335.5,238.478160442,2
27,"27-55"" Class (54.6"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   Curved",HD6117938607,529.5,20.351705862,1
28,"28-65"" Class (64.5"" Diag.)   2160p   Smart",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   2160p   Smart",HD1631775708,482.5,48.441959319,1
29,"29-43"" Class (42.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"43"" Class (42.5"" Diag.)   LED   2160p",HD8655463393,4099.5,43.892872815,1
30,"30-AQUOS   55"" Class (54.6"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   55"" Class (54.6"" Diag.)   LED",HD9727896682,214.5,30.601922394,1
31,"31-75"" Class (74.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"75"" Class (74.5"" Diag.)   LED   2160p",HD1459001333,167.5,199.648195367,3
32,"32-AQUOS   43"" Class (42.5"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   43"" Class (42.5"" Diag.)   LED",HD7008363701,372.0,43.289178414,1
33,"33-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"65"" Class (64.5"" Diag.)   LED   2160p",HD9537428815,109.5,167.846592138,3
34,"34-65"" Class (64.5"" Diag.)   OLED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"65"" Class (64.5"" Diag.)   OLED   2160p",HD9234408672,183.0,262.737422218,2
35,"35-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"55"" Class (54.6"" Diag.)   LED   2160p",HD2674757452,1081.0,174.901756704,1
36,"36-M Series   49"" Class (48.5"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   49"" Class (48.5"" Diag.)",HD9451418499,146.5,18.500126202,1
37,"37-AQUOS   70"" Class (69.5"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   70"" Class (69.5"" Diag.)   LED",HD5968678406,298.5,38.98757557,1
38,"38-65"" Class (64.5"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED   Curved",HD2103714806,235.5,261.251288101,2
39,"39-48"" Class (47.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"48"" Class (47.6"" Diag.)   LED   2160p",HD6253016043,487.5,39.263629326,1
40,"40-AQUOS   70"" Class (69.5"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   70"" Class (69.5"" Diag.)   LED",HD3366775583,178.0,188.235182257,2
41,"41-75"" Class (74.5"" Diag.)   2160p   Smart",Entertainment,High Definition TV,4K Ultra,Samsung,"75"" Class (74.5"" Diag.)   2160p   Smart",HD4198235110,1201.5,153.845531064,1
42,"42-49"" Class (48.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"49"" Class (48.5"" Diag.)   LED   2160p",HD4492844679,445.5,48.114545507,1
43,"43-60"" Class (60"" Diag.)   2160p   Smart",Entertainment,High Definition TV,4K Ultra,Samsung,"60"" Class (60"" Diag.)   2160p   Smart",HD8794936157,304.0,54.728875676,1
44,"44-65"" Class (64.5"" Diag.)   LED Curved   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED Curved   2160p",HD9113323444,183.0,242.083305651,2
45,"45-M Series   65"" Class (65"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   65"" Class (65"" Diag.)",HD3007615801,561.0,135.484776939,1
46,"46-55"" Class (54.6"" Diag.)   OLED   Curved",Entertainment,High Definition TV,4K Ultra,LG,"55"" Class (54.6"" Diag.)   OLED   Curved",HD9464003565,115.0,364.609855686,2
47,"47-55"" Class (54.6"" Diag.)   OLED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"55"" Class (54.6"" Diag.)   OLED   2160p",HD7358852923,697.5,37.458027641,1
48,"48-55"" Class (54 1/2"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sony,"55"" Class (54 1/2"" Diag.)   LED",HD3268621924,739.5,55.640079572,1
49,"49-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"65"" Class (64.5"" Diag.)   LED   2160p",HD5058069237,109.5,177.608842611,3
50,"50-60"" Class (59.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"60"" Class (59.5"" Diag.)   LED   2160p",HD6064108683,325.0,197.526849596,2
51,51-Case for Apple® iPod® touch 5th and 6th Generation   Clear,Music,Audio,Accessories,LifeProof,Case for Apple® iPod® touch 5th and 6th Generation   Clear,AU4305167904,225.0,208.411839125,3
52,52-Plus Portable Bluetooth Speaker   Gray,Music,Audio,Accessories,Jam,Plus Portable Bluetooth Speaker   Gray,AU5099854196,109.5,110.101663639,2
53,53-Apple MFi Certified 15W Vehicle Charger with 30 Pin Cable and USB Port   Black,Music,Audio,Accessories,Insignia™,Apple MFi Certified 15W Vehicle Charger with 30 Pin Cable and USB Port   Black,AU4045937571,204.0,46.037367673,1
54,54-Protector Case for 5th Generation Apple® iPod® touch   Black,Music,Audio,Accessories,Griffin Technology,Protector Case for 5th Generation Apple® iPod® touch   Black,AU6359167765,183.0,215.449397011,2
55,55-Defender Carrying Case for iPod   Punked,Music,Audio,Accessories,OtterBox,Defender Carrying Case for iPod   Punked,AU1893762919,619.0,45.908295308,1
56,56-Survivor Case for 5th Generation Apple® iPod® touch   Black/Blue,Music,Audio,Accessories,Griffin Technology,Survivor Case for 5th Generation Apple® iPod® touch   Black/Blue,AU8357848313,902.5,103.192179273,1
57,57-4' Micro USB Charge and Sync Cable,Music,Audio,Accessories,Platinum,4' Micro USB Charge and Sync Cable,AU4643407806,115.0,309.427096935,3
58,58-4' Twist Lightning Charge and Sync Cable,Music,Audio,Accessories,Modal,4' Twist Lightning Charge and Sync Cable,AU6669297627,167.5,214.607484556,2
59,59-3' 3.5mm Audio Cable   Purple,Music,Audio,Accessories,Insignia™,3' 3.5mm Audio Cable   Purple,AU1834270411,230.5,90.132489499,3
60,60-SoundLink® Mini Bluetooth Speaker Travel Bag   Black,Music,Audio,Accessories,Bose®,SoundLink® Mini Bluetooth Speaker Travel Bag   Black,AU1270231225,162.0,51.532219814,2
61,61-Apple MFi Certified 4' Touch On LED Lightning Charge and Sync Cable,Music,Audio,Accessories,Platinum,Apple MFi Certified 4' Touch On LED Lightning Charge and Sync Cable,AU1783438430,52.0,25.405218147,3
62,62-FM Direct Adapter   Black,Music,Audio,Accessories,SiriusXM,FM Direct Adapter   Black,AU1982871762,435.0,3.888689964,1
63,63-Screen Protector for Apple® iPod® touch 5th Generation   Clear,Music,Audio,Accessories,ZAGG,Screen Protector for Apple® iPod® touch 5th Generation   Clear,AU9988507615,214.5,138.340733518,3
64,64-Trainer Armband for 7th Generation Apple® iPod® nano   Black,Music,Audio,Accessories,Griffin Technology,Trainer Armband for 7th Generation Apple® iPod® nano   Black,AU4375750271,991.5,12.71634398,1
65,65-Survivor Slim Case for Apple® iPod® touch 5th Generation   Turquoise/Lemon,Music,Audio,Accessories,Griffin Technology,Survivor Slim Case for Apple® iPod® touch 5th Generation   Turquoise/Lemon,AU7718986623,115.0,275.676946282,3
66,66-Plus Portable Bluetooth Speaker   Pink,Music,Audio,Accessories,Jam,Plus Portable Bluetooth Speaker   Pink,AU3804222826,120.0,135.974780303,2
67,67-BluJax 3.5mm Bluetooth Adapter   Black,Music,Audio,Accessories,iSimple,BluJax 3.5mm Bluetooth Adapter   Black,AU9630063456,52.0,27.495118521,3
68,68-KaZoo Case for 5th Generation Apple® iPod® touch   Black,Music,Audio,Accessories,Griffin Technology,KaZoo Case for 5th Generation Apple® iPod® touch   Black,AU9908703792,99.0,18.796179361,1
69,69-InvisibleSHIELD HD for 5th Generation Apple® iPod® touch   Clear,Music,Audio,Accessories,ZAGG,InvisibleSHIELD HD for 5th Generation Apple® iPod® touch   Clear,AU8259168716,403.5,56.759439043,1
70,70-freqOUT pro FM Transmitter   Black,Music,Audio,Accessories,Scosche,freqOUT pro FM Transmitter   Black,AU6188325811,545.5,9.709486808,1
71,71-Character Support Stand for Pill Speakers   Blue,Music,Audio,Accessories,Beats by Dr. Dre,Character Support Stand for Pill Speakers   Blue,AU4789980313,529.5,15.594010296,1
72,72-Blustream Bluetooth FM Modulator   Black,Music,Audio,Accessories,iSimple,Blustream Bluetooth FM Modulator   Black,AU1574406148,529.5,29.139441061,1
73,73-JamKast FM Transmitter for Select Apple® iPod® and iPhone® Models   Black,Music,Audio,Accessories,iSimple,JamKast FM Transmitter for Select Apple® iPod® and iPhone® Models   Black,AU9364988842,262.0,9.516000146,1
74,74-5' 3.5mm Audio Cable   Black/Red,Music,Audio,Accessories,Platinum,5' 3.5mm Audio Cable   Black/Red,AU9568142807,298.5,130.513285305,2
75,75-Survivor Case for 5th Generation Apple® iPod® touch   Black,Music,Audio,Accessories,Griffin Technology,Survivor Case for 5th Generation Apple® iPod® touch   Black,AU7125816116,529.5,16.228073067,1
76,76-4' Twist Lightning Charge and Sync Cable,Music,Audio,Accessories,Modal,4' Twist Lightning Charge and Sync Cable,AU9738436629,430.0,23.606428893,1
77,77-3' 3.5mm Audio Cable   Green,Music,Audio,Accessories,Insignia™,3' 3.5mm Audio Cable   Green,AU4689840609,708.0,82.266680312,1
78,78-BOOM Wireless Bluetooth Speaker   Black,Music,Audio,Accessories,UE,BOOM Wireless Bluetooth Speaker   Black,AU3665356685,178.0,213.48765678,2
79,79-Character Support Stand for Pill Speakers   Pink,Music,Audio,Accessories,Beats by Dr. Dre,Character Support Stand for Pill Speakers   Pink,AU2394336553,146.5,14.41319229,1
80,80-Boost Up 2 Port Swivel Charger and Outlet   White,Music,Audio,Accessories,Belkin,Boost Up 2 Port Swivel Charger and Outlet   White,AU4378281522,440.5,14.947647362,1
81,81-4GB* Wearable Sports MP3 Player   Black,Music,Audio,Accessories,Sony,4GB* Wearable Sports MP3 Player   Black,AU8770752639,62.5,48.747764069,3
82,82-BluStream Bluetooth Factory Radio Module   Black,Music,Audio,Accessories,iSimple,BluStream Bluetooth Factory Radio Module   Black,AU8001591363,403.5,66.540879768,1
83,83-Stanmore Bluetooth Speaker   Black,Music,Audio,Accessories,Marshall,Stanmore Bluetooth Speaker   Black,AU1080745048,613.5,243.956731631,3
84,84-420W Portable Party Speaker System with Apple® iPod® and iPhone® Dock   Black,Music,Audio,Accessories,Sony,420W Portable Party Speaker System with Apple® iPod® and iPhone® Dock   Black,AU8529598590,1222.5,290.579610565,1
85,85-Survivor Case for 5th Generation Apple® iPod® touch   Pink/White,Music,Audio,Accessories,Griffin Technology,Survivor Case for 5th Generation Apple® iPod® touch   Pink/White,AU6381889692,335.5,206.629462107,3
86,86-EaseFit Plus Armband for Apple® iPhone® 5   Black,Music,Audio,Accessories,Belkin,EaseFit Plus Armband for Apple® iPhone® 5   Black,AU6325065762,540.0,91.376203171,1
87,87-Bullfrogz Case for Apple® iPod® touch 5th Generation   Black/Green,Music,Audio,Accessories,iFrogz,Bullfrogz Case for Apple® iPod® touch 5th Generation   Black/Green,AU1653395705,162.0,68.244493375,3
88,88-CallJax 3.5mm Audio Cable   Black,Music,Audio,Accessories,iSimple,CallJax 3.5mm Audio Cable   Black,AU7158935337,304.0,46.573554054,1
89,89-Call Jax Plus 3.5mm Audio Cable   Black,Music,Audio,Accessories,iSimple,Call Jax Plus 3.5mm Audio Cable   Black,AU2109848570,708.0,181.581423321,1
90,90-SoundLink® Mini Bluetooth Speaker Soft Cover   Gray,Music,Audio,Accessories,Bose®,SoundLink® Mini Bluetooth Speaker Soft Cover   Gray,AU7247574737,1611.0,29.815810328,1
91,91-Classic Portable Bluetooth Wireless Speaker   Blueberry,Music,Audio,Accessories,Jam,Classic Portable Bluetooth Wireless Speaker   Blueberry,AU4351617381,498.0,19.694815491,1
92,92-Survivor Case for Apple® iPod® touch 5th Generation   Purple/Zebra,Music,Audio,Accessories,Griffin Technology,Survivor Case for Apple® iPod® touch 5th Generation   Purple/Zebra,AU3223789783,304.0,92.805211712,2
93,93-Courier Clip Case for Apple® iPod® nano 7th Generation   Black,Music,Audio,Accessories,Griffin Technology,Courier Clip Case for Apple® iPod® nano 7th Generation   Black,AU5156485880,109.5,154.23106261,3
94,94-3' USB to Micro USB Cable,Music,Audio,Accessories,Beats by Dr. Dre,3' USB to Micro USB Cable,AU9946725044,892.0,13.719655903,1
95,95-SoundDock® Series III Digital Music System   Black,Music,Audio,Accessories,Bose®,SoundDock® Series III Digital Music System   Black,AU4873968187,62.5,211.559747996,3
96,96-PowerBlock Micro Wall Charger for Select Apple® Devices   White,Music,Audio,Accessories,Griffin Technology,PowerBlock Micro Wall Charger for Select Apple® Devices   White,AU4713463751,671.5,168.551346847,1
97,97-CD Boombox with FM Radio and Apple® iPhone® and iPod® Dock   Black/Gray,Music,Audio,Accessories,Insignia™,CD Boombox with FM Radio and Apple® iPhone® and iPod® Dock   Black/Gray,AU1293932906,151.5,17.800767345,1
98,98-Survivor Slim Case for 5th Generation Apple® iPod® touch   Black,Music,Audio,Accessories,Griffin Technology,Survivor Slim Case for 5th Generation Apple® iPod® touch   Black,AU6475403505,120.0,291.318535173,2
99,99-2 in 1 Case for Apple® iPod® nano 7th Generation,Music,Audio,Accessories,Griffin Technology,2 in 1 Case for Apple® iPod® nano 7th Generation,AU2134055630,2440.5,661.042577279,3
100,100-flatOUT 3' Auxiliary Audio Cable   Black,Music,Audio,Accessories,Scosche,flatOUT 3' Auxiliary Audio Cable   Black,AU1829789662,1054.5,14.787228063,1
101,101-Galaxy Note5 4G LTE with 32GB Memory Cell Phone   Black Sapphire (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy Note5 4G LTE with 32GB Memory Cell Phone   Black Sapphire (AT&T),SP5995820917,325.0,19.674989982,1
102,102-Galaxy Note5 4G LTE with 64GB Memory Cell Phone   Black Sapphire (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy Note5 4G LTE with 64GB Memory Cell Phone   Black Sapphire (AT&T),SP5620533613,272.5,35.95824435,2
103,103-iPhone 6s 64GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 64GB   Space Gray (AT&T),SP1144893711,1033.5,75.917877169,1
104,104-Galaxy Note5 4G LTE with 32GB Memory Cell Phone   White Pearl (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy Note5 4G LTE with 32GB Memory Cell Phone   White Pearl (AT&T),SP9748854615,115.0,95.190474694,2
105,105-iPhone 6s 64GB   Rose Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 64GB   Rose Gold (AT&T),SP4621173559,592.5,40.325135618,1
106,106-iPhone 6s Plus 64GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 64GB   Space Gray (AT&T),SP3203656258,109.5,56.123448164,2
107,107-iPhone 6s Plus 64GB   Rose Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 64GB   Rose Gold (AT&T),SP5389259648,251.5,4.603877335,1
108,108-iPhone 6s 16GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 16GB   Space Gray (AT&T),SP1419400234,1117.5,55.428985287,1
109,109-iPhone 6s 16GB   Rose Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 16GB   Rose Gold (AT&T),SP7767938264,571.5,47.880072847,1
110,110-iPhone 6s 64GB   Silver (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 64GB   Silver (AT&T),SP8659273938,183.0,47.697412499,2
111,111-iPhone 6s 64GB   Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 64GB   Gold (AT&T),SP1046336000,99.0,7.507931204,1
112,112-iPhone 6s Plus 64GB   Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 64GB   Gold (AT&T),SP4812459551,1642.5,17.435337838,1
113,113-iPhone 6s Plus 64GB   Silver (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 64GB   Silver (AT&T),SP2525285358,57.0,48.369711488,3
114,114-Gear S Smartwatch 40mm Chrome AT&T   Black Urethane,Mobiles,Smart Phones,AT&T,Samsung,Gear S Smartwatch 40mm Chrome AT&T   Black Urethane,SP8379591651,529.5,42.729178113,1
115,115-Galaxy S6 4G with 32GB Memory Cell Phone   Black Sapphire (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 4G with 32GB Memory Cell Phone   Black Sapphire (AT&T),SP3959149155,734.5,54.708658262,1
116,116-iPhone 6 16GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6 16GB   Space Gray (AT&T),SP5068815542,792.0,6.780882883,1
117,117-iPhone 6s Plus 16GB   Rose Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 16GB   Rose Gold (AT&T),SP6926206238,288.0,43.898556769,3
118,118-iPhone 6s 16GB   Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 16GB   Gold (AT&T),SP7977917639,99.0,14.625301158,2
119,119-iPhone 6s Plus 128GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 128GB   Space Gray (AT&T),SP5949762657,582.0,6.07769599,1
120,120-Galaxy S6 edge+ 4G LTE with 32GB Memory Cell Phone   Gold Platinum (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 edge+ 4G LTE with 32GB Memory Cell Phone   Gold Platinum (AT&T),SP6518382100,162.0,7.953837224,1
121,121-iPhone 6s Plus 16GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 16GB   Space Gray (AT&T),SP4490633099,151.5,3.994947204,1
122,122-Galaxy S6 4G with 32GB Memory Cell Phone   Gold Platinum (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 4G with 32GB Memory Cell Phone   Gold Platinum (AT&T),SP1877550717,372.0,28.498195361,1
123,123-Galaxy S6 Active 4G with 32GB Memory Cell Phone   Gray (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 Active 4G with 32GB Memory Cell Phone   Gray (AT&T),SP4441994260,482.5,19.115041633,1
124,124-iPhone 6s 128GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 128GB   Space Gray (AT&T),SP9917636382,871.0,1.858448432,1
125,125-iPhone 6 64GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6 64GB   Space Gray (AT&T),SP4339673001,1054.5,9.412890829,1
126,126-iPhone 6s 16GB   Silver (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 16GB   Silver (AT&T),SP1910435339,109.5,20.362305448,2
127,127-Galaxy S6 edge 4G with 32GB Memory Cell Phone   Gold Platinum (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 edge 4G with 32GB Memory Cell Phone   Gold Platinum (AT&T),SP6359666575,151.5,12.334771245,1
128,128-iPhone 6s Plus 16GB   Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 16GB   Gold (AT&T),SP7209706328,251.5,14.243662152,1
129,129-V10 4G with 64GB Memory Cell Phone   Black (AT&T),Mobiles,Smart Phones,AT&T,LG,V10 4G with 64GB Memory Cell Phone   Black (AT&T),SP6411802536,1474.5,19.75100995,1
130,130-iPhone 6 16GB   Silver (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6 16GB   Silver (AT&T),SP1526799597,235.5,44.797985677,2
131,131-Galaxy S6 4G with 32GB Memory Cell Phone   White Pearl (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 4G with 32GB Memory Cell Phone   White Pearl (AT&T),SP5178879318,183.0,54.407833772,3
132,132-iPhone 6s Plus 128GB   Rose Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 128GB   Rose Gold (AT&T),SP4919063657,592.5,46.245120661,1
133,133-Galaxy S6 edge+ 4G LTE with 32GB Memory Cell Phone   Black Sapphire (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 edge+ 4G LTE with 32GB Memory Cell Phone   Black Sapphire (AT&T),SP8322117139,1159.5,17.998734361,1
134,134-iPhone 6 Plus 64GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6 Plus 64GB   Space Gray (AT&T),SP5068933521,235.5,0.70215095,1
135,135-Galaxy S6 Active 4G with 32GB Memory Cell Phone   Camo Blue (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 Active 4G with 32GB Memory Cell Phone   Camo Blue (AT&T),SP9418830286,99.0,6.486340646,1
136,136-Galaxy S6 edge+ 4G LTE with 64GB Memory Cell Phone   Gold Platinum (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 edge+ 4G LTE with 64GB Memory Cell Phone   Gold Platinum (AT&T),SP5221148877,283.0,88.672341611,2
137,137-G4 4G with 32GB Memory Cell Phone   Black Titanium (AT&T),Mobiles,Smart Phones,AT&T,LG,G4 4G with 32GB Memory Cell Phone   Black Titanium (AT&T),SP7484661733,592.5,27.014836907,1
138,138-iPhone 6s Plus 16GB   Silver (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 16GB   Silver (AT&T),SP3849234455,1075.5,17.403195634,1
139,139-Gear S Smartwatch 40mm Chrome AT&T   White Urethane,Mobiles,Smart Phones,AT&T,Samsung,Gear S Smartwatch 40mm Chrome AT&T   White Urethane,SP5913350985,1201.5,43.751551919,1
140,140-Galaxy S6 edge 4G with 32GB Memory Cell Phone   Black Sapphire (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 edge 4G with 32GB Memory Cell Phone   Black Sapphire (AT&T),SP1622487022,1096.5,12.361372889,1
141,141-iPhone 6 Plus 16GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6 Plus 16GB   Space Gray (AT&T),SP7228920029,482.5,47.56945008,3
