Store Key,Store Name,Store Address,Store City,Store State,Store Zip Code,Store County,Store Region,Store Open Date,Last Layout Update,Latitude,Longitude,Store Size,Monthly Rent Cost,Number of Employees,Online Ordering,Selling Square Footage,Total Square Footage,LAST_LAYOUT_UPDATE,MONTHLY_RENT_COST,NUMBER_OF_EMPLOYEES,ONLINE_ORDERING,AVG_PARKING_UTILIZATION,PARKING_CAPACITY,PARKING_SQUARE_FOOTAGE,PARKING_LIMIT_2HR,PARKING_TYPE,SELLING_SQUARE_FOOTAGE,STORE_ADDRESS,STORE_CITY,STORE_COUNTY,STORE_KEY,STORE_NAME,STORE_OPEN_DATE,STORE_REGION,STORE_SIZE,STORE_STATE,STORE_ZIP_CODE,TOTAL_SQUARE_FOOTAGE,Store Area,Store Type,Weekday Open Hour,Weekday Close Hour,Sunday Open Hour,Sunday Close Hour
269,Eaglet Store #269,269 Eaglet Street,Oklahoma City,Oklahoma,73125.0,"Oklahoma County, Oklahoma",Southwest,2020-01-13 00:00:00,2016-08-22 00:00:00,35.46,-97.51,Large,1400.0,56.0,In Store Pickup,49100.0,57000.0,2016-08-22 00:00:00,1400.0,56.0,In Store Pickup,0.305,834.0,194370.0,True,lot,49100.0,269 Eaglet Street,Oklahoma City,"Oklahoma County, Oklahoma",269.0,Eaglet Store #269,2020-01-13 00:00:00,Southwest,Large,Oklahoma,73125.0,57000.0,Southwest-1,Store,9,21,10,20
375,Black Swan Store #375,375 Black Swan Street,Fremont,California,94537.0,"Alameda County, California",West,2017-09-18 00:00:00,2023-06-03 00:00:00,37.55,-122.01,Small,10300.0,55.0,In Store Pickup,15100.0,17500.0,2023-06-03 00:00:00,10300.0,55.0,In Store Pickup,0.252,249.0,52675.0,False,lot,15100.0,375 Black Swan Street,Fremont,"Alameda County, California",375.0,Black Swan Store #375,2017-09-18 00:00:00,West,Small,California,94537.0,17500.0,West-2,Store,10,20,11,18
758,Becher Store #758,758 Becher Vale,Yonkers,New York,10701.0,"Westchester County, New York",East,2012-05-29 00:00:00,2024-01-19 00:00:00,40.9454,-73.8805,Small,11500.0,44.0,In Store Pickup,13500.0,16500.0,2024-01-19 00:00:00,11500.0,44.0,In Store Pickup,0.31,201.0,45540.0,False,lot,13500.0,758 Becher Vale,Yonkers,"Westchester County, New York",758.0,Becher Store #758,2012-05-29 00:00:00,East,Small,New York,10701.0,16500.0,East-3,Store,10,20,11,18
831,Ashley Store #831,831 Ashley Vale,Manchester,New Hampshire,3103.0,"Hillsborough County, New Hampshire",East,2017-11-29 00:00:00,2018-08-11 00:00:00,42.9505,-71.4465,Small,3600.0,51.0,Ship to Residence,16200.0,20300.0,2018-08-11 00:00:00,3600.0,51.0,Ship to Residence,0.28,258.0,64148.0,True,lot,16200.0,831 Ashley Vale,Manchester,"Hillsborough County, New Hampshire",831.0,Ashley Store #831,2017-11-29 00:00:00,East,Small,New Hampshire,3103.0,20300.0,East-3,Store,10,20,11,18
508,East Store #508,508 East Drive,Portland,Maine,4101.0,"Cumberland County, Maine",East,2015-08-21 00:00:00,2017-01-28 00:00:00,43.6626,-70.2579,Small,5800.0,61.0,In Store Pickup,15300.0,19100.0,2017-01-28 00:00:00,5800.0,61.0,In Store Pickup,,,,False,street,15300.0,508 East Drive,Portland,"Cumberland County, Maine",508.0,East Store #508,2015-08-21 00:00:00,East,Small,Maine,4101.0,19100.0,East-2,Store,10,20,11,18
118,Caxton Store #118,118 Caxton Boulevard,O'Fallon,Missouri,63366.0,"St. Charles County, Missouri",Midwest,2015-11-25 00:00:00,2019-05-22 00:00:00,38.8574,-90.7255,Small,6500.0,34.0,,19400.0,22900.0,2019-05-22 00:00:00,6500.0,34.0,,0.446,343.0,76028.0,False,lot,19400.0,118 Caxton Boulevard,O'Fallon,"St. Charles County, Missouri",118.0,Caxton Store #118,2015-11-25 00:00:00,Midwest,Small,Missouri,63366.0,22900.0,Midwest-1,Store,10,20,11,18
184,Linda Store #184,184 Linda Street,Aurora,Illinois,60505.0,"DuPage County, Illinois",Midwest,2015-09-14 00:00:00,2021-04-27 00:00:00,41.7645,-88.2947,Large,3600.0,37.0,Curbside Pickup,49600.0,61900.0,2021-04-27 00:00:00,3600.0,37.0,Curbside Pickup,0.21,869.0,210460.0,False,lot,49600.0,184 Linda Street,Aurora,"DuPage County, Illinois",184.0,Linda Store #184,2015-09-14 00:00:00,Midwest,Large,Illinois,60505.0,61900.0,Midwest-1,Store,9,21,10,20
544,Aberavon Store #544,544 Aberavon Drive,Downey,California,90241.0,"Los Angeles County, California",West,2016-03-04 00:00:00,2024-04-05 00:00:00,33.9403,-118.129,Large,10000.0,27.0,Delivery to Car,47300.0,59100.0,2024-04-05 00:00:00,10000.0,27.0,Delivery to Car,0.409,693.0,159570.0,False,lot,47300.0,544 Aberavon Drive,Downey,"Los Angeles County, California",544.0,Aberavon Store #544,2016-03-04 00:00:00,West,Large,California,90241.0,59100.0,West-3,Store,9,21,10,20
942,Clarges Store #942,942 Clarges Crossroad,Gastonia,North Carolina,28052.0,"Gaston County, North Carolina",South,2014-07-14 00:00:00,2023-02-28 00:00:00,35.2147,-81.2332,Large,3400.0,46.0,Curbside Pickup,52800.0,65400.0,2023-02-28 00:00:00,3400.0,46.0,Curbside Pickup,0.296,860.0,196200.0,True,garage,52800.0,942 Clarges Crossroad,Gastonia,"Gaston County, North Carolina",942.0,Clarges Store #942,2014-07-14 00:00:00,South,Large,North Carolina,28052.0,65400.0,South-3,Store,9,21,10,20
870,Cliff Store #870,870 Cliff Crossroad,Eagan,Minnesota,55122.0,"Dakota County, Minnesota",Midwest,2012-01-07 00:00:00,2023-12-03 00:00:00,44.8068,-93.2015,Large,3000.0,58.0,Ship to Residence,47200.0,55300.0,2023-12-03 00:00:00,3000.0,58.0,Ship to Residence,,,,False,street,47200.0,870 Cliff Crossroad,Eagan,"Dakota County, Minnesota",870.0,Cliff Store #870,2012-01-07 00:00:00,Midwest,Large,Minnesota,55122.0,55300.0,Midwest-4,Store,9,21,10,20
250,Sherlock Store #250,250 Sherlock Road,Birmingham,Alabama,35203.0,"Jefferson County, Alabama",South,2013-01-15 00:00:00,2022-10-09 00:00:00,33.5186,-86.8098,Large,1600.0,52.0,Ship to Residence,51600.0,61900.0,2022-10-09 00:00:00,1600.0,52.0,Ship to Residence,0.379,692.0,172082.0,False,lot,51600.0,250 Sherlock Road,Birmingham,"Jefferson County, Alabama",250.0,Sherlock Store #250,2013-01-15 00:00:00,South,Large,Alabama,35203.0,61900.0,South-1,Store,9,21,10,20
852,Amwell Store #852,852 Amwell Alley,Detroit,Michigan,48233.0,"Wayne County, Michigan",Midwest,2013-09-13 00:00:00,2016-12-01 00:00:00,42.3237,-83.0617,Large,6100.0,27.0,Ship to Residence,50500.0,62100.0,2016-12-01 00:00:00,6100.0,27.0,Ship to Residence,,,,False,street,50500.0,852 Amwell Alley,Detroit,"Wayne County, Michigan",852.0,Amwell Store #852,2013-09-13 00:00:00,Midwest,Large,Michigan,48233.0,62100.0,Midwest-4,Store,9,21,10,20
270,Arbutus Store #270,270 Arbutus Grove,Ann Arbor,Michigan,48104.0,"Washtenaw County, Michigan",Midwest,2018-10-31 00:00:00,2025-07-04 00:00:00,42.2635,-83.7151,Medium,3000.0,62.0,Delivery to Car,37500.0,45800.0,2025-07-04 00:00:00,3000.0,62.0,Delivery to Car,0.498,600.0,138316.0,False,lot,37500.0,270 Arbutus Grove,Ann Arbor,"Washtenaw County, Michigan",270.0,Arbutus Store #270,2018-10-31 00:00:00,Midwest,Medium,Michigan,48104.0,45800.0,Midwest-2,Store,10,21,11,19
902,Rosewood Store #902,902 Rosewood Drive,Bloomington,Minnesota,55437.0,"Hennepin County, Minnesota",Midwest,2020-09-25 00:00:00,2022-07-27 00:00:00,44.8243,-93.343,Small,10700.0,25.0,Ship to Residence,18500.0,21900.0,2022-07-27 00:00:00,10700.0,25.0,Ship to Residence,,,,False,street,18500.0,902 Rosewood Drive,Bloomington,"Hennepin County, Minnesota",902.0,Rosewood Store #902,2020-09-25 00:00:00,Midwest,Small,Minnesota,55437.0,21900.0,Midwest-4,Store,10,20,11,18
649,Arline Store #649,649 Arline Grove,Louisville,Kentucky,40231.0,"Jefferson County, Kentucky",South,2014-03-18 00:00:00,2024-09-30 00:00:00,38.195,-85.6949,Large,2200.0,50.0,In Store Pickup,47100.0,54200.0,2024-09-30 00:00:00,2200.0,50.0,In Store Pickup,0.269,709.0,173982.0,True,garage,47100.0,649 Arline Grove,Louisville,"Jefferson County, Kentucky",649.0,Arline Store #649,2014-03-18 00:00:00,South,Large,Kentucky,40231.0,54200.0,South-2,Store,9,21,10,20
303,Blue Anchor Store #303,303 Blue Anchor Walk,Delray Beach,Florida,33444.0,"Palm Beach County, Florida",South,2015-03-07 00:00:00,2016-01-27 00:00:00,26.4589,-80.0796,Large,9000.0,37.0,Delivery to Car,50800.0,63000.0,2016-01-27 00:00:00,9000.0,37.0,Delivery to Car,0.424,906.0,214830.0,True,lot,50800.0,303 Blue Anchor Walk,Delray Beach,"Palm Beach County, Florida",303.0,Blue Anchor Store #303,2015-03-07 00:00:00,South,Large,Florida,33444.0,63000.0,South-1,Store,9,21,10,20
953,Arbutus Store #953,953 Arbutus Grove,Antioch,California,94509.0,"Contra Costa County, California",West,2011-11-03 00:00:00,2022-04-19 00:00:00,37.9965,-121.8123,Large,3800.0,26.0,,54900.0,68700.0,2022-04-19 00:00:00,3800.0,26.0,,0.424,937.0,221214.0,False,lot,54900.0,953 Arbutus Grove,Antioch,"Contra Costa County, California",953.0,Arbutus Store #953,2011-11-03 00:00:00,West,Large,California,94509.0,68700.0,West-5,Store,9,21,10,20
625,King Store #625,625 King Walk,Pueblo,Colorado,81003.0,"Pueblo County, Colorado",Southwest,2019-01-02 00:00:00,2021-03-15 00:00:00,38.2796,-104.6315,Large,4700.0,43.0,,44900.0,56100.0,2021-03-15 00:00:00,4700.0,43.0,,0.299,646.0,141933.0,True,garage,44900.0,625 King Walk,Pueblo,"Pueblo County, Colorado",625.0,King Store #625,2019-01-02 00:00:00,Southwest,Large,Colorado,81003.0,56100.0,Southwest-2,Store,9,21,10,20
267,Abourne Store #267,267 Abourne Crossroad,Las Vegas,Nevada,89199.0,"Clark County, Nevada",West,2020-06-24 00:00:00,2025-03-23 00:00:00,36.15,-115.1,Large,9300.0,57.0,In Store Pickup,51100.0,61300.0,2025-03-23 00:00:00,9300.0,57.0,In Store Pickup,0.407,781.0,182061.0,False,lot,51100.0,267 Abourne Crossroad,Las Vegas,"Clark County, Nevada",267.0,Abourne Store #267,2020-06-24 00:00:00,West,Large,Nevada,89199.0,61300.0,West-1,Store,9,21,10,20
768,Hickory Store #768,768 Hickory Grove,Greenville,North Carolina,27833.0,"Pitt County, North Carolina",South,2015-06-26 00:00:00,2022-03-16 00:00:00,35.59,-77.37,Small,4000.0,59.0,,17500.0,20800.0,2022-03-16 00:00:00,4000.0,59.0,,0.307,225.0,56160.0,False,lot,17500.0,768 Hickory Grove,Greenville,"Pitt County, North Carolina",768.0,Hickory Store #768,2015-06-26 00:00:00,South,Small,North Carolina,27833.0,20800.0,South-2,Store,10,20,11,18
383,Linden Store #383,383 Linden Way,Antioch,California,94509.0,"Contra Costa County, California",West,2015-05-24 00:00:00,2018-10-14 00:00:00,37.9965,-121.8123,Small,6500.0,51.0,Ship to Residence,14300.0,17500.0,2018-10-14 00:00:00,6500.0,51.0,Ship to Residence,0.315,210.0,48475.0,False,lot,14300.0,383 Linden Way,Antioch,"Contra Costa County, California",383.0,Linden Store #383,2015-05-24 00:00:00,West,Small,California,94509.0,17500.0,West-2,Store,10,20,11,18
491,Coalecroft Store #491,491 Coalecroft Crossroad,Mission,Texas,78572.0,"Hidalgo County, Texas",Southwest,2019-10-03 00:00:00,2016-11-20 00:00:00,26.2292,-98.3755,Large,2900.0,44.0,,44100.0,53800.0,2016-11-20 00:00:00,2900.0,44.0,,,,,True,street,44100.0,491 Coalecroft Crossroad,Mission,"Hidalgo County, Texas",491.0,Coalecroft Store #491,2019-10-03 00:00:00,Southwest,Large,Texas,78572.0,53800.0,Southwest-2,Store,9,21,10,20
858,Argyle Store #858,858 Argyle Road,Beaumont,Texas,77707.0,"Jefferson County, Texas",Southwest,2010-12-26 00:00:00,2015-11-11 00:00:00,30.0534,-94.1707,Large,8000.0,27.0,In Store Pickup,46100.0,56800.0,2015-11-11 00:00:00,8000.0,27.0,In Store Pickup,0.248,621.0,151656.0,False,garage,46100.0,858 Argyle Road,Beaumont,"Jefferson County, Texas",858.0,Argyle Store #858,2010-12-26 00:00:00,Southwest,Large,Texas,77707.0,56800.0,Southwest-3,Store,9,21,10,20
795,Gautrey Store #795,795 Gautrey Hill,Charlotte,North Carolina,28228.0,"Mecklenburg County, North Carolina",South,2015-02-21 00:00:00,2017-01-08 00:00:00,35.19,-80.83,Medium,2700.0,36.0,Delivery to Car,37400.0,46000.0,2017-01-08 00:00:00,2700.0,36.0,Delivery to Car,0.433,510.0,126040.0,True,lot,37400.0,795 Gautrey Hill,Charlotte,"Mecklenburg County, North Carolina",795.0,Gautrey Store #795,2015-02-21 00:00:00,South,Medium,North Carolina,28228.0,46000.0,South-2,Store,10,21,11,19
417,Bacton Store #417,417 Bacton Hill,Seattle,Washington,98108.0,"King County, Washington",West,2016-12-08 00:00:00,2017-02-15 00:00:00,47.5349,-122.3058,Large,8200.0,47.0,Delivery to Car,44500.0,54700.0,2017-02-15 00:00:00,8200.0,47.0,Delivery to Car,0.298,728.0,176134.0,False,lot,44500.0,417 Bacton Hill,Seattle,"King County, Washington",417.0,Bacton Store #417,2016-12-08 00:00:00,West,Large,Washington,98108.0,54700.0,West-2,Store,9,21,10,20
425,Woodland Store #425,425 Woodland Pass,Albany,New York,12201.0,"Albany County, New York",East,2015-04-10 00:00:00,2018-05-14 00:00:00,42.6599,-73.79,Small,1800.0,29.0,Ship to Residence,15100.0,18800.0,2018-05-14 00:00:00,1800.0,29.0,Ship to Residence,0.342,245.0,58092.0,False,garage,15100.0,425 Woodland Pass,Albany,"Albany County, New York",425.0,Woodland Store #425,2015-04-10 00:00:00,East,Small,New York,12201.0,18800.0,East-2,Store,10,20,11,18
450,Birkenhead Store #450,450 Birkenhead Rue,Hillsboro,Oregon,97123.0,"Washington County, Oregon",West,2012-12-09 00:00:00,2020-07-11 00:00:00,45.4402,-122.9801,Large,11000.0,40.0,In Store Pickup,51400.0,59200.0,2020-07-11 00:00:00,11000.0,40.0,In Store Pickup,,,,False,street,51400.0,450 Birkenhead Rue,Hillsboro,"Washington County, Oregon",450.0,Birkenhead Store #450,2012-12-09 00:00:00,West,Large,Oregon,97123.0,59200.0,West-3,Store,9,21,10,20
96,Antrobus Store #96,96 Antrobus Alley,Allentown,Pennsylvania,18101.0,"Lehigh County, Pennsylvania",East,2013-03-14 00:00:00,2021-05-08 00:00:00,40.6027,-75.4692,Large,6500.0,63.0,Curbside Pickup,44800.0,54300.0,2021-05-08 00:00:00,6500.0,63.0,Curbside Pickup,0.291,708.0,155841.0,True,lot,44800.0,96 Antrobus Alley,Allentown,"Lehigh County, Pennsylvania",96.0,Antrobus Store #96,2013-03-14 00:00:00,East,Large,Pennsylvania,18101.0,54300.0,East-1,Store,9,21,10,20
404,Maple Store #404,404 Maple Rue,Mission,Texas,78572.0,"Hidalgo County, Texas",Southwest,2016-03-14 00:00:00,2017-05-15 00:00:00,26.2292,-98.3755,Small,4000.0,56.0,Curbside Pickup,18600.0,21600.0,2017-05-15 00:00:00,4000.0,56.0,Curbside Pickup,0.395,322.0,69552.0,True,lot,18600.0,404 Maple Rue,Mission,"Hidalgo County, Texas",404.0,Maple Store #404,2016-03-14 00:00:00,Southwest,Small,Texas,78572.0,21600.0,Southwest-2,Store,10,20,11,18
285,Camdenhurst Store #285,285 Camdenhurst Boulevard,Yakima,Washington,98901.0,"Yakima County, Washington",West,2013-08-01 00:00:00,2022-06-16 00:00:00,46.7226,-120.406,Large,9100.0,46.0,Curbside Pickup,47200.0,57200.0,2022-06-16 00:00:00,9100.0,46.0,Curbside Pickup,,,,False,street,47200.0,285 Camdenhurst Boulevard,Yakima,"Yakima County, Washington",285.0,Camdenhurst Store #285,2013-08-01 00:00:00,West,Large,Washington,98901.0,57200.0,West-2,Store,9,21,10,20
882,Calvin Store #882,882 Calvin Boulevard,Daly City,California,94015.0,"San Mateo County, California",West,2014-10-30 00:00:00,2018-04-14 00:00:00,37.6813,-122.4806,Large,4000.0,61.0,Curbside Pickup,49500.0,61900.0,2018-04-14 00:00:00,4000.0,61.0,Curbside Pickup,0.27,922.0,201794.0,True,lot,49500.0,882 Calvin Boulevard,Daly City,"San Mateo County, California",882.0,Calvin Store #882,2014-10-30 00:00:00,West,Large,California,94015.0,61900.0,West-5,Store,9,21,10,20
394,Carol Store #394,394 Carol Tunnel,Dearborn,Michigan,48120.0,"Wayne County, Michigan",Midwest,2012-01-21 00:00:00,2025-10-19 00:00:00,42.3063,-83.1762,Medium,4700.0,47.0,Delivery to Car,30600.0,37000.0,2025-10-19 00:00:00,4700.0,47.0,Delivery to Car,0.256,435.0,99900.0,True,garage,30600.0,394 Carol Tunnel,Dearborn,"Wayne County, Michigan",394.0,Carol Store #394,2012-01-21 00:00:00,Midwest,Medium,Michigan,48120.0,37000.0,Midwest-2,Store,10,21,11,19
149,Thurloe Store #149,149 Thurloe Drive,Omaha,Nebraska,68108.0,"Douglas County, Nebraska",Midwest,2019-09-16 00:00:00,2021-05-08 00:00:00,41.2376,-95.9301,Large,8200.0,25.0,Ship to Residence,53500.0,63700.0,2021-05-08 00:00:00,8200.0,25.0,Ship to Residence,0.253,785.0,170079.0,True,garage,53500.0,149 Thurloe Drive,Omaha,"Douglas County, Nebraska",149.0,Thurloe Store #149,2019-09-16 00:00:00,Midwest,Large,Nebraska,68108.0,63700.0,Midwest-1,Store,9,21,10,20
33,Dunstable Store #33,33 Dunstable Pass,Pittsburgh,Pennsylvania,15290.0,"Allegheny County, Pennsylvania",East,2013-10-01 00:00:00,2016-01-09 00:00:00,40.4572,-80.0193,Large,10600.0,51.0,Ship to Residence,46200.0,55000.0,2016-01-09 00:00:00,10600.0,51.0,Ship to Residence,0.227,623.0,148500.0,False,lot,46200.0,33 Dunstable Pass,Pittsburgh,"Allegheny County, Pennsylvania",33.0,Dunstable Store #33,2013-10-01 00:00:00,East,Large,Pennsylvania,15290.0,55000.0,East-1,Store,9,21,10,20
888,Abbots Store #888,888 Abbots Tunnel,Fall River,Massachusetts,2720.0,"Bristol County, Massachusetts",East,2015-09-01 00:00:00,2019-11-26 00:00:00,41.7251,-71.1213,Small,8000.0,36.0,Delivery to Car,15700.0,18600.0,2019-11-26 00:00:00,8000.0,36.0,Delivery to Car,0.264,231.0,57102.0,False,garage,15700.0,888 Abbots Tunnel,Fall River,"Bristol County, Massachusetts",888.0,Abbots Store #888,2015-09-01 00:00:00,East,Small,Massachusetts,2720.0,18600.0,East-3,Store,10,20,11,18
719,Union Store #719,719 Union Vale,Sacramento,California,95813.0,"Sacramento County, California",West,2012-02-09 00:00:00,2017-08-11 00:00:00,38.5,-121.41,Large,7300.0,63.0,,52900.0,61300.0,2017-08-11 00:00:00,7300.0,63.0,,0.398,858.0,191869.0,True,garage,52900.0,719 Union Vale,Sacramento,"Sacramento County, California",719.0,Union Store #719,2012-02-09 00:00:00,West,Large,California,95813.0,61300.0,West-4,Store,9,21,10,20
799,Tilloch Store #799,799 Tilloch Rue,Orlando,Florida,32802.0,"Orange County, Florida",South,2011-12-30 00:00:00,2020-08-13 00:00:00,28.5,-81.37,Medium,11300.0,45.0,,31900.0,38900.0,2020-08-13 00:00:00,11300.0,45.0,,0.486,497.0,111643.0,True,garage,31900.0,799 Tilloch Rue,Orlando,"Orange County, Florida",799.0,Tilloch Store #799,2011-12-30 00:00:00,South,Medium,Florida,32802.0,38900.0,South-2,Store,10,21,11,19
818,Arthur Store #818,818 Arthur Avenue,Compton,California,90220.0,"Los Angeles County, California",West,2020-03-31 00:00:00,2024-08-31 00:00:00,33.8815,-118.2345,Large,1200.0,34.0,Ship to Residence,52200.0,64100.0,2024-08-31 00:00:00,1200.0,34.0,Ship to Residence,0.37,863.0,184608.0,True,lot,52200.0,818 Arthur Avenue,Compton,"Los Angeles County, California",818.0,Arthur Store #818,2020-03-31 00:00:00,West,Large,California,90220.0,64100.0,West-4,Store,9,21,10,20
170,Bolton Store #170,170 Bolton Rue,San Francisco,California,94188.0,"San Francisco County, California",West,2015-07-18 00:00:00,2020-11-26 00:00:00,37.74,-122.38,Large,11000.0,47.0,Curbside Pickup,52900.0,61400.0,2020-11-26 00:00:00,11000.0,47.0,Curbside Pickup,0.219,728.0,160868.0,False,garage,52900.0,170 Bolton Rue,San Francisco,"San Francisco County, California",170.0,Bolton Store #170,2015-07-18 00:00:00,West,Large,California,94188.0,61400.0,West-1,Store,9,21,10,20
630,Colombo Store #630,630 Colombo Way,Warwick,Rhode Island,2886.0,"Kent County, Rhode Island",East,2016-12-03 00:00:00,2024-07-29 00:00:00,41.7038,-71.4556,Medium,10700.0,30.0,Delivery to Car,30300.0,36700.0,2024-07-29 00:00:00,10700.0,30.0,Delivery to Car,0.259,492.0,119275.0,True,lot,30300.0,630 Colombo Way,Warwick,"Kent County, Rhode Island",630.0,Colombo Store #630,2016-12-03 00:00:00,East,Medium,Rhode Island,2886.0,36700.0,East-2,Store,10,21,11,19
