Store Key,Product Key,Adjustment Date,Adjustment Quantity,Adjustment Reason
36,652,2024-06-20,-9,Other
16,917,2021-09-28,-12,Theft
575,139,2022-02-19,-5,Damage
845,604,2024-06-25,-4,Cycle Count Correction
657,44,2024-01-01,2,Cycle Count Correction
725,866,2023-07-01,-1,Damage
610,917,2024-06-06,-13,Theft
58,634,2023-06-09,-7,Theft
818,845,2024-12-07,2,Cycle Count Correction
979,809,2022-04-23,-10,Cycle Count Correction
36,713,2023-06-22,-5,Theft
584,98,2024-12-15,-11,Theft
992,905,2022-09-07,-1,Damage
178,943,2024-02-03,8,Cycle Count Correction
177,23,2023-04-02,-12,Theft
334,458,2023-02-24,11,Cycle Count Correction
19,519,2024-08-28,-4,Theft
436,894,2025-08-04,-7,Damage
717,273,2024-01-31,-13,Expiration
578,184,2022-01-27,-11,Theft
847,679,2022-06-07,-5,Theft
766,129,2025-05-09,-11,Theft
641,356,2022-09-19,-13,Other
84,961,2022-08-21,-4,Cycle Count Correction
942,802,2022-11-06,-3,Theft
498,24,2025-10-10,-1,Theft
895,329,2021-11-01,-3,Damage
874,454,2022-08-25,-8,Damage
571,745,2022-01-06,-4,Damage
649,213,2023-12-17,-5,Theft
911,380,2024-10-03,-6,Expiration
922,929,2024-03-05,-4,Cycle Count Correction
911,701,2023-06-24,-9,Theft
440,593,2022-10-06,-11,Theft
571,133,2024-08-28,-5,Theft
766,283,2021-10-15,-4,Cycle Count Correction
874,232,2022-08-13,1,Cycle Count Correction
473,258,2022-04-11,-6,Cycle Count Correction
281,8,2022-09-28,1,Cycle Count Correction
200,485,2024-07-31,10,Cycle Count Correction
6,916,2022-12-09,-2,Damage
649,753,2022-06-10,-3,Theft
584,11,2023-07-11,-3,Damage
182,389,2023-07-07,-14,Damage
394,399,2024-02-04,5,Cycle Count Correction
561,1023,2024-08-20,-7,Theft
763,766,2024-11-17,-9,Theft
659,1079,2025-09-28,-10,Expiration
129,863,2024-07-11,-1,Expiration
204,1047,2024-11-04,-12,Expiration
912,421,2025-05-18,-1,Theft
491,982,2022-12-17,-2,Theft
36,37,2024-10-16,-3,Expiration
537,641,2022-06-03,-12,Damage
814,163,2023-10-23,-5,Damage
874,678,2024-06-03,-14,Damage
578,478,2025-08-15,-14,Damage
394,975,2025-02-16,-8,Damage
318,808,2022-11-27,-7,Cycle Count Correction
981,681,2022-12-20,-1,Damage
70,1095,2024-03-10,-13,Theft
942,979,2025-08-10,-5,Damage
642,342,2023-10-21,-12,Theft
705,352,2022-10-16,-4,Damage
578,898,2024-10-01,-7,Damage
594,507,2025-08-08,-2,Other
270,261,2022-10-16,-11,Damage
625,213,2022-09-09,-14,Theft
436,224,2023-01-16,-11,Theft
571,416,2023-12-20,-9,Damage
9999,748,2024-07-15,-8,Other
870,537,2025-01-24,-4,Theft
184,265,2025-06-19,11,Cycle Count Correction
953,825,2024-02-08,12,Cycle Count Correction
327,1085,2023-11-19,-9,Theft
874,924,2023-03-13,-12,Damage
674,554,2025-09-12,2,Cycle Count Correction
717,380,2022-11-30,-13,Damage
641,515,2025-09-03,-6,Expiration
129,761,2023-07-05,-10,Damage
958,160,2023-11-07,-7,Expiration
250,148,2023-04-02,-4,Theft
889,514,2024-04-18,-4,Theft
318,655,2025-08-07,-6,Damage
858,848,2021-11-27,-12,Other
958,222,2023-08-03,-14,Damage
567,121,2023-04-04,-7,Theft
425,402,2022-11-16,-4,Damage
19,152,2022-04-05,-5,Expiration
888,268,2022-12-09,-5,Expiration
908,64,2022-09-01,9,Cycle Count Correction
241,460,2024-06-01,10,Cycle Count Correction
922,93,2022-08-20,-8,Cycle Count Correction
550,592,2025-05-30,-1,Theft
89,1025,2023-02-03,-11,Other
664,219,2023-02-13,-1,Theft
491,812,2023-01-21,-13,Damage
561,1050,2022-08-14,-9,Damage
464,768,2023-06-08,-7,Cycle Count Correction
527,708,2025-10-12,-11,Cycle Count Correction
16,317,2024-07-26,-10,Damage
831,287,2025-03-06,-7,Theft
192,1085,2025-05-19,-8,Damage
882,94,2022-05-08,-14,Expiration
657,149,2023-11-29,-10,Damage
314,224,2022-04-14,-13,Cycle Count Correction
576,31,2022-09-02,-6,Theft
83,182,2022-07-31,-7,Theft
122,559,2023-07-11,-14,Theft
129,131,2025-02-06,-8,Theft
184,683,2023-02-04,-14,Theft
911,432,2025-05-13,-14,Damage
303,664,2024-11-05,-1,Theft
201,128,2022-01-19,-1,Damage
394,246,2023-05-29,-14,Theft
945,238,2024-01-12,-4,Damage
687,447,2022-04-09,-5,Theft
657,110,2022-08-18,-14,Damage
89,832,2021-08-20,-4,Other
674,1021,2022-12-22,-6,Theft
664,1031,2024-06-22,-13,Expiration
922,836,2025-08-09,3,Cycle Count Correction
615,722,2023-12-10,12,Cycle Count Correction
613,750,2025-07-18,-1,Expiration
870,810,2024-12-19,-10,Damage
33,395,2022-01-23,-2,Expiration
537,499,2023-05-16,1,Cycle Count Correction
21,517,2021-11-17,-4,Expiration
578,52,2024-12-22,-5,Damage
869,533,2024-04-08,-7,Theft
129,153,2025-04-25,-12,Expiration
922,372,2021-12-18,-5,Theft
578,343,2023-05-30,-11,Damage
687,461,2022-07-11,-8,Cycle Count Correction
784,775,2024-09-19,-5,Cycle Count Correction
402,40,2024-10-31,-14,Expiration
908,858,2025-08-23,-12,Expiration
404,196,2023-07-12,-4,Theft
118,122,2024-04-28,-2,Theft
945,640,2022-10-23,-1,Damage
184,556,2025-09-19,-12,Theft
610,832,2023-05-09,-12,Damage
367,98,2025-08-21,11,Cycle Count Correction
909,809,2024-10-22,-3,Theft
332,715,2025-09-10,-6,Damage
9999,1077,2021-12-23,-7,Theft
705,15,2025-05-06,-12,Damage
664,1045,2022-09-15,13,Cycle Count Correction
613,852,2025-03-04,-8,Theft
758,783,2022-11-26,-5,Theft
561,351,2022-07-17,-7,Damage
404,995,2022-10-18,-2,Theft
288,468,2025-08-19,-14,Theft
895,1029,2025-06-14,-13,Damage
897,59,2022-07-20,-9,Cycle Count Correction
847,618,2024-07-24,-1,Theft
555,1041,2023-05-13,-8,Theft
71,1023,2024-01-19,-2,Cycle Count Correction
659,794,2023-05-12,-8,Theft
332,335,2024-06-28,-9,Damage
254,249,2025-06-24,-4,Cycle Count Correction
657,357,2022-06-29,-14,Other
705,85,2025-07-03,-10,Damage
610,1060,2023-10-21,-3,Theft
178,771,2021-10-11,-6,Damage
404,876,2024-11-13,-13,Damage
567,26,2021-11-01,-6,Theft
436,655,2024-05-03,-9,Theft
647,826,2025-05-26,-5,Damage
725,84,2024-07-27,-10,Damage
149,453,2023-05-23,-8,Theft
615,997,2022-01-13,-4,Theft
719,384,2022-08-22,-4,Theft
926,635,2022-12-25,-10,Other
115,547,2022-05-07,-9,Theft
893,193,2022-11-08,-1,Theft
67,305,2024-06-27,-2,Damage
241,910,2024-03-20,-8,Theft
911,762,2025-02-28,-9,Theft
625,658,2024-01-20,-11,Other
464,421,2023-08-04,-7,Theft
67,687,2025-02-15,-12,Theft
557,690,2023-03-07,7,Cycle Count Correction
909,417,2023-03-15,11,Cycle Count Correction
584,358,2024-02-04,-6,Other
241,26,2024-04-30,-7,Theft
992,53,2023-03-30,-14,Expiration
247,448,2025-10-12,-9,Damage
288,55,2024-02-10,-10,Damage
355,1080,2021-12-11,-7,Damage
908,753,2024-12-19,-11,Theft
201,645,2024-01-22,-14,Other
6,748,2021-10-02,-10,Theft
611,808,2023-01-19,2,Cycle Count Correction
327,489,2021-11-18,-11,Theft
367,100,2024-11-26,-8,Damage
847,491,2024-10-21,-6,Damage
285,305,2022-03-10,-14,Theft
450,691,2021-12-22,-7,Theft
285,911,2022-01-23,-9,Cycle Count Correction
324,1078,2024-11-25,-5,Theft
178,718,2023-07-30,-4,Damage
9999,279,2024-12-06,9,Cycle Count Correction
649,949,2023-12-31,-3,Expiration
227,247,2024-06-27,-14,Theft
209,885,2024-08-03,-10,Damage
122,1067,2023-03-04,-14,Damage
874,173,2025-05-08,-13,Theft
523,255,2022-04-21,-9,Damage
594,139,2024-05-02,-12,Theft
355,398,2021-12-09,-11,Theft
192,1067,2022-04-03,-6,Theft
571,1005,2024-09-24,-1,Theft
27,101,2024-09-13,-4,Other
27,235,2023-06-06,-6,Cycle Count Correction
953,293,2024-03-05,-4,Theft
531,332,2022-04-30,-11,Theft
561,1023,2023-08-17,-6,Expiration
758,485,2025-06-20,-10,Theft
212,686,2023-07-28,-2,Cycle Count Correction
806,509,2023-10-08,-9,Cycle Count Correction
734,853,2023-04-01,-13,Expiration
984,803,2024-08-29,-7,Damage
591,673,2023-10-25,-7,Theft
960,917,2023-04-06,-3,Expiration
911,507,2022-02-18,-10,Other
67,237,2022-07-27,-5,Theft
649,2,2023-05-22,-2,Expiration
473,246,2024-09-04,3,Cycle Count Correction
911,1023,2024-11-26,-3,Theft
12,119,2023-11-05,-13,Expiration
67,805,2025-02-03,-6,Cycle Count Correction
897,449,2022-12-10,13,Cycle Count Correction
491,171,2024-08-23,-13,Cycle Count Correction
713,781,2024-08-24,-13,Damage
912,424,2024-10-12,-3,Damage
809,772,2022-02-15,-12,Theft
12,206,2025-04-24,-2,Damage
888,447,2022-04-23,-10,Damage
9999,147,2025-01-27,-2,Theft
799,882,2023-11-15,-11,Theft
741,380,2024-11-23,-2,Damage
200,92,2022-10-23,-1,Damage
945,1036,2022-12-18,-1,Theft
417,954,2025-10-14,-9,Cycle Count Correction
314,811,2022-03-09,-1,Theft
394,273,2025-02-12,-6,Theft
788,147,2022-06-25,-10,Theft
321,293,2025-04-11,-12,Damage
953,471,2025-02-24,-5,Other
209,814,2023-05-13,8,Cycle Count Correction
555,641,2022-12-21,-4,Damage
36,597,2021-11-24,-8,Damage
647,582,2022-04-15,-3,Damage
531,942,2023-11-30,-7,Theft
508,748,2022-08-15,6,Cycle Count Correction
367,414,2023-11-15,-11,Theft
858,924,2022-06-05,3,Cycle Count Correction
250,607,2024-11-20,-6,Expiration
819,18,2022-08-30,-5,Damage
34,380,2022-03-10,-8,Theft
394,987,2023-04-05,-12,Expiration
858,599,2022-11-06,6,Cycle Count Correction
770,440,2023-11-12,-1,Expiration
613,810,2025-03-31,-1,Theft
409,707,2021-12-29,-3,Damage
473,205,2025-07-20,-1,Expiration
254,36,2024-05-28,-12,Damage
12,513,2025-01-12,-2,Expiration
302,124,2022-08-29,-13,Cycle Count Correction
799,933,2023-04-04,-8,Cycle Count Correction
763,269,2024-05-22,-8,Theft
209,1020,2022-08-06,-3,Cycle Count Correction
734,789,2023-10-10,-7,Damage
584,542,2025-04-26,-10,Expiration
383,850,2021-10-07,-9,Cycle Count Correction
578,57,2021-10-29,-12,Theft
400,570,2022-12-04,-12,Other
768,1046,2022-05-10,-2,Theft
177,918,2024-12-06,-8,Theft
58,431,2023-06-03,10,Cycle Count Correction
893,374,2024-05-24,-3,Theft
502,582,2022-03-20,-4,Damage
758,844,2021-09-11,-4,Theft
659,476,2024-06-19,-6,Expiration
661,442,2023-05-03,-9,Theft
821,604,2025-01-24,-1,Damage
801,641,2023-09-13,-13,Theft
359,127,2023-12-23,-4,Damage
790,856,2024-08-16,-8,Theft
400,88,2022-02-12,-7,Expiration
657,261,2021-08-29,-13,Theft
56,694,2022-04-19,-6,Expiration
250,492,2025-05-25,-9,Cycle Count Correction
725,872,2021-08-22,-4,Theft
71,592,2023-04-04,-14,Theft
578,1096,2025-06-16,-13,Theft
766,112,2025-07-22,-8,Expiration
725,826,2022-07-15,-13,Damage
164,1077,2022-01-30,14,Cycle Count Correction
9999,98,2023-02-16,-12,Other
201,597,2022-05-14,-12,Expiration
664,666,2022-11-26,-7,Theft
610,27,2023-02-17,-3,Theft
895,236,2022-05-08,-9,Theft
974,799,2021-09-22,-5,Damage
314,847,2024-09-15,-2,Expiration
440,448,2022-04-26,-3,Other
898,435,2021-09-05,-4,Damage
591,146,2024-10-11,-6,Theft
394,126,2023-12-19,-9,Theft
799,709,2024-06-04,-8,Cycle Count Correction
610,309,2021-12-20,-10,Damage
254,534,2024-01-12,-8,Cycle Count Correction
984,579,2025-09-16,-7,Theft
719,25,2024-07-27,-3,Damage
895,425,2025-10-04,-5,Cycle Count Correction
285,811,2025-04-16,-11,Damage
973,949,2021-11-15,-12,Damage
705,968,2022-02-18,-5,Damage
649,641,2022-09-15,9,Cycle Count Correction
611,60,2023-02-19,-10,Theft
584,106,2022-06-14,-1,Theft
201,151,2022-02-05,11,Cycle Count Correction
102,1066,2025-03-27,-3,Theft
296,10,2021-08-20,-8,Theft
9999,630,2025-08-21,-1,Theft
67,383,2022-03-08,-11,Theft
705,1045,2022-11-26,-9,Expiration
400,474,2024-06-04,4,Cycle Count Correction
36,325,2024-10-09,-14,Theft
912,852,2021-08-21,-12,Expiration
129,665,2024-11-27,-5,Damage
178,89,2024-04-08,-1,Cycle Count Correction
898,23,2025-08-05,-8,Cycle Count Correction
831,185,2022-07-12,-6,Cycle Count Correction
267,843,2024-01-25,-13,Damage
84,474,2021-10-23,-8,Theft
498,97,2023-07-09,-7,Cycle Count Correction
500,790,2025-05-16,-6,Theft
182,677,2023-08-18,-13,Expiration
177,877,2025-07-26,6,Cycle Count Correction
992,439,2025-01-04,-4,Damage
227,763,2021-09-07,-8,Damage
341,301,2023-02-20,-3,Expiration
550,876,2024-12-27,-7,Damage
250,992,2024-05-20,-5,Expiration
498,580,2024-12-04,-10,Cycle Count Correction
321,43,2022-05-22,8,Cycle Count Correction
669,233,2023-12-12,12,Cycle Count Correction
647,818,2025-07-11,-12,Damage
359,333,2023-08-26,-8,Theft
594,582,2023-05-24,-6,Other
89,375,2024-01-01,-1,Expiration
531,196,2024-11-17,-14,Damage
814,497,2022-12-07,-10,Damage
527,721,2025-03-18,-7,Expiration
768,525,2021-10-27,-8,Theft
979,863,2022-10-19,-12,Damage
831,688,2023-01-19,-10,Other
870,842,2022-11-06,-3,Theft
557,92,2024-09-25,4,Cycle Count Correction
611,164,2024-02-05,-10,Expiration
885,121,2025-10-12,-7,Other
523,856,2025-01-26,-4,Damage
500,868,2025-06-03,-11,Damage
657,451,2023-03-10,-6,Damage
321,765,2022-06-13,-5,Damage
201,627,2023-12-23,-5,Expiration
845,367,2025-08-26,-4,Theft
6,101,2024-10-14,-4,Damage
455,1031,2022-01-30,-2,Damage
250,11,2025-02-16,-12,Expiration
402,255,2023-01-24,-12,Theft
584,20,2023-10-07,-11,Expiration
925,386,2023-08-28,-6,Damage
801,381,2023-01-05,-1,Expiration
657,768,2021-09-27,-9,Damage
89,226,2025-09-03,-8,Theft
647,381,2025-07-26,-12,Theft
960,711,2024-12-22,4,Cycle Count Correction
670,291,2022-08-30,-7,Cycle Count Correction
647,376,2024-09-03,-8,Theft
949,560,2022-04-24,-6,Theft
84,320,2023-11-18,-2,Damage
659,328,2024-08-20,-4,Cycle Count Correction
440,471,2023-07-25,-4,Damage
164,13,2022-05-31,-4,Theft
491,28,2025-04-04,-11,Theft
96,591,2021-11-26,-12,Damage
909,106,2023-02-08,-5,Theft
400,1093,2023-10-09,-13,Theft
39,409,2023-04-16,-2,Cycle Count Correction
443,1070,2025-07-05,-1,Theft
498,489,2025-04-07,-10,Expiration
394,785,2024-12-07,-14,Damage
201,607,2023-02-12,-10,Theft
615,925,2024-08-05,-5,Cycle Count Correction
212,679,2024-08-11,-11,Damage
326,898,2022-01-10,-4,Damage
409,773,2025-02-10,-5,Damage
813,728,2023-09-06,-14,Cycle Count Correction
594,450,2024-08-24,-9,Theft
285,563,2021-10-02,-1,Cycle Count Correction
584,628,2025-01-12,5,Cycle Count Correction
866,157,2024-02-19,-10,Cycle Count Correction
670,241,2021-12-30,-7,Theft
440,521,2025-01-22,-2,Damage
960,951,2025-08-17,-5,Damage
932,2,2022-07-24,-5,Expiration
866,1059,2023-06-29,-12,Cycle Count Correction
741,217,2024-05-15,-9,Expiration
523,432,2022-02-08,-7,Cycle Count Correction
58,783,2023-09-09,-5,Damage
222,304,2021-11-20,-6,Damage
303,990,2023-11-01,-13,Cycle Count Correction
705,345,2022-11-26,-1,Theft
953,484,2022-04-03,-13,Theft
316,627,2023-02-18,-13,Damage
575,578,2022-11-11,-12,Cycle Count Correction
845,718,2025-03-07,-4,Theft
544,750,2023-08-26,-12,Theft
889,390,2024-09-30,-1,Theft
885,359,2023-02-26,8,Cycle Count Correction
852,427,2022-06-16,-12,Damage
966,534,2022-08-31,-8,Expiration
869,832,2022-06-25,-5,Damage
525,701,2024-11-05,-8,Theft
115,748,2023-01-09,-5,Theft
992,447,2024-06-28,6,Cycle Count Correction
641,786,2022-06-27,-7,Cycle Count Correction
34,390,2022-08-20,-10,Other
949,707,2023-01-07,-13,Expiration
657,437,2025-05-03,-3,Theft
649,68,2024-07-13,-14,Theft
8,378,2021-10-05,-11,Expiration
610,987,2024-12-27,-9,Theft
571,968,2023-02-19,-10,Damage
897,403,2022-01-31,-9,Theft
305,322,2023-11-30,-7,Theft
367,851,2022-01-12,10,Cycle Count Correction
115,239,2025-02-03,-11,Other
402,23,2025-03-12,-11,Damage
981,975,2024-08-31,-10,Damage
788,315,2022-06-16,-7,Cycle Count Correction
647,359,2025-03-22,-11,Damage
584,941,2024-04-27,-5,Theft
8,843,2025-09-13,-9,Theft
402,375,2024-08-13,-14,Other
674,868,2022-02-24,-10,Theft
813,1005,2023-01-30,-12,Damage
270,438,2024-12-22,-5,Damage
102,678,2021-10-01,-7,Damage
247,1094,2025-02-27,-4,Expiration
324,91,2022-07-09,-10,Theft
270,894,2022-08-22,-6,Theft
909,300,2023-10-14,-10,Theft
889,299,2024-02-16,-7,Cycle Count Correction
321,939,2024-07-07,-8,Theft
192,378,2025-02-02,-1,Cycle Count Correction
269,22,2024-01-30,-7,Damage
122,966,2021-11-04,11,Cycle Count Correction
360,1065,2025-06-13,8,Cycle Count Correction
814,764,2024-03-04,-3,Theft
725,18,2022-03-29,-7,Theft
508,989,2025-08-23,-10,Damage
149,972,2022-12-19,-10,Theft
898,345,2022-10-08,-14,Cycle Count Correction
12,698,2021-12-17,-3,Expiration
799,388,2024-12-15,-1,Damage
557,471,2022-09-15,-5,Damage
67,80,2021-09-10,-7,Other
766,30,2025-01-17,-14,Cycle Count Correction
897,238,2022-01-14,-6,Theft
925,48,2023-10-18,-1,Damage
642,1039,2022-12-02,-13,Expiration
12,870,2025-07-25,-11,Damage
122,6,2025-05-11,-11,Theft
538,373,2023-03-30,10,Cycle Count Correction
953,664,2024-05-11,-6,Theft
409,557,2023-06-07,-13,Theft
912,585,2023-10-10,-8,Damage
869,1058,2023-01-25,-3,Other
926,436,2022-07-01,-8,Damage
953,159,2023-02-21,-10,Theft
866,856,2024-07-28,-13,Damage
70,679,2022-03-06,-7,Damage
795,623,2022-07-11,-9,Expiration
813,1067,2024-05-27,5,Cycle Count Correction
355,266,2023-07-26,-5,Damage
199,412,2022-04-18,-11,Expiration
321,617,2022-08-18,-1,Damage
882,228,2022-02-07,-12,Expiration
71,107,2025-09-05,-5,Other
949,59,2023-04-14,-7,Theft
89,184,2023-11-02,-7,Theft
897,103,2023-06-20,-1,Damage
50,872,2022-04-20,-12,Cycle Count Correction
766,590,2023-07-30,-11,Theft
659,1010,2024-04-27,-1,Theft
296,130,2025-02-19,-8,Theft
473,628,2021-10-12,-3,Theft
404,493,2023-05-10,-3,Damage
24,567,2023-05-17,11,Cycle Count Correction
438,527,2025-06-28,-14,Damage
555,944,2021-10-26,-14,Theft
285,110,2025-07-23,-12,Theft
440,312,2022-03-02,-2,Theft
615,69,2024-08-28,8,Cycle Count Correction
911,659,2022-02-18,-8,Damage
981,306,2023-12-29,-1,Expiration
129,580,2024-04-20,-9,Theft
768,1061,2024-09-11,-5,Theft
603,551,2025-09-04,2,Cycle Count Correction
610,647,2024-10-04,-7,Cycle Count Correction
717,1034,2022-12-10,-2,Cycle Count Correction
50,245,2024-07-15,-8,Expiration
591,79,2025-01-01,-4,Expiration
974,682,2023-05-18,-11,Cycle Count Correction
647,276,2024-05-24,-14,Theft
814,290,2025-02-05,-3,Theft
108,273,2024-07-07,-14,Theft
209,597,2023-03-31,-6,Theft
795,231,2021-12-04,-12,Damage
661,989,2021-11-28,-5,Damage
591,885,2024-11-01,-4,Damage
285,716,2024-11-26,-7,Theft
813,509,2022-05-18,-3,Expiration
630,727,2025-03-27,-3,Theft
784,476,2024-10-31,-6,Expiration
567,1065,2023-11-19,12,Cycle Count Correction
647,900,2024-05-23,-9,Other
360,890,2025-06-20,-9,Theft
625,811,2025-08-17,-2,Theft
670,288,2024-07-03,-13,Theft
538,549,2025-05-12,-12,Damage
334,496,2024-04-01,-9,Theft
118,261,2025-04-09,-7,Damage
992,721,2025-04-23,-13,Damage
895,1036,2022-10-13,-3,Damage
908,178,2023-08-30,-5,Theft
118,866,2021-09-22,-14,Other
911,179,2025-07-20,-4,Expiration
571,351,2025-01-18,8,Cycle Count Correction
182,642,2023-03-09,-5,Cycle Count Correction
500,154,2023-09-08,-1,Other
768,266,2024-09-01,-3,Expiration
19,369,2024-11-24,-3,Expiration
12,588,2022-02-13,-2,Damage
200,301,2025-06-10,-3,Damage
908,703,2023-10-29,-4,Theft
972,231,2022-03-04,-9,Theft
725,8,2025-01-03,-14,Theft
6,684,2023-02-01,3,Cycle Count Correction
425,996,2022-03-11,-2,Theft
523,623,2023-01-19,-9,Expiration
96,397,2022-09-06,-3,Damage
182,152,2022-06-13,-8,Theft
450,780,2025-06-30,-9,Damage
314,266,2021-12-25,-2,Theft
966,168,2023-01-02,-10,Theft
24,898,2022-10-19,-4,Theft
27,189,2024-01-21,-6,Damage
813,1045,2023-08-18,-4,Cycle Count Correction
926,493,2025-06-14,-2,Cycle Count Correction
801,96,2024-07-10,-8,Theft
204,898,2023-10-15,-7,Cycle Count Correction
788,107,2022-06-24,-11,Theft
450,751,2024-08-20,-3,Theft
16,22,2021-08-22,-11,Damage
184,144,2023-05-12,-11,Theft
34,763,2024-07-06,-11,Theft
89,834,2024-08-03,-14,Cycle Count Correction
799,1066,2024-06-07,-2,Theft
200,762,2025-05-29,-13,Damage
326,847,2022-09-22,-12,Damage
866,246,2023-04-28,-3,Damage
170,461,2023-10-23,-9,Expiration
108,416,2025-09-24,-9,Cycle Count Correction
334,886,2024-11-20,-2,Expiration
359,891,2023-08-04,-13,Expiration
770,304,2025-04-10,-7,Theft
973,294,2024-11-18,-12,Theft
464,795,2022-03-15,-3,Theft
417,45,2023-03-24,10,Cycle Count Correction
334,568,2023-09-27,-9,Theft
50,522,2021-09-09,-10,Damage
438,143,2022-12-27,-8,Theft
949,860,2024-11-27,-6,Damage
674,843,2022-04-12,-11,Theft
21,312,2021-12-13,8,Cycle Count Correction
324,542,2023-03-22,-7,Damage
717,914,2023-10-18,-5,Expiration
115,977,2024-09-12,12,Cycle Count Correction
473,616,2024-03-24,-12,Expiration
400,827,2022-12-23,-14,Cycle Count Correction
425,210,2023-03-17,-12,Theft
102,444,2022-11-17,-6,Theft
768,262,2023-12-30,-11,Theft
932,102,2021-09-24,10,Cycle Count Correction
898,442,2024-04-09,-13,Cycle Count Correction
942,141,2021-10-06,-7,Expiration
591,467,2023-10-28,-11,Theft
321,759,2025-07-03,4,Cycle Count Correction
527,632,2021-12-24,-9,Damage
897,364,2025-05-09,-5,Expiration
790,444,2025-07-31,-1,Damage
296,566,2025-01-26,-14,Theft
734,293,2023-10-22,-13,Cycle Count Correction
895,168,2023-06-19,-13,Theft
819,403,2022-11-10,-5,Expiration
436,303,2023-11-21,-11,Damage
949,526,2025-01-07,-1,Damage
436,418,2025-09-22,-12,Cycle Count Correction
400,679,2025-01-12,-3,Damage
464,829,2022-10-26,-2,Damage
56,623,2025-10-01,-5,Cycle Count Correction
527,87,2022-09-22,-9,Damage
250,744,2025-01-19,-6,Theft
360,473,2021-09-05,-7,Damage
670,441,2022-07-16,-11,Theft
973,538,2023-08-16,-12,Theft
674,75,2024-05-20,-6,Theft
625,799,2024-01-20,-9,Damage
550,811,2022-07-13,-13,Cycle Count Correction
885,591,2023-12-17,-6,Expiration
67,296,2023-11-21,-8,Expiration
12,600,2022-01-13,-7,Cycle Count Correction
33,599,2023-04-01,-7,Expiration
502,614,2025-06-27,-8,Expiration
571,522,2025-06-25,-11,Expiration
984,701,2021-12-31,12,Cycle Count Correction
576,627,2024-04-08,-1,Expiration
538,900,2021-12-29,-14,Damage
394,538,2024-09-26,-11,Theft
222,966,2025-02-04,8,Cycle Count Correction
819,988,2024-04-07,-13,Theft
177,1035,2024-10-27,-7,Expiration
705,31,2024-01-20,-2,Damage
898,390,2024-04-03,-3,Theft
83,583,2025-01-25,-4,Theft
670,435,2022-02-28,-7,Cycle Count Correction
882,918,2024-03-10,-3,Cycle Count Correction
438,94,2023-05-05,-12,Expiration
788,1084,2025-05-17,-6,Theft
979,689,2025-04-19,-6,Theft
949,629,2024-12-01,-7,Theft
642,638,2025-03-27,-7,Theft
584,463,2024-01-26,-12,Theft
227,1001,2021-10-11,-4,Damage
790,387,2022-09-30,-1,Theft
394,449,2023-06-18,-4,Theft
958,797,2023-04-23,-8,Cycle Count Correction
96,502,2022-12-09,-1,Cycle Count Correction
687,214,2021-10-17,-13,Cycle Count Correction
417,669,2024-10-31,-1,Damage
204,215,2024-09-08,3,Cycle Count Correction
70,943,2025-05-23,-3,Damage
178,809,2023-01-14,13,Cycle Count Correction
813,1008,2022-05-26,-6,Cycle Count Correction
902,370,2022-06-21,-10,Expiration
809,433,2023-11-08,-1,Expiration
149,600,2023-07-17,-6,Damage
473,724,2025-09-26,-13,Theft
67,927,2023-05-15,-13,Damage
285,533,2024-03-02,-1,Other
984,495,2021-11-05,-11,Cycle Count Correction
578,643,2022-11-16,-3,Theft
972,231,2024-03-11,-5,Theft
893,242,2024-05-09,-5,Damage
318,128,2023-09-04,-7,Damage
