Date Key,Traffic Source,Web Visits
2021-10-11,Organic Search,449
2021-10-11,Paid Search,748
2021-10-11,Referral,104
2021-10-11,Social,610
2021-10-12,Direct,271
2021-10-12,Email,118
2021-10-12,Organic Search,587
2021-10-12,Paid Search,299
2021-10-12,Referral,56
2021-10-12,Social,466
2021-10-13,Direct,181
2021-10-13,Email,100
2021-10-13,Organic Search,411
2021-10-13,Paid Search,536
2021-10-13,Referral,67
2021-10-13,Social,718
2021-10-14,Direct,153
2021-10-14,Email,58
2021-10-14,Organic Search,557
2021-10-14,Paid Search,626
2021-10-14,Referral,121
2021-10-14,Social,1293
2021-10-15,Direct,129
2021-10-15,Email,28
2021-10-15,Organic Search,538
2021-10-15,Paid Search,300
2021-10-15,Referral,15
2021-10-15,Social,698
2021-10-16,Direct,151
2021-10-16,Email,22
2021-10-16,Organic Search,571
2021-10-16,Paid Search,172
2021-10-16,Referral,33
2021-10-16,Social,257
2021-10-17,Direct,272
2021-10-17,Email,95
2021-10-17,Organic Search,463
2021-10-17,Paid Search,174
2021-10-17,Referral,207
2021-10-17,Social,832
2021-10-18,Direct,358
2021-10-18,Email,62
2021-10-18,Organic Search,530
2021-10-18,Paid Search,219
2021-10-18,Referral,35
2021-10-18,Social,283
2021-10-19,Direct,166
2021-10-19,Email,56
2021-10-19,Organic Search,731
2021-10-19,Paid Search,377
2021-10-19,Referral,88
2021-10-19,Social,841
2021-10-20,Direct,234
2021-10-20,Email,139
2021-10-20,Organic Search,626
2021-10-20,Paid Search,370
2021-10-20,Referral,150
2021-10-20,Social,403
2021-10-21,Direct,236
2021-10-21,Email,66
2021-10-21,Organic Search,315
2021-10-21,Paid Search,469
2021-10-21,Referral,111
2021-10-21,Social,350
2021-10-22,Direct,401
2021-10-22,Email,55
2021-10-22,Organic Search,660
2021-10-22,Paid Search,383
2021-10-22,Referral,37
2021-10-22,Social,277
2021-10-23,Direct,202
2021-10-23,Email,20
2021-10-23,Organic Search,297
2021-10-23,Paid Search,487
2021-10-23,Referral,113
2021-10-23,Social,161
2021-10-24,Direct,207
2021-10-24,Email,54
2021-10-24,Organic Search,312
2021-10-24,Paid Search,362
2021-10-24,Referral,78
2021-10-24,Social,334
2021-10-25,Direct,241
2021-10-25,Email,172
2021-10-25,Organic Search,526
2021-10-25,Paid Search,538
2021-10-25,Referral,15
2021-10-25,Social,269
2021-10-26,Direct,118
2021-10-26,Email,156
2021-10-26,Organic Search,271
2021-10-26,Paid Search,394
2021-10-26,Referral,318
2021-10-26,Social,448
2021-10-27,Direct,274
2021-10-27,Email,92
2021-10-27,Organic Search,712
2021-10-27,Paid Search,608
2021-10-27,Referral,99
2021-10-27,Social,59
2021-10-28,Direct,288
2021-10-28,Email,28
2021-10-28,Organic Search,266
2021-10-28,Paid Search,353
2021-10-28,Referral,70
2021-10-28,Social,187
2021-10-29,Direct,305
2021-10-29,Email,177
2021-10-29,Organic Search,385
2021-10-29,Paid Search,563
2021-10-29,Referral,31
2021-10-29,Social,329
2021-10-30,Direct,272
2021-10-30,Email,187
2021-10-30,Organic Search,564
2021-10-30,Paid Search,268
2021-10-30,Referral,29
2021-10-30,Social,380
2021-10-31,Direct,163
2021-10-31,Email,71
2021-10-31,Organic Search,407
2021-10-31,Paid Search,674
2021-10-31,Referral,63
2021-10-31,Social,148
2021-11-01,Direct,189
2021-11-01,Email,136
2021-11-01,Organic Search,393
2021-11-01,Paid Search,623
2021-11-01,Referral,97
2021-11-01,Social,224
2021-11-02,Direct,345
2021-11-02,Email,128
2021-11-02,Organic Search,395
2021-11-02,Paid Search,370
2021-11-02,Referral,95
2021-11-02,Social,438
2021-11-03,Direct,107
2021-11-03,Email,60
2021-11-03,Organic Search,686
2021-11-03,Paid Search,474
2021-11-03,Referral,111
2021-11-03,Social,483
2021-11-04,Direct,209
2021-11-04,Email,147
2021-11-04,Organic Search,566
2021-11-04,Paid Search,354
2021-11-04,Referral,132
2021-11-04,Social,402
2021-11-05,Direct,258
2021-11-05,Email,242
2021-11-05,Organic Search,473
2021-11-05,Paid Search,214
2021-11-05,Referral,87
2021-11-05,Social,314
2021-11-06,Direct,249
2021-11-06,Email,109
2021-11-06,Organic Search,717
2021-11-06,Paid Search,360
2021-11-06,Referral,30
2021-11-06,Social,108
2021-11-07,Direct,247
2021-11-07,Email,53
2021-11-07,Organic Search,779
2021-11-07,Paid Search,672
2021-11-07,Referral,237
2021-11-07,Social,611
2021-11-08,Direct,299
2021-11-08,Email,37
2021-11-08,Organic Search,730
2021-11-08,Paid Search,588
2021-11-08,Referral,138
2021-11-08,Social,388
2021-11-09,Direct,266
2021-11-09,Email,147
2021-11-09,Organic Search,332
2021-11-09,Paid Search,316
2021-11-09,Referral,133
2021-11-09,Social,457
2021-11-10,Direct,165
2021-11-10,Email,129
2021-11-10,Organic Search,426
2021-11-10,Paid Search,376
2021-11-10,Referral,38
2021-11-10,Social,320
2021-11-11,Direct,161
2021-11-11,Email,162
2021-11-11,Organic Search,460
2021-11-11,Paid Search,191
2021-11-11,Referral,93
2021-11-11,Social,291
2021-11-12,Direct,255
2021-11-12,Email,79
2021-11-12,Organic Search,604
2021-11-12,Paid Search,485
2021-11-12,Referral,112
2021-11-12,Social,626
2021-11-13,Direct,109
2021-11-13,Email,67
2021-11-13,Organic Search,359
2021-11-13,Paid Search,645
2021-11-13,Referral,110
2021-11-13,Social,234
2021-11-14,Direct,198
2021-11-14,Email,255
2021-11-14,Organic Search,396
2021-11-14,Paid Search,321
2021-11-14,Referral,69
2021-11-14,Social,125
2021-11-15,Direct,252
2021-11-15,Email,133
2021-11-15,Organic Search,822
2021-11-15,Paid Search,190
2021-11-15,Referral,152
2021-11-15,Social,471
2021-11-16,Direct,224
2021-11-16,Email,50
2021-11-16,Organic Search,640
2021-11-16,Paid Search,402
2021-11-16,Referral,210
2021-11-16,Social,218
2021-11-17,Direct,251
2021-11-17,Email,51
2021-11-17,Organic Search,279
2021-11-17,Paid Search,284
2021-11-17,Referral,86
2021-11-17,Social,83
2021-11-18,Direct,257
2021-11-18,Email,73
2021-11-18,Organic Search,725
2021-11-18,Paid Search,544
2021-11-18,Referral,74
2021-11-18,Social,365
2021-11-19,Direct,214
2021-11-19,Email,114
2021-11-19,Organic Search,438
2021-11-19,Paid Search,199
2021-11-19,Referral,55
2021-11-19,Social,388
2021-11-20,Direct,141
2021-11-20,Email,51
2021-11-20,Organic Search,474
2021-11-20,Paid Search,277
2021-11-20,Referral,99
2021-11-20,Social,101
2021-11-21,Direct,314
2021-11-21,Email,47
2021-11-21,Organic Search,928
2021-11-21,Paid Search,267
2021-11-21,Referral,112
2021-11-21,Social,821
2021-11-22,Direct,253
2021-11-22,Email,173
2021-11-22,Organic Search,810
2021-11-22,Paid Search,763
2021-11-22,Referral,164
2021-11-22,Social,467
2021-11-23,Direct,260
2021-11-23,Email,38
2021-11-23,Organic Search,630
2021-11-23,Paid Search,465
2021-11-23,Referral,227
2021-11-23,Social,163
2021-11-24,Direct,278
2021-11-24,Email,98
2021-11-24,Organic Search,764
2021-11-24,Paid Search,195
2021-11-24,Referral,42
2021-11-24,Social,209
2021-11-25,Direct,236
2021-11-25,Email,75
2021-11-25,Organic Search,700
2021-11-25,Paid Search,215
2021-11-25,Referral,82
2021-11-25,Social,754
2021-11-26,Direct,242
2021-11-26,Email,83
2021-11-26,Organic Search,1029
2021-11-26,Paid Search,389
2021-11-26,Referral,47
2021-11-26,Social,97
2021-11-27,Direct,164
2021-11-27,Email,57
2021-11-27,Organic Search,429
2021-11-27,Paid Search,710
2021-11-27,Referral,85
2021-11-27,Social,501
2021-11-28,Direct,755
2021-11-28,Email,45
2021-11-28,Organic Search,517
2021-11-28,Paid Search,370
2021-11-28,Referral,92
2021-11-28,Social,822
2021-11-29,Direct,96
2021-11-29,Email,143
2021-11-29,Organic Search,327
2021-11-29,Paid Search,312
2021-11-29,Referral,88
2021-11-29,Social,503
2021-11-30,Direct,140
2021-11-30,Email,50
2021-11-30,Organic Search,431
2021-11-30,Paid Search,176
2021-11-30,Referral,34
2021-11-30,Social,183
2021-12-01,Direct,204
2021-12-01,Email,96
2021-12-01,Organic Search,431
2021-12-01,Paid Search,486
2021-12-01,Referral,96
2021-12-01,Social,742
2021-12-02,Direct,301
2021-12-02,Email,85
2021-12-02,Organic Search,703
2021-12-02,Paid Search,378
2021-12-02,Referral,15
2021-12-02,Social,648
2021-12-03,Direct,330
2021-12-03,Email,41
2021-12-03,Organic Search,349
2021-12-03,Paid Search,150
2021-12-03,Referral,128
2021-12-03,Social,268
2021-12-04,Direct,108
2021-12-04,Email,128
2021-12-04,Organic Search,426
2021-12-04,Paid Search,600
2021-12-04,Referral,41
2021-12-04,Social,401
2021-12-05,Direct,206
2021-12-05,Email,178
2021-12-05,Organic Search,761
2021-12-05,Paid Search,344
2021-12-05,Referral,33
2021-12-05,Social,237
2021-12-06,Direct,362
2021-12-06,Email,57
2021-12-06,Organic Search,294
2021-12-06,Paid Search,271
2021-12-06,Referral,72
2021-12-06,Social,89
2021-12-07,Direct,179
2021-12-07,Email,123
2021-12-07,Organic Search,400
2021-12-07,Paid Search,311
2021-12-07,Referral,122
2021-12-07,Social,428
2021-12-08,Direct,334
2021-12-08,Email,164
2021-12-08,Organic Search,423
2021-12-08,Paid Search,333
2021-12-08,Referral,88
2021-12-08,Social,384
2021-12-09,Direct,180
2021-12-09,Email,114
2021-12-09,Organic Search,379
2021-12-09,Paid Search,305
2021-12-09,Referral,17
2021-12-09,Social,238
2021-12-10,Direct,257
2021-12-10,Email,242
2021-12-10,Organic Search,305
2021-12-10,Paid Search,318
2021-12-10,Referral,121
2021-12-10,Social,307
2021-12-11,Direct,278
2021-12-11,Email,90
2021-12-11,Organic Search,483
2021-12-11,Paid Search,264
2021-12-11,Referral,29
2021-12-11,Social,332
2021-12-12,Direct,271
2021-12-12,Email,81
2021-12-12,Organic Search,224
2021-12-12,Paid Search,460
2021-12-12,Referral,111
2021-12-12,Social,590
2021-12-13,Direct,289
2021-12-13,Email,87
2021-12-13,Organic Search,460
2021-12-13,Paid Search,694
2021-12-13,Referral,113
2021-12-13,Social,359
2021-12-14,Direct,253
2021-12-14,Email,26
2021-12-14,Organic Search,568
2021-12-14,Paid Search,344
2021-12-14,Referral,95
2021-12-14,Social,312
2021-12-15,Direct,361
2021-12-15,Email,127
2021-12-15,Organic Search,581
2021-12-15,Paid Search,210
2021-12-15,Referral,74
2021-12-15,Social,206
2021-12-16,Direct,121
2021-12-16,Email,153
2021-12-16,Organic Search,565
2021-12-16,Paid Search,320
2021-12-16,Referral,96
2021-12-16,Social,449
2021-12-17,Direct,50
2021-12-17,Email,20
2021-12-17,Organic Search,80
2021-12-17,Paid Search,60
2021-12-17,Referral,15
2021-12-17,Social,40
2021-12-18,Direct,282
2021-12-18,Email,73
2021-12-18,Organic Search,553
2021-12-18,Paid Search,329
2021-12-18,Referral,54
2021-12-18,Social,549
2021-12-19,Direct,126
2021-12-19,Email,52
2021-12-19,Organic Search,360
2021-12-19,Paid Search,319
2021-12-19,Referral,65
2021-12-19,Social,230
2021-12-20,Direct,185
2021-12-20,Email,114
2021-12-20,Organic Search,332
2021-12-20,Paid Search,692
2021-12-20,Referral,67
2021-12-20,Social,209
2021-12-21,Direct,161
2021-12-21,Email,103
2021-12-21,Organic Search,565
2021-12-21,Paid Search,347
2021-12-21,Referral,23
2021-12-21,Social,453
2021-12-22,Direct,198
2021-12-22,Email,76
2021-12-22,Organic Search,553
2021-12-22,Paid Search,358
2021-12-22,Referral,68
2021-12-22,Social,832
2021-12-23,Direct,212
2021-12-23,Email,68
2021-12-23,Organic Search,596
2021-12-23,Paid Search,432
2021-12-23,Referral,126
2021-12-23,Social,40
2021-12-24,Direct,247
2021-12-24,Email,52
2021-12-24,Organic Search,424
2021-12-24,Paid Search,633
2021-12-24,Referral,15
2021-12-24,Social,318
2021-12-25,Direct,186
2021-12-25,Email,143
2021-12-25,Organic Search,351
2021-12-25,Paid Search,325
2021-12-25,Referral,504
2021-12-25,Social,233
2021-12-26,Direct,147
2021-12-26,Email,108
2021-12-26,Organic Search,564
2021-12-26,Paid Search,245
2021-12-26,Referral,290
2021-12-26,Social,233
2021-12-27,Direct,185
2021-12-27,Email,119
2021-12-27,Organic Search,554
2021-12-27,Paid Search,470
2021-12-27,Referral,57
2021-12-27,Social,330
2021-12-28,Direct,79
2021-12-28,Email,227
2021-12-28,Organic Search,814
2021-12-28,Paid Search,430
2021-12-28,Referral,42
2021-12-28,Social,322
2021-12-29,Direct,163
2021-12-29,Email,64
2021-12-29,Organic Search,930
2021-12-29,Paid Search,318
2021-12-29,Referral,115
2021-12-29,Social,344
2021-12-30,Direct,178
2021-12-30,Email,70
2021-12-30,Organic Search,421
2021-12-30,Paid Search,344
2021-12-30,Referral,28
2021-12-30,Social,331
2021-12-31,Direct,213
2021-12-31,Email,67
2021-12-31,Organic Search,383
2021-12-31,Paid Search,334
2021-12-31,Referral,193
2021-12-31,Social,332
2022-01-01,Direct,412
2022-01-01,Email,189
2022-01-01,Organic Search,596
2022-01-01,Paid Search,739
2022-01-01,Referral,235
2022-01-01,Social,803
2022-01-02,Direct,68
2022-01-02,Email,129
2022-01-02,Organic Search,553
2022-01-02,Paid Search,331
2022-01-02,Referral,75
2022-01-02,Social,487
2022-01-03,Direct,364
2022-01-03,Email,190
2022-01-03,Organic Search,858
2022-01-03,Paid Search,664
2022-01-03,Referral,176
2022-01-03,Social,282
2022-01-04,Direct,484
2022-01-04,Email,42
2022-01-04,Organic Search,981
2022-01-04,Paid Search,566
2022-01-04,Referral,175
2022-01-04,Social,703
2022-01-05,Direct,316
2022-01-05,Email,76
2022-01-05,Organic Search,1106
2022-01-05,Paid Search,359
2022-01-05,Referral,120
2022-01-05,Social,565
2022-01-06,Direct,329
2022-01-06,Email,263
2022-01-06,Organic Search,689
2022-01-06,Paid Search,403
2022-01-06,Referral,66
2022-01-06,Social,851
2022-01-07,Direct,258
2022-01-07,Email,72
2022-01-07,Organic Search,582
2022-01-07,Paid Search,470
2022-01-07,Referral,154
2022-01-07,Social,630
2022-01-08,Direct,228
2022-01-08,Email,123
2022-01-08,Organic Search,799
2022-01-08,Paid Search,496
2022-01-08,Referral,178
2022-01-08,Social,228
2022-01-09,Direct,203
2022-01-09,Email,42
2022-01-09,Organic Search,1002
2022-01-09,Paid Search,642
2022-01-09,Referral,270
2022-01-09,Social,509
2022-01-10,Direct,359
2022-01-10,Email,133
2022-01-10,Organic Search,526
2022-01-10,Paid Search,339
2022-01-10,Referral,121
2022-01-10,Social,709
2022-01-11,Direct,215
2022-01-11,Email,62
2022-01-11,Organic Search,878
2022-01-11,Paid Search,192
2022-01-11,Referral,213
2022-01-11,Social,903
2022-01-12,Direct,368
2022-01-12,Email,113
2022-01-12,Organic Search,1197
2022-01-12,Paid Search,299
2022-01-12,Referral,131
2022-01-12,Social,1361
2022-01-13,Direct,411
2022-01-13,Email,43
2022-01-13,Organic Search,1115
2022-01-13,Paid Search,526
2022-01-13,Referral,82
2022-01-13,Social,415
2022-01-14,Direct,220
2022-01-14,Email,88
2022-01-14,Organic Search,546
2022-01-14,Paid Search,1125
2022-01-14,Referral,42
2022-01-14,Social,507
2022-01-15,Direct,146
2022-01-15,Email,57
2022-01-15,Organic Search,580
2022-01-15,Paid Search,668
2022-01-15,Referral,42
2022-01-15,Social,722
2022-01-16,Direct,216
2022-01-16,Email,107
2022-01-16,Organic Search,354
2022-01-16,Paid Search,510
2022-01-16,Referral,83
2022-01-16,Social,601
2022-01-17,Direct,412
2022-01-17,Email,126
2022-01-17,Organic Search,844
2022-01-17,Paid Search,335
2022-01-17,Referral,58
2022-01-17,Social,575
2022-01-18,Direct,397
2022-01-18,Email,64
2022-01-18,Organic Search,915
2022-01-18,Paid Search,437
2022-01-18,Referral,43
2022-01-18,Social,329
2022-01-19,Direct,252
2022-01-19,Email,163
2022-01-19,Organic Search,719
2022-01-19,Paid Search,421
2022-01-19,Referral,264
2022-01-19,Social,301
2022-01-20,Direct,264
2022-01-20,Email,105
2022-01-20,Organic Search,616
2022-01-20,Paid Search,515
2022-01-20,Referral,227
2022-01-20,Social,656
2022-01-21,Direct,361
2022-01-21,Email,190
2022-01-21,Organic Search,478
2022-01-21,Paid Search,320
2022-01-21,Referral,84
2022-01-21,Social,263
2022-01-22,Direct,344
2022-01-22,Email,107
2022-01-22,Organic Search,558
2022-01-22,Paid Search,287
2022-01-22,Referral,283
2022-01-22,Social,464
2022-01-23,Direct,219
2022-01-23,Email,25
2022-01-23,Organic Search,737
2022-01-23,Paid Search,623
2022-01-23,Referral,79
2022-01-23,Social,611
2022-01-24,Direct,564
2022-01-24,Email,59
2022-01-24,Organic Search,774
2022-01-24,Paid Search,234
2022-01-24,Referral,216
2022-01-24,Social,445
2022-01-25,Direct,372
2022-01-25,Email,80
2022-01-25,Organic Search,559
2022-01-25,Paid Search,619
2022-01-25,Referral,128
2022-01-25,Social,779
2022-01-26,Direct,314
2022-01-26,Email,159
2022-01-26,Organic Search,1052
2022-01-26,Paid Search,193
2022-01-26,Referral,43
2022-01-26,Social,807
2022-01-27,Direct,212
2022-01-27,Email,253
2022-01-27,Organic Search,894
2022-01-27,Paid Search,503
2022-01-27,Referral,60
2022-01-27,Social,709
2022-01-28,Direct,182
2022-01-28,Email,31
2022-01-28,Organic Search,708
2022-01-28,Paid Search,568
2022-01-28,Referral,156
2022-01-28,Social,384
2022-01-29,Direct,370
2022-01-29,Email,166
2022-01-29,Organic Search,501
2022-01-29,Paid Search,605
2022-01-29,Referral,195
2022-01-29,Social,396
2022-01-30,Direct,385
2022-01-30,Email,135
2022-01-30,Organic Search,799
2022-01-30,Paid Search,542
2022-01-30,Referral,103
2022-01-30,Social,657
2022-01-31,Direct,181
2022-01-31,Email,140
2022-01-31,Organic Search,632
2022-01-31,Paid Search,446
2022-01-31,Referral,93
2022-01-31,Social,642
2022-02-01,Direct,312
2022-02-01,Email,123
2022-02-01,Organic Search,1250
2022-02-01,Paid Search,411
2022-02-01,Referral,35
2022-02-01,Social,222
2022-02-02,Direct,349
2022-02-02,Email,154
2022-02-02,Organic Search,516
2022-02-02,Paid Search,336
2022-02-02,Referral,184
2022-02-02,Social,1046
2022-02-03,Direct,247
2022-02-03,Email,129
2022-02-03,Organic Search,704
2022-02-03,Paid Search,364
2022-02-03,Referral,350
2022-02-03,Social,497
2022-02-04,Direct,192
2022-02-04,Email,156
2022-02-04,Organic Search,684
2022-02-04,Paid Search,588
2022-02-04,Referral,318
2022-02-04,Social,246
2022-02-05,Direct,246
2022-02-05,Email,119
2022-02-05,Organic Search,491
2022-02-05,Paid Search,566
2022-02-05,Referral,19
2022-02-05,Social,267
2022-02-06,Direct,236
2022-02-06,Email,42
2022-02-06,Organic Search,629
2022-02-06,Paid Search,366
2022-02-06,Referral,180
2022-02-06,Social,883
2022-02-07,Direct,438
2022-02-07,Email,93
2022-02-07,Organic Search,673
2022-02-07,Paid Search,615
2022-02-07,Referral,26
2022-02-07,Social,1046
2022-02-08,Direct,427
2022-02-08,Email,115
2022-02-08,Organic Search,1074
2022-02-08,Paid Search,493
2022-02-08,Referral,84
2022-02-08,Social,196
2022-02-09,Direct,350
2022-02-09,Email,107
