Product Key,Product Name,Product Type,Product Family,Product Line,Product Group,Product Description,Sku Number,Price,Product Status,Product Notes,Updated At,Updated By,Proposed Price,Vendor Key
20,"20-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"55"" Class (54.6"" Diag.)   LED   2160p",HD5962551993,235.5,Active,Large sell,2022-05-12 14:05:53,sofie@sigmacomputing.com,,10
21,"21-M Series   43"" Class (42.5"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   43"" Class (42.5"" Diag.)",HD2604566011,886.5,Discontinue,Other similar sizes sell better,2021-09-01 20:06:56,sofie@sigmacomputing.com,200.0,20
22,"22-M Series   50"" Class (49.5"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   50"" Class (49.5"" Diag.)",HD5082493409,52.0,Active,Other similar sizes sell better,2021-03-23 19:06:20,tyler@sigmacomputing.com,,10
23,"23-M Series   55"" Class (55"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   55"" Class (55"" Diag.)",HD2346469246,172.5,Discontinue,No sales in the past 3 months,2021-03-23 19:06:21,tyler@sigmacomputing.com,,10
24,"24-60"" Class (60"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,VIZIO,"60"" Class (60"" Diag.)   LED   2160p",HD5000774137,382.5,Discontinue,No sales in the past 3 months,2020-12-17 15:17:24,kristian@sigmacomputing.com,,9
25,"25-M Series   70"" Class (69.5"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   70"" Class (69.5"" Diag.)",HD6548384322,388.0,Active,No sales in the past 3 months,2021-05-05 19:53:36,tyler@sigmacomputing.com,,20
26,"26-48"" Class (47.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"48"" Class (47.6"" Diag.)   LED   2160p",HD7090510318,335.5,Active,Increased sales,2021-09-16 20:57:22,sofie@sigmacomputing.com,300.0,20
27,"27-55"" Class (54.6"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   Curved",HD6117938607,529.5,Active,Performing quite well,2021-01-12 16:44:34,kristian@sigmacomputing.com,600.0,20
28,"28-65"" Class (64.5"" Diag.)   2160p   Smart",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   2160p   Smart",HD1631775708,482.5,Active,Selling really well right now,2021-01-13 23:32:12,kristian@sigmacomputing.com,600.0,10
29,"29-43"" Class (42.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"43"" Class (42.5"" Diag.)   LED   2160p",HD8655463393,4099.5,End of Life,Hasn't sold in months,2021-06-15 18:54:30,sofie@sigmacomputing.com,0.0,10
30,"30-AQUOS   55"" Class (54.6"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   55"" Class (54.6"" Diag.)   LED",HD9727896682,214.5,Discontinue,Need to update,2021-06-10 13:20:45,sofie@sigmacomputing.com,2000.0,20
31,"31-75"" Class (74.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"75"" Class (74.5"" Diag.)   LED   2160p",HD1459001333,167.5,Active,Doing great,2021-01-29 22:28:05,kristian@sigmacomputing.com,,2
32,"32-AQUOS   43"" Class (42.5"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   43"" Class (42.5"" Diag.)   LED",HD7008363701,372.0,Discontinue,Other similar sizes sell better,2021-01-29 18:25:18,kristian@sigmacomputing.com,,10
33,"33-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"65"" Class (64.5"" Diag.)   LED   2160p",HD9537428815,109.5,Discontinue,Other similar sizes sell better,2021-01-29 18:25:19,kristian@sigmacomputing.com,,20
34,"34-65"" Class (64.5"" Diag.)   OLED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"65"" Class (64.5"" Diag.)   OLED   2160p",HD9234408672,183.0,Discontinue,Been a while since we sold this product,2021-11-05 15:08:15,sofie@sigmacomputing.com,,10
35,"35-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"55"" Class (54.6"" Diag.)   LED   2160p",HD2674757452,1081.0,Discontinue,Other similar sizes sell better,2021-01-29 18:25:20,kristian@sigmacomputing.com,,10
36,"36-M Series   49"" Class (48.5"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   49"" Class (48.5"" Diag.)",HD9451418499,146.5,Discontinue,Other similar sizes sell better,2021-01-29 18:25:21,kristian@sigmacomputing.com,,9
37,"37-AQUOS   70"" Class (69.5"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   70"" Class (69.5"" Diag.)   LED",HD5968678406,298.5,Discontinue,Other similar sizes sell better,2021-01-29 18:25:21,kristian@sigmacomputing.com,,10
38,"38-65"" Class (64.5"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED   Curved",HD2103714806,235.5,Discontinue,Other similar sizes sell better,2021-01-29 18:25:22,kristian@sigmacomputing.com,,5
39,"39-48"" Class (47.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"48"" Class (47.6"" Diag.)   LED   2160p",HD6253016043,487.5,Discontinue,Other similar sizes sell better,2021-01-29 18:25:22,kristian@sigmacomputing.com,,9
40,"40-AQUOS   70"" Class (69.5"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   70"" Class (69.5"" Diag.)   LED",HD3366775583,178.0,Active,"Going well, raise price",2021-02-10 20:41:04,kristian@sigmacomputing.com,200.0,9
41,"41-75"" Class (74.5"" Diag.)   2160p   Smart",Entertainment,High Definition TV,4K Ultra,Samsung,"75"" Class (74.5"" Diag.)   2160p   Smart",HD4198235110,1201.5,Active,Other similar sizes sell better,2021-10-19 14:49:52,tyler@sigmacomputing.com,1300.0,8
42,"42-49"" Class (48.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"49"" Class (48.5"" Diag.)   LED   2160p",HD4492844679,445.5,Discontinue,Other similar sizes sell better,2021-05-24 19:11:23,kristian@sigmacomputing.com,,10
43,"43-60"" Class (60"" Diag.)   2160p   Smart",Entertainment,High Definition TV,4K Ultra,Samsung,"60"" Class (60"" Diag.)   2160p   Smart",HD8794936157,304.0,Discontinue,Other similar sizes sell better,2021-05-24 19:11:24,kristian@sigmacomputing.com,350.0,20
44,"44-65"" Class (64.5"" Diag.)   LED Curved   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED Curved   2160p",HD9113323444,183.0,Discontinue,not performing well,2021-03-01 16:19:50,kristian@sigmacomputing.com,,20
45,"45-M Series   65"" Class (65"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   65"" Class (65"" Diag.)",HD3007615801,561.0,Discontinue,Product not performing well,2021-03-16 16:14:54,kristian@sigmacomputing.com,400.0,10
46,"46-55"" Class (54.6"" Diag.)   OLED   Curved",Entertainment,High Definition TV,4K Ultra,LG,"55"" Class (54.6"" Diag.)   OLED   Curved",HD9464003565,115.0,Discontinue,not performing well,2021-05-03 23:21:30,kristian@sigmacomputing.com,,9
47,"47-55"" Class (54.6"" Diag.)   OLED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"55"" Class (54.6"" Diag.)   OLED   2160p",HD7358852923,697.5,Discontinue,not performing well,2021-05-03 23:21:31,kristian@sigmacomputing.com,800.0,20
48,"48-55"" Class (54 1/2"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sony,"55"" Class (54 1/2"" Diag.)   LED",HD3268621924,739.5,Discontinue,not performing well,2021-05-03 23:21:32,kristian@sigmacomputing.com,,20
49,"49-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"65"" Class (64.5"" Diag.)   LED   2160p",HD5058069237,109.5,Discontinue,not performing well,2021-05-03 23:21:33,kristian@sigmacomputing.com,,9
50,"50-60"" Class (59.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"60"" Class (59.5"" Diag.)   LED   2160p",HD6064108683,325.0,Discontinue,Other similar sizes sell better,2021-05-24 19:11:25,kristian@sigmacomputing.com,50.0,10
51,51-Case for Apple® iPod® touch 5th and 6th Generation   Clear,Music,Audio,Accessories,LifeProof,Case for Apple® iPod® touch 5th and 6th Generation   Clear,AU4305167904,225.0,Discontinue,This is End of Life,2022-04-13 18:40:47,brendon@sigmacomputing.com,0.0,18
52,52-Plus Portable Bluetooth Speaker   Gray,Music,Audio,Accessories,Jam,Plus Portable Bluetooth Speaker   Gray,AU5099854196,109.5,End of Life,Thios is end of life,2022-04-13 22:50:45,brendon@sigmacomputing.com,0.0,16
53,53-Apple MFi Certified 15W Vehicle Charger with 30 Pin Cable and USB Port   Black,Music,Audio,Accessories,Insignia™,Apple MFi Certified 15W Vehicle Charger with 30 Pin Cable and USB Port   Black,AU4045937571,204.0,Active,hello,2021-10-19 20:31:52,max@sigmacomputing.com,,4
54,54-Protector Case for 5th Generation Apple® iPod® touch   Black,Music,Audio,Accessories,Griffin Technology,Protector Case for 5th Generation Apple® iPod® touch   Black,AU6359167765,183.0,End of Life,notes,2022-05-18 23:57:26,brendon@sigmacomputing.com,1000.0,4
55,55-Defender Carrying Case for iPod   Punked,Music,Audio,Accessories,OtterBox,Defender Carrying Case for iPod   Punked,AU1893762919,619.0,Active Mature,gfdsfgjlihgdf,2021-04-28 22:46:47,brendon@sigmacomputing.com,50.0,18
56,56-Survivor Case for 5th Generation Apple® iPod® touch   Black/Blue,Music,Audio,Accessories,Griffin Technology,Survivor Case for 5th Generation Apple® iPod® touch   Black/Blue,AU8357848313,902.5,Active,Way too expensive,2022-05-26 21:07:37,kristian@sigmacomputing.com,100.0,4
57,57-4' Micro USB Charge and Sync Cable,Music,Audio,Accessories,Platinum,4' Micro USB Charge and Sync Cable,AU4643407806,115.0,Discontinue,Nobody buying,2022-05-26 21:07:38,kristian@sigmacomputing.com,,18
58,58-4' Twist Lightning Charge and Sync Cable,Music,Audio,Accessories,Modal,4' Twist Lightning Charge and Sync Cable,AU6669297627,167.5,Active Mature,Hello!,2021-08-13 16:34:08,brendon@sigmacomputing.com,100.0,18
59,59-3' 3.5mm Audio Cable   Purple,Music,Audio,Accessories,Insignia™,3' 3.5mm Audio Cable   Purple,AU1834270411,230.5,,,,,,4
60,60-SoundLink® Mini Bluetooth Speaker Travel Bag   Black,Music,Audio,Accessories,Bose®,SoundLink® Mini Bluetooth Speaker Travel Bag   Black,AU1270231225,162.0,,,,,,4
61,61-Apple MFi Certified 4' Touch On LED Lightning Charge and Sync Cable,Music,Audio,Accessories,Platinum,Apple MFi Certified 4' Touch On LED Lightning Charge and Sync Cable,AU1783438430,52.0,,,,,,18
62,62-FM Direct Adapter   Black,Music,Audio,Accessories,SiriusXM,FM Direct Adapter   Black,AU1982871762,435.0,,,,,,18
63,63-Screen Protector for Apple® iPod® touch 5th Generation   Clear,Music,Audio,Accessories,ZAGG,Screen Protector for Apple® iPod® touch 5th Generation   Clear,AU9988507615,214.5,,,,,,16
64,64-Trainer Armband for 7th Generation Apple® iPod® nano   Black,Music,Audio,Accessories,Griffin Technology,Trainer Armband for 7th Generation Apple® iPod® nano   Black,AU4375750271,991.5,Active Mature,hello,2021-09-08 22:13:44,brendon@sigmacomputing.com,1000.0,14
65,65-Survivor Slim Case for Apple® iPod® touch 5th Generation   Turquoise/Lemon,Music,Audio,Accessories,Griffin Technology,Survivor Slim Case for Apple® iPod® touch 5th Generation   Turquoise/Lemon,AU7718986623,115.0,,,,,,16
66,66-Plus Portable Bluetooth Speaker   Pink,Music,Audio,Accessories,Jam,Plus Portable Bluetooth Speaker   Pink,AU3804222826,120.0,,,,,,4
67,67-BluJax 3.5mm Bluetooth Adapter   Black,Music,Audio,Accessories,iSimple,BluJax 3.5mm Bluetooth Adapter   Black,AU9630063456,52.0,,,,,,18
68,68-KaZoo Case for 5th Generation Apple® iPod® touch   Black,Music,Audio,Accessories,Griffin Technology,KaZoo Case for 5th Generation Apple® iPod® touch   Black,AU9908703792,99.0,,,,,,16
69,69-InvisibleSHIELD HD for 5th Generation Apple® iPod® touch   Clear,Music,Audio,Accessories,ZAGG,InvisibleSHIELD HD for 5th Generation Apple® iPod® touch   Clear,AU8259168716,403.5,Active,free form test,2021-09-17 15:53:07,brendon@sigmacomputing.com,20000.0,18
70,70-freqOUT pro FM Transmitter   Black,Music,Audio,Accessories,Scosche,freqOUT pro FM Transmitter   Black,AU6188325811,545.5,,,,,,16
71,71-Character Support Stand for Pill Speakers   Blue,Music,Audio,Accessories,Beats by Dr. Dre,Character Support Stand for Pill Speakers   Blue,AU4789980313,529.5,,,,,,18
72,72-Blustream Bluetooth FM Modulator   Black,Music,Audio,Accessories,iSimple,Blustream Bluetooth FM Modulator   Black,AU1574406148,529.5,,,,,,18
73,73-JamKast FM Transmitter for Select Apple® iPod® and iPhone® Models   Black,Music,Audio,Accessories,iSimple,JamKast FM Transmitter for Select Apple® iPod® and iPhone® Models   Black,AU9364988842,262.0,Active,free text field,2021-12-13 22:18:23,brendon@sigmacomputing.com,50000.0,4
74,74-5' 3.5mm Audio Cable   Black/Red,Music,Audio,Accessories,Platinum,5' 3.5mm Audio Cable   Black/Red,AU9568142807,298.5,,,,,,4
75,75-Survivor Case for 5th Generation Apple® iPod® touch   Black,Music,Audio,Accessories,Griffin Technology,Survivor Case for 5th Generation Apple® iPod® touch   Black,AU7125816116,529.5,,,,,,4
76,76-4' Twist Lightning Charge and Sync Cable,Music,Audio,Accessories,Modal,4' Twist Lightning Charge and Sync Cable,AU9738436629,430.0,,,,,,18
77,77-3' 3.5mm Audio Cable   Green,Music,Audio,Accessories,Insignia™,3' 3.5mm Audio Cable   Green,AU4689840609,708.0,,,,,,4
78,78-BOOM Wireless Bluetooth Speaker   Black,Music,Audio,Accessories,UE,BOOM Wireless Bluetooth Speaker   Black,AU3665356685,178.0,,,,,,16
79,79-Character Support Stand for Pill Speakers   Pink,Music,Audio,Accessories,Beats by Dr. Dre,Character Support Stand for Pill Speakers   Pink,AU2394336553,146.5,,,,,,4
80,80-Boost Up 2 Port Swivel Charger and Outlet   White,Music,Audio,Accessories,Belkin,Boost Up 2 Port Swivel Charger and Outlet   White,AU4378281522,440.5,Active Mature,Text notes,2021-10-19 21:24:03,brendon@sigmacomputing.com,1000.0,4
81,81-4GB* Wearable Sports MP3 Player   Black,Music,Audio,Accessories,Sony,4GB* Wearable Sports MP3 Player   Black,AU8770752639,62.5,,,,,,18
82,82-BluStream Bluetooth Factory Radio Module   Black,Music,Audio,Accessories,iSimple,BluStream Bluetooth Factory Radio Module   Black,AU8001591363,403.5,,,,,,13
83,83-Stanmore Bluetooth Speaker   Black,Music,Audio,Accessories,Marshall,Stanmore Bluetooth Speaker   Black,AU1080745048,613.5,,,,,,16
84,84-420W Portable Party Speaker System with Apple® iPod® and iPhone® Dock   Black,Music,Audio,Accessories,Sony,420W Portable Party Speaker System with Apple® iPod® and iPhone® Dock   Black,AU8529598590,1222.5,,,,,,18
85,85-Survivor Case for 5th Generation Apple® iPod® touch   Pink/White,Music,Audio,Accessories,Griffin Technology,Survivor Case for 5th Generation Apple® iPod® touch   Pink/White,AU6381889692,335.5,,,,,,9
86,86-EaseFit Plus Armband for Apple® iPhone® 5   Black,Music,Audio,Accessories,Belkin,EaseFit Plus Armband for Apple® iPhone® 5   Black,AU6325065762,540.0,,,,,,18
87,87-Bullfrogz Case for Apple® iPod® touch 5th Generation   Black/Green,Music,Audio,Accessories,iFrogz,Bullfrogz Case for Apple® iPod® touch 5th Generation   Black/Green,AU1653395705,162.0,,,,,,16
88,88-CallJax 3.5mm Audio Cable   Black,Music,Audio,Accessories,iSimple,CallJax 3.5mm Audio Cable   Black,AU7158935337,304.0,,,,,,18
89,89-Call Jax Plus 3.5mm Audio Cable   Black,Music,Audio,Accessories,iSimple,Call Jax Plus 3.5mm Audio Cable   Black,AU2109848570,708.0,,,,,,4
90,90-SoundLink® Mini Bluetooth Speaker Soft Cover   Gray,Music,Audio,Accessories,Bose®,SoundLink® Mini Bluetooth Speaker Soft Cover   Gray,AU7247574737,1611.0,,,,,,18
91,91-Classic Portable Bluetooth Wireless Speaker   Blueberry,Music,Audio,Accessories,Jam,Classic Portable Bluetooth Wireless Speaker   Blueberry,AU4351617381,498.0,,,,,,4
92,92-Survivor Case for Apple® iPod® touch 5th Generation   Purple/Zebra,Music,Audio,Accessories,Griffin Technology,Survivor Case for Apple® iPod® touch 5th Generation   Purple/Zebra,AU3223789783,304.0,,,,,,18
93,93-Courier Clip Case for Apple® iPod® nano 7th Generation   Black,Music,Audio,Accessories,Griffin Technology,Courier Clip Case for Apple® iPod® nano 7th Generation   Black,AU5156485880,109.5,,,,,,4
94,94-3' USB to Micro USB Cable,Music,Audio,Accessories,Beats by Dr. Dre,3' USB to Micro USB Cable,AU9946725044,892.0,,,,,,16
95,95-SoundDock® Series III Digital Music System   Black,Music,Audio,Accessories,Bose®,SoundDock® Series III Digital Music System   Black,AU4873968187,62.5,,,,,,4
96,96-PowerBlock Micro Wall Charger for Select Apple® Devices   White,Music,Audio,Accessories,Griffin Technology,PowerBlock Micro Wall Charger for Select Apple® Devices   White,AU4713463751,671.5,,,,,,4
97,97-CD Boombox with FM Radio and Apple® iPhone® and iPod® Dock   Black/Gray,Music,Audio,Accessories,Insignia™,CD Boombox with FM Radio and Apple® iPhone® and iPod® Dock   Black/Gray,AU1293932906,151.5,,,,,,4
98,98-Survivor Slim Case for 5th Generation Apple® iPod® touch   Black,Music,Audio,Accessories,Griffin Technology,Survivor Slim Case for 5th Generation Apple® iPod® touch   Black,AU6475403505,120.0,,,,,,18
99,99-2 in 1 Case for Apple® iPod® nano 7th Generation,Music,Audio,Accessories,Griffin Technology,2 in 1 Case for Apple® iPod® nano 7th Generation,AU2134055630,2440.5,,,,,,16
100,100-flatOUT 3' Auxiliary Audio Cable   Black,Music,Audio,Accessories,Scosche,flatOUT 3' Auxiliary Audio Cable   Black,AU1829789662,1054.5,Discontinue,This is disocntued,2022-01-07 21:44:03,brendon@sigmacomputing.com,0.0,18
101,101-Galaxy Note5 4G LTE with 32GB Memory Cell Phone   Black Sapphire (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy Note5 4G LTE with 32GB Memory Cell Phone   Black Sapphire (AT&T),SP5995820917,325.0,,,,,,3
102,102-Galaxy Note5 4G LTE with 64GB Memory Cell Phone   Black Sapphire (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy Note5 4G LTE with 64GB Memory Cell Phone   Black Sapphire (AT&T),SP5620533613,272.5,,,,,,11
103,103-iPhone 6s 64GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 64GB   Space Gray (AT&T),SP1144893711,1033.5,,,,,,3
104,104-Galaxy Note5 4G LTE with 32GB Memory Cell Phone   White Pearl (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy Note5 4G LTE with 32GB Memory Cell Phone   White Pearl (AT&T),SP9748854615,115.0,,,,,,11
105,105-iPhone 6s 64GB   Rose Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 64GB   Rose Gold (AT&T),SP4621173559,592.5,,,,,,3
106,106-iPhone 6s Plus 64GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 64GB   Space Gray (AT&T),SP3203656258,109.5,,,,,,3
107,107-iPhone 6s Plus 64GB   Rose Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 64GB   Rose Gold (AT&T),SP5389259648,251.5,,,,,,3
108,108-iPhone 6s 16GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 16GB   Space Gray (AT&T),SP1419400234,1117.5,,,,,,3
109,109-iPhone 6s 16GB   Rose Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 16GB   Rose Gold (AT&T),SP7767938264,571.5,,,,,,11
110,110-iPhone 6s 64GB   Silver (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 64GB   Silver (AT&T),SP8659273938,183.0,,,,,,3
111,111-iPhone 6s 64GB   Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 64GB   Gold (AT&T),SP1046336000,99.0,,,,,,3
112,112-iPhone 6s Plus 64GB   Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 64GB   Gold (AT&T),SP4812459551,1642.5,,,,,,18
113,113-iPhone 6s Plus 64GB   Silver (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 64GB   Silver (AT&T),SP2525285358,57.0,,,,,,3
114,114-Gear S Smartwatch 40mm Chrome AT&T   Black Urethane,Mobiles,Smart Phones,AT&T,Samsung,Gear S Smartwatch 40mm Chrome AT&T   Black Urethane,SP8379591651,529.5,,,,,,11
115,115-Galaxy S6 4G with 32GB Memory Cell Phone   Black Sapphire (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 4G with 32GB Memory Cell Phone   Black Sapphire (AT&T),SP3959149155,734.5,,,,,,18
116,116-iPhone 6 16GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6 16GB   Space Gray (AT&T),SP5068815542,792.0,,,,,,19
117,117-iPhone 6s Plus 16GB   Rose Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 16GB   Rose Gold (AT&T),SP6926206238,288.0,,,,,,11
118,118-iPhone 6s 16GB   Gold (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s 16GB   Gold (AT&T),SP7977917639,99.0,,,,,,3
119,119-iPhone 6s Plus 128GB   Space Gray (AT&T),Mobiles,Smart Phones,AT&T,Apple,iPhone 6s Plus 128GB   Space Gray (AT&T),SP5949762657,582.0,,,,,,3
120,120-Galaxy S6 edge+ 4G LTE with 32GB Memory Cell Phone   Gold Platinum (AT&T),Mobiles,Smart Phones,AT&T,Samsung,Galaxy S6 edge+ 4G LTE with 32GB Memory Cell Phone   Gold Platinum (AT&T),SP6518382100,162.0,,,,,,18
