Return ID,Order Number,Product Key,Return Date,Return Quantity,Refund Amount,Return Reason,Restocked
35,180,172,2025-10-11,1,2154.03,Defective/Damaged,N
36,180,713,2025-10-18,1,77.16,Changed Mind,Y
37,184,810,2024-11-13,1,20.84,Changed Mind,Y
38,190,526,2024-12-31,1,22.88,Wrong Size/Fit,Y
39,191,407,2025-01-26,1,31.35,Changed Mind,Y
40,191,876,2024-12-31,1,74.47,Defective/Damaged,N
41,198,523,2025-03-09,2,45.61,Changed Mind,Y
42,199,277,2025-02-26,2,110.16,Better Price Found,N
43,200,1095,2025-03-02,2,39.67,Defective/Damaged,N
44,206,548,2025-04-19,2,95.09,Better Price Found,Y
45,206,807,2025-04-25,2,21.11,Wrong Size/Fit,Y
46,206,1096,2025-05-08,2,152.55,Changed Mind,Y
47,208,980,2025-04-28,1,28.49,Wrong Size/Fit,Y
48,210,773,2025-05-16,2,39.06,Better Price Found,Y
49,211,519,2025-05-24,1,29.97,Changed Mind,Y
50,213,208,2025-06-26,2,53.62,Not As Described,N
51,213,470,2025-06-01,1,31.25,Wrong Size/Fit,Y
52,213,863,2025-06-17,2,328.12,Better Price Found,N
53,218,372,2025-07-17,2,25.81,Defective/Damaged,N
54,219,843,2025-07-13,2,77.92,Wrong Size/Fit,Y
55,220,33,2025-07-25,2,40.35,Defective/Damaged,N
56,221,465,2025-08-16,2,162.4,Wrong Size/Fit,Y
57,223,1059,2025-09-06,1,868.5,Defective/Damaged,N
58,224,226,2025-09-02,1,12.4,Not As Described,Y
59,225,517,2025-09-06,1,61.05,Changed Mind,Y
60,227,519,2025-09-18,1,29.97,Wrong Size/Fit,Y
61,233,747,2025-10-18,1,37.38,Wrong Size/Fit,Y
62,237,964,2024-06-22,1,179.4,Not As Described,Y
63,241,630,2024-12-08,1,64.05,Not As Described,Y
64,243,506,2025-02-07,1,159.7,Defective/Damaged,N
65,243,1089,2025-02-03,1,174.29,Changed Mind,Y
66,249,721,2025-07-12,2,74.75,Changed Mind,Y
67,254,77,2023-11-23,2,465.86,Not As Described,Y
68,256,321,2023-11-24,2,77.47,Wrong Size/Fit,Y
69,259,918,2023-12-16,2,157.32,Other,Y
70,260,1089,2024-01-07,2,174.29,Wrong Size/Fit,Y
71,264,870,2024-02-03,2,142.76,Wrong Size/Fit,Y
72,266,78,2024-02-15,1,67.68,Defective/Damaged,N
73,269,1064,2024-03-16,1,28.71,Not As Described,Y
74,272,306,2024-03-29,2,401.19,Wrong Size/Fit,Y
75,273,229,2024-04-08,2,135.37,Not As Described,Y
76,273,534,2024-03-20,2,75.73,Changed Mind,Y
77,274,560,2024-04-06,2,81.94,Defective/Damaged,N
78,274,560,2024-03-23,1,40.97,Wrong Size/Fit,Y
79,276,226,2024-04-12,2,45.09,Wrong Size/Fit,Y
80,277,248,2024-04-13,1,8.19,Changed Mind,Y
81,277,288,2024-04-18,1,31.5,Defective/Damaged,Y
82,278,560,2024-05-05,2,81.94,Not As Described,Y
83,278,730,2024-05-18,1,21.93,Defective/Damaged,N
84,281,31,2024-06-05,2,114.65,Changed Mind,Y
85,284,994,2024-06-14,2,183.09,Changed Mind,Y
86,286,54,2024-06-23,1,52.16,Better Price Found,Y
87,286,296,2024-07-12,1,58.36,Wrong Size/Fit,Y
88,286,1087,2024-07-08,1,397.67,Defective/Damaged,N
89,290,308,2024-07-20,2,203.17,Defective/Damaged,N
90,290,476,2024-07-25,2,72.54,Defective/Damaged,N
91,293,287,2024-08-04,1,51.09,Defective/Damaged,N
92,295,715,2024-08-20,1,19.08,Defective/Damaged,N
93,296,788,2024-09-16,2,26.65,Other,Y
94,299,1012,2024-09-21,1,86.18,Wrong Size/Fit,Y
95,300,104,2024-09-28,2,152.49,Wrong Size/Fit,Y
96,300,295,2024-09-26,2,123.81,Better Price Found,Y
97,302,572,2024-10-08,2,42.0,Better Price Found,Y
98,303,598,2024-10-21,1,36.75,Changed Mind,Y
99,308,18,2024-12-05,1,36.96,Wrong Size/Fit,Y
100,308,346,2024-12-06,2,48.07,Not As Described,Y
101,313,501,2025-01-10,2,47.94,Changed Mind,Y
102,314,975,2025-01-08,1,32.04,Changed Mind,Y
103,316,584,2025-01-30,2,122.91,Other,Y
104,317,110,2025-01-28,2,63.14,Defective/Damaged,N
105,318,95,2025-02-17,1,22.66,Wrong Size/Fit,Y
106,318,421,2025-01-23,1,44.04,Other,N
107,318,992,2025-02-15,1,98.69,Better Price Found,Y
108,321,66,2025-02-12,1,33.06,Better Price Found,Y
109,324,551,2025-03-25,1,26.72,Better Price Found,N
110,324,903,2025-03-19,2,23.6,Wrong Size/Fit,Y
111,327,345,2025-04-13,1,43.73,Defective/Damaged,N
112,330,307,2025-05-05,1,41.64,Changed Mind,Y
113,338,786,2025-06-13,1,36.21,Changed Mind,Y
114,339,264,2025-07-04,2,96.6,Changed Mind,Y
115,347,195,2025-08-25,2,110.8,Defective/Damaged,N
116,347,531,2025-08-30,1,46.92,Changed Mind,Y
117,349,1051,2025-08-26,2,150.07,Changed Mind,N
118,350,914,2025-09-20,2,43.64,Changed Mind,N
119,355,847,2025-10-18,1,42.99,Defective/Damaged,N
120,356,60,2025-10-18,2,122.15,Wrong Size/Fit,Y
121,359,706,2022-02-02,1,493.94,Defective/Damaged,N
122,374,423,2024-11-20,1,479.05,Defective/Damaged,N
123,376,322,2025-03-22,1,42.66,Defective/Damaged,N
124,384,424,2021-10-19,1,38.12,Changed Mind,Y
125,384,1085,2021-09-23,2,719.05,Changed Mind,N
126,388,252,2021-10-25,2,200.74,Changed Mind,Y
127,392,461,2021-11-22,1,174.1,Not As Described,Y
128,392,924,2021-12-08,2,59.0,Defective/Damaged,N
129,393,631,2021-12-12,2,127.18,Not As Described,N
130,394,392,2021-12-24,2,179.86,Defective/Damaged,N
131,394,1091,2021-11-30,1,74.65,Changed Mind,Y
132,395,270,2021-12-16,2,90.78,Defective/Damaged,N
133,395,367,2022-01-03,2,269.79,Wrong Size/Fit,Y
134,398,239,2022-01-19,2,1612.55,Wrong Size/Fit,Y
135,398,614,2022-01-26,2,92.34,Changed Mind,Y
136,400,873,2022-01-30,1,55.2,Not As Described,Y
137,402,1036,2022-01-29,1,416.14,Changed Mind,N
138,403,725,2022-02-13,1,147.8,Defective/Damaged,N
139,404,49,2022-03-03,1,81.51,Wrong Size/Fit,Y
140,406,805,2022-02-26,1,272.36,Defective/Damaged,N
141,407,697,2022-03-12,1,72.98,Better Price Found,N
142,408,630,2022-03-16,1,64.05,Other,Y
143,409,726,2022-03-30,2,46.51,Better Price Found,Y
144,411,8,2022-04-14,1,127.82,Changed Mind,Y
145,412,631,2022-04-21,2,127.18,Not As Described,Y
146,412,991,2022-04-27,1,130.41,Defective/Damaged,N
147,413,748,2022-04-22,2,165.93,Not As Described,Y
148,416,754,2022-06-02,1,531.93,Other,N
149,418,726,2022-06-15,2,46.51,Defective/Damaged,N
150,424,517,2022-07-02,1,122.1,Wrong Size/Fit,Y
151,426,597,2022-07-21,1,782.08,Changed Mind,Y
152,427,203,2022-08-08,1,221.19,Changed Mind,N
153,430,754,2022-08-25,1,531.93,Changed Mind,Y
154,430,788,2022-09-03,2,53.29,Better Price Found,Y
155,432,297,2022-08-27,1,45.34,Wrong Size/Fit,Y
156,432,631,2022-09-03,1,63.59,Changed Mind,Y
157,433,6,2022-09-12,1,108.04,Wrong Size/Fit,Y
158,433,306,2022-09-26,1,401.2,Better Price Found,Y
159,433,786,2022-09-22,1,72.42,Changed Mind,Y
160,434,842,2022-09-26,2,178.65,Other,Y
161,441,493,2022-11-13,2,345.0,Changed Mind,Y
162,441,688,2022-10-30,1,29.21,Wrong Size/Fit,Y
163,443,905,2022-11-17,1,34.16,Changed Mind,Y
164,444,164,2022-11-26,1,175.3,Better Price Found,Y
165,445,327,2022-12-10,1,149.46,Changed Mind,Y
166,451,494,2023-01-04,1,62.5,Better Price Found,Y
167,452,154,2023-01-17,1,64.3,Changed Mind,N
168,459,18,2023-03-26,1,73.93,Better Price Found,Y
169,460,51,2023-03-09,1,123.98,Changed Mind,Y
170,462,324,2023-03-28,1,981.47,Changed Mind,Y
171,463,914,2023-04-24,1,43.64,Defective/Damaged,N
172,467,574,2023-05-23,1,96.0,Other,Y
173,467,905,2023-05-19,1,34.15,Defective/Damaged,N
174,468,739,2023-05-23,1,27.54,Wrong Size/Fit,Y
175,469,93,2023-05-28,1,64.5,Better Price Found,Y
176,470,989,2023-05-28,1,237.43,Other,Y
177,471,858,2023-06-21,1,118.89,Other,Y
178,472,838,2023-06-19,2,240.08,Wrong Size/Fit,Y
179,473,490,2023-06-17,1,128.43,Defective/Damaged,Y
180,473,519,2023-06-16,1,59.94,Changed Mind,Y
181,475,1075,2023-06-25,1,32.24,Changed Mind,Y
182,476,4,2023-07-27,2,241.7,Not As Described,N
183,476,33,2023-07-10,1,73.36,Not As Described,N
184,480,18,2025-08-18,2,147.85,Better Price Found,Y
185,484,104,2023-08-27,1,152.49,Not As Described,Y
186,486,104,2025-09-10,2,304.98,Changed Mind,Y
187,490,778,2023-11-03,1,398.98,Changed Mind,Y
188,491,34,2023-11-07,1,143.69,Changed Mind,N
189,491,355,2023-10-26,1,215.28,Changed Mind,Y
190,491,490,2023-10-28,2,256.85,Changed Mind,Y
191,492,297,2023-11-15,1,45.34,Changed Mind,Y
192,492,784,2023-10-21,1,63.54,Changed Mind,Y
193,496,1045,2023-12-09,1,2718.05,Wrong Size/Fit,Y
194,498,916,2023-12-12,1,92.12,Changed Mind,Y
195,499,1022,2023-12-31,1,105.05,Changed Mind,Y
196,507,1083,2024-02-22,2,1639.54,Better Price Found,Y
197,509,230,2024-02-29,2,345.0,Wrong Size/Fit,N
198,511,307,2024-03-11,1,83.27,Changed Mind,Y
199,511,855,2024-03-08,2,99.36,Changed Mind,Y
200,512,665,2024-03-24,1,57.12,Not As Described,Y
201,515,313,2024-04-20,2,158.01,Wrong Size/Fit,Y
202,516,489,2024-04-13,2,868.5,Wrong Size/Fit,Y
203,517,503,2024-04-21,1,97.54,Not As Described,Y
204,527,697,2024-06-25,2,145.96,Wrong Size/Fit,N
205,528,149,2024-07-22,1,1188.31,Changed Mind,N
206,528,924,2024-07-12,2,58.99,Wrong Size/Fit,Y
207,528,1062,2024-07-07,1,52.07,Other,Y
208,530,641,2024-08-09,2,865.3,Defective/Damaged,N
209,533,484,2024-08-31,2,156.97,Changed Mind,Y
210,535,1077,2024-08-25,1,108.4,Other,Y
211,537,327,2024-09-13,1,149.46,Wrong Size/Fit,Y
212,539,390,2024-09-25,2,184.92,Wrong Size/Fit,Y
213,539,964,2024-09-23,1,179.4,Defective/Damaged,N
214,540,782,2024-10-15,2,87.97,Defective/Damaged,N
215,543,1064,2024-10-15,2,114.84,Changed Mind,Y
216,547,993,2024-11-16,1,190.9,Wrong Size/Fit,Y
217,551,171,2024-12-26,2,206.48,Wrong Size/Fit,Y
218,551,637,2024-12-19,2,150.75,Not As Described,Y
219,551,1082,2024-12-03,1,1059.72,Defective/Damaged,N
220,552,877,2024-12-24,1,361.34,Changed Mind,Y
221,553,796,2025-01-13,1,62.56,Wrong Size/Fit,N
222,553,1095,2025-01-11,1,39.67,Changed Mind,Y
223,555,248,2025-01-09,1,16.39,Defective/Damaged,N
224,559,988,2025-02-10,1,97.81,Defective/Damaged,N
225,560,57,2025-02-14,1,91.88,Changed Mind,Y
226,564,297,2025-03-15,1,45.33,Wrong Size/Fit,N
227,564,534,2025-03-15,1,75.74,Changed Mind,Y
228,564,943,2025-03-18,1,367.38,Better Price Found,Y
229,567,270,2025-03-28,2,90.78,Changed Mind,Y
230,571,65,2025-05-14,2,161.69,Wrong Size/Fit,N
231,572,888,2025-04-28,1,573.1,Changed Mind,Y
232,574,465,2025-05-13,2,324.8,Better Price Found,Y
233,574,593,2025-05-24,1,38.28,Defective/Damaged,N
234,574,784,2025-05-23,2,127.08,Changed Mind,Y
235,575,255,2025-06-08,1,29.78,Changed Mind,Y
236,576,976,2025-05-26,1,286.86,Defective/Damaged,N
237,578,1083,2025-07-03,1,819.77,Wrong Size/Fit,Y
238,580,57,2025-06-29,2,183.77,Wrong Size/Fit,Y
239,580,1069,2025-07-01,1,288.14,Defective/Damaged,N
240,581,285,2025-07-07,1,45.9,Defective/Damaged,N
241,582,615,2025-08-03,1,45.88,Other,Y
242,583,80,2025-08-07,1,312.98,Defective/Damaged,N
243,583,560,2025-07-15,1,81.94,Better Price Found,Y
244,584,874,2025-07-25,2,48.51,Other,Y
245,586,978,2025-08-18,1,143.2,Not As Described,Y
246,588,92,2025-08-29,1,190.61,Changed Mind,Y
247,588,593,2025-08-22,1,38.28,Other,Y
248,588,1079,2025-09-03,2,240.0,Not As Described,Y
249,590,466,2025-09-16,1,173.88,Other,N
250,590,494,2025-09-22,1,62.5,Changed Mind,Y
251,590,1084,2025-09-16,2,634.49,Defective/Damaged,N
252,591,677,2025-09-14,1,250.29,Changed Mind,Y
253,594,574,2025-10-10,1,96.0,Defective/Damaged,N
254,595,413,2025-10-18,1,87.4,Better Price Found,Y
255,596,307,2025-10-13,1,83.28,Changed Mind,Y
256,596,396,2025-10-18,1,396.04,Better Price Found,Y
257,598,443,2021-09-01,1,23.0,Changed Mind,N
258,601,1085,2021-09-13,1,359.52,Other,N
259,604,539,2021-10-25,1,84.73,Changed Mind,N
260,607,345,2021-11-12,1,87.46,Not As Described,N
261,608,348,2021-11-04,1,383.74,Changed Mind,Y
262,608,576,2021-11-27,1,82.5,Wrong Size/Fit,Y
263,608,991,2021-11-15,1,130.41,Not As Described,Y
264,610,828,2021-12-12,1,67.76,Other,Y
265,612,823,2021-12-07,1,99.0,Other,Y
266,613,478,2021-12-26,1,356.5,Wrong Size/Fit,Y
267,616,950,2022-01-25,1,599.19,Changed Mind,Y
268,617,709,2022-02-06,1,117.5,Defective/Damaged,N
269,617,1079,2022-01-09,1,120.0,Not As Described,Y
270,625,964,2022-04-01,1,179.4,Changed Mind,Y
271,627,652,2022-04-03,1,56.81,Changed Mind,Y
272,630,835,2022-04-24,1,85.61,Changed Mind,Y
273,635,1089,2022-06-11,2,348.58,Changed Mind,Y
274,637,162,2022-06-18,2,125.0,Defective/Damaged,N
275,637,451,2022-06-03,1,154.77,Defective/Damaged,Y
276,645,431,2022-08-04,1,52.28,Changed Mind,N
277,648,723,2022-09-01,1,47.9,Changed Mind,Y
278,649,322,2022-09-02,1,42.66,Changed Mind,N
279,649,807,2022-09-18,1,38.39,Changed Mind,Y
280,652,1008,2022-09-22,1,120.0,Changed Mind,Y
281,654,360,2022-10-21,1,145.34,Better Price Found,Y
282,656,349,2022-10-19,1,139.38,Changed Mind,Y
283,656,713,2022-10-26,1,77.16,Changed Mind,Y
284,661,1066,2022-11-25,1,117.27,Changed Mind,Y
285,664,51,2022-12-29,1,123.98,Changed Mind,N
286,664,1096,2022-12-20,1,277.36,Other,Y
287,665,248,2022-12-15,1,16.39,Defective/Damaged,N
288,665,669,2022-12-17,1,24.21,Changed Mind,Y
289,665,855,2022-12-24,1,49.68,Wrong Size/Fit,Y
290,665,918,2022-12-15,1,157.32,Wrong Size/Fit,Y
291,667,918,2023-01-20,1,157.32,Not As Described,N
292,667,1018,2022-12-31,2,206.71,Changed Mind,Y
293,672,636,2023-03-01,1,30.59,Changed Mind,Y
294,674,208,2023-02-20,1,53.62,Changed Mind,N
295,678,398,2023-04-09,1,70.43,Wrong Size/Fit,Y
296,682,798,2023-04-25,1,37.86,Not As Described,Y
297,684,95,2023-05-01,1,45.31,Defective/Damaged,Y
298,686,726,2023-05-17,1,23.26,Not As Described,Y
299,691,1064,2023-06-15,2,114.84,Not As Described,Y
300,692,276,2023-07-04,1,49.34,Defective/Damaged,N
301,693,171,2025-06-29,1,103.24,Better Price Found,Y
302,693,392,2025-07-11,1,89.93,Not As Described,Y
303,696,267,2025-07-22,1,69.0,Not As Described,Y
304,696,665,2025-07-31,1,57.12,Defective/Damaged,N
305,697,1023,2023-08-20,1,130.06,Changed Mind,Y
306,702,756,2025-09-23,2,509.32,Changed Mind,Y
307,706,330,2023-10-06,1,40.56,Changed Mind,Y
308,708,1096,2023-10-18,2,554.71,Defective/Damaged,N
309,710,95,2023-10-26,1,22.66,Defective/Damaged,Y
310,710,510,2023-11-07,1,15.84,Wrong Size/Fit,N
311,713,8,2023-11-20,1,63.91,Not As Described,Y
312,714,358,2024-01-05,1,89.37,Not As Described,Y
313,718,1052,2024-02-10,2,176.18,Wrong Size/Fit,Y
314,723,1014,2024-03-08,1,12.5,Not As Described,Y
315,723,1083,2024-03-07,2,819.77,Defective/Damaged,N
316,724,776,2024-03-17,2,106.83,Not As Described,Y
317,727,677,2024-04-04,2,250.29,Other,Y
318,727,1062,2024-04-06,1,26.04,Wrong Size/Fit,Y
319,729,739,2024-04-24,1,13.77,Defective/Damaged,N
320,736,136,2024-05-26,1,201.43,Better Price Found,Y
321,738,484,2024-07-02,2,78.49,Wrong Size/Fit,Y
322,740,159,2024-07-04,2,170.94,Changed Mind,Y
323,747,292,2024-09-01,1,31.41,Not As Described,Y
324,749,255,2024-09-12,2,29.78,Changed Mind,Y
325,750,255,2024-09-21,2,29.79,Not As Described,Y
326,750,478,2024-09-08,1,178.25,Wrong Size/Fit,Y
327,754,1059,2024-10-16,2,1737.0,Not As Described,Y
328,757,1012,2024-11-01,2,172.35,Wrong Size/Fit,Y
329,759,201,2024-12-04,1,64.2,Other,Y
330,762,209,2024-12-22,2,213.41,Not As Described,Y
331,763,34,2024-12-26,2,143.69,Defective/Damaged,N
332,763,99,2024-12-07,1,556.43,Defective/Damaged,Y
333,765,460,2025-01-12,1,1209.96,Changed Mind,Y
334,767,572,2025-01-26,1,42.0,Changed Mind,Y
335,770,890,2025-01-24,2,48.93,Not As Described,Y
336,771,266,2025-02-09,2,51.26,Changed Mind,Y
337,771,516,2025-02-08,1,62.09,Not As Described,N
338,780,648,2025-04-07,1,44.06,Not As Described,Y
339,781,1053,2025-04-17,1,22.32,Changed Mind,Y
340,782,746,2025-05-10,1,10.75,Defective/Damaged,N
341,787,1096,2025-06-20,1,138.68,Changed Mind,Y
342,788,226,2025-06-19,1,12.4,Wrong Size/Fit,Y
343,788,1052,2025-06-23,2,96.9,Other,Y
344,790,176,2025-06-17,2,43.07,Better Price Found,Y
345,792,277,2025-07-19,2,60.59,Not As Described,Y
346,794,437,2025-07-10,2,9.01,Defective/Damaged,N
347,794,1064,2025-07-14,2,31.58,Defective/Damaged,Y
348,796,416,2025-08-19,1,20.58,Wrong Size/Fit,Y
349,798,8,2025-08-18,2,70.3,Better Price Found,Y
350,799,482,2025-08-24,2,46.31,Wrong Size/Fit,N
351,799,708,2025-08-16,1,6.54,Changed Mind,Y
352,801,176,2025-09-07,1,39.15,Wrong Size/Fit,N
353,802,526,2025-09-25,1,12.59,Changed Mind,Y
354,808,314,2025-10-18,1,32.58,Defective/Damaged,N
355,809,544,2021-08-30,1,64.07,Defective/Damaged,N
356,818,1047,2022-06-09,1,83.51,Changed Mind,Y
357,820,848,2022-08-14,1,110.97,Not As Described,Y
358,824,897,2022-12-09,1,92.08,Changed Mind,N
359,827,285,2023-03-10,1,45.9,Changed Mind,N
360,830,1089,2023-06-26,1,139.43,Wrong Size/Fit,Y
361,838,195,2024-02-14,1,44.32,Defective/Damaged,N
362,842,1075,2024-06-09,1,12.89,Defective/Damaged,N
363,847,31,2024-10-19,1,57.33,Wrong Size/Fit,Y
364,848,373,2024-11-26,1,6.94,Changed Mind,Y
365,853,749,2025-04-14,1,26.52,Defective/Damaged,Y
366,855,292,2025-06-05,1,31.41,Defective/Damaged,N
367,855,794,2025-05-27,1,50.49,Better Price Found,Y
368,857,980,2025-08-01,1,51.8,Wrong Size/Fit,N
369,860,71,2021-09-05,1,597.28,Changed Mind,Y
370,860,235,2021-08-27,1,171.58,Changed Mind,Y
371,861,171,2021-09-04,2,206.48,Wrong Size/Fit,Y
372,863,788,2021-09-17,1,26.65,Changed Mind,Y
373,863,1034,2021-10-13,2,114.32,Wrong Size/Fit,Y
374,864,285,2021-10-03,2,91.8,Other,Y
375,864,368,2021-09-29,1,97.86,Defective/Damaged,N
376,865,95,2021-10-20,2,90.63,Changed Mind,Y
377,869,136,2021-11-11,2,805.7,Defective/Damaged,N
378,869,238,2021-11-24,2,329.93,Not As Described,Y
379,870,1066,2021-11-18,1,117.27,Changed Mind,Y
380,871,115,2021-11-22,1,916.66,Defective/Damaged,N
381,871,315,2021-11-15,1,145.69,Other,Y
382,871,956,2021-11-15,1,59.18,Better Price Found,Y
383,872,336,2021-12-10,1,156.05,Changed Mind,Y
384,872,345,2021-11-21,1,87.46,Not As Described,Y
385,872,1014,2021-11-27,1,25.01,Not As Described,Y
386,872,1079,2021-12-08,1,120.0,Defective/Damaged,N
387,874,562,2021-12-10,1,2229.56,Defective/Damaged,N
388,874,740,2021-12-06,1,205.2,Better Price Found,N
389,875,905,2021-12-30,1,34.16,Defective/Damaged,N
390,877,482,2022-01-02,2,92.63,Changed Mind,N
391,879,126,2022-01-12,1,37.78,Wrong Size/Fit,Y
392,884,81,2022-03-05,1,45.09,Changed Mind,Y
393,888,57,2022-03-23,1,91.88,Changed Mind,N
394,888,336,2022-04-03,2,312.1,Changed Mind,N
395,889,721,2022-04-04,2,74.75,Changed Mind,Y
396,890,1059,2022-03-28,1,1737.0,Changed Mind,Y
397,891,321,2022-04-11,1,77.47,Defective/Damaged,Y
398,893,221,2022-04-25,1,107.6,Not As Described,Y
399,894,1030,2022-04-21,1,216.41,Defective/Damaged,Y
400,899,478,2022-06-06,1,356.5,Not As Described,Y
401,900,1079,2022-06-27,1,120.0,Wrong Size/Fit,Y
402,901,760,2022-07-02,1,93.79,Wrong Size/Fit,Y
403,907,346,2022-07-28,1,48.07,Changed Mind,Y
404,908,721,2022-08-21,1,37.38,Defective/Damaged,N
405,909,481,2022-08-14,1,356.5,Changed Mind,Y
406,910,943,2022-08-29,2,734.76,Not As Described,Y
407,911,368,2022-09-01,2,195.73,Changed Mind,Y
408,911,693,2022-08-21,2,283.57,Defective/Damaged,N
409,913,233,2022-09-13,1,74.95,Changed Mind,Y
410,916,368,2022-10-15,2,195.73,Not As Described,N
411,917,580,2022-10-24,1,197.11,Not As Described,Y
412,919,432,2022-11-01,1,24.0,Defective/Damaged,N
413,919,704,2022-11-02,2,40.7,Changed Mind,Y
414,922,788,2022-11-13,2,53.29,Defective/Damaged,N
415,923,299,2022-11-25,1,53.86,Changed Mind,Y
416,928,980,2022-12-28,2,207.19,Defective/Damaged,N
417,929,83,2023-01-01,1,613.5,Defective/Damaged,Y
418,933,299,2023-01-28,1,53.86,Changed Mind,Y
419,933,804,2023-02-06,1,105.19,Defective/Damaged,N
420,935,941,2023-02-11,2,152.77,Defective/Damaged,N
421,936,704,2023-02-22,1,20.35,Defective/Damaged,Y
422,938,517,2023-02-28,1,122.1,Better Price Found,Y
423,944,478,2023-04-07,1,356.5,Changed Mind,Y
424,944,943,2023-04-08,1,367.38,Not As Described,Y
425,948,51,2023-05-08,1,123.98,Not As Described,Y
426,948,505,2023-05-09,2,190.64,Not As Described,N
427,950,9,2023-05-19,2,142.21,Not As Described,N
428,950,212,2023-05-31,1,291.21,Changed Mind,Y
429,951,226,2023-05-25,2,90.19,Changed Mind,Y
430,955,368,2023-07-16,1,97.86,Changed Mind,Y
431,960,493,2025-07-27,1,172.5,Wrong Size/Fit,Y
432,960,988,2025-07-22,1,97.81,Other,Y
433,960,1034,2025-08-14,2,114.32,Defective/Damaged,Y
434,962,315,2023-08-18,1,145.69,Wrong Size/Fit,Y
435,963,1074,2025-08-29,1,91.61,Defective/Damaged,N
436,965,432,2023-09-13,1,24.0,Wrong Size/Fit,Y
437,966,228,2025-09-15,2,405.47,Better Price Found,N
438,970,598,2023-10-30,1,73.5,Not As Described,Y
439,974,380,2023-11-12,2,103.5,Changed Mind,Y
440,975,536,2023-12-04,1,56.78,Wrong Size/Fit,Y
441,977,620,2023-11-22,1,39.69,Better Price Found,Y
442,978,744,2023-12-17,2,132.11,Not As Described,Y
443,981,544,2024-01-03,1,64.07,Defective/Damaged,N
444,981,988,2024-01-08,1,97.81,Changed Mind,Y
445,982,544,2023-12-29,2,128.14,Defective/Damaged,N
446,984,824,2024-01-16,1,162.0,Changed Mind,Y
447,985,501,2024-01-31,1,47.94,Defective/Damaged,N
448,987,1096,2024-02-28,2,554.71,Changed Mind,N
449,991,397,2024-03-09,1,81.97,Wrong Size/Fit,Y
450,991,1079,2024-03-16,1,120.0,Wrong Size/Fit,Y
451,992,159,2024-03-27,1,170.94,Not As Described,Y
452,993,975,2024-04-09,1,64.08,Wrong Size/Fit,Y
453,994,956,2024-03-28,1,59.18,Not As Described,Y
454,996,764,2024-04-12,1,105.96,Changed Mind,Y
455,996,834,2024-04-11,1,118.36,Changed Mind,Y
456,997,449,2024-04-25,1,167.92,Defective/Damaged,N
457,998,821,2024-04-26,1,78.72,Better Price Found,Y
458,999,299,2024-04-29,1,53.86,Defective/Damaged,N
459,999,773,2024-05-03,2,142.05,Defective/Damaged,N
460,1001,592,2024-05-27,1,183.56,Defective/Damaged,N
461,1001,995,2024-06-01,1,487.74,Other,N
462,1006,657,2024-06-14,2,560.29,Better Price Found,Y
463,1008,308,2024-07-02,1,203.16,Wrong Size/Fit,Y
464,1009,734,2024-07-20,2,111.46,Not As Described,Y
465,1012,812,2024-07-31,1,435.06,Wrong Size/Fit,N
466,1015,338,2024-09-02,1,237.87,Wrong Size/Fit,Y
467,1017,739,2024-09-15,2,55.08,Wrong Size/Fit,N
468,1018,1024,2024-09-03,1,207.36,Changed Mind,Y
469,1020,74,2024-09-13,2,448.94,Other,Y
