PO Number,Vendor Key,Product Key,Order Date,Expected Receipt Date,Actual Receipt Date,Order Quantity,Unit Cost,PO Status
110,9,3,2024-03-18,2024-04-07,2024-04-03,231,110.49,Received
111,9,3,2024-04-14,2024-05-04,2024-04-29,244,119.13,Received
112,9,3,2024-06-21,2024-07-11,2024-07-10,237,113.42,Received
113,9,3,2024-07-21,2024-08-10,2024-08-09,232,108.82,Received
114,9,3,2024-09-05,2024-09-25,2024-09-24,246,109.33,Received
115,9,3,2024-11-17,2024-12-07,2024-12-06,235,109.14,Received
116,9,3,2024-11-20,2024-12-10,2024-12-13,239,109.78,Received
117,9,3,2024-12-02,2024-12-22,2024-12-24,237,109.08,Received
118,9,3,2024-12-11,2024-12-31,2025-01-01,231,110.98,Received
119,9,3,2024-12-13,2025-01-02,2025-01-03,232,111.01,Received
120,9,3,2025-01-03,2025-01-23,2025-01-23,229,119.01,Received
121,9,3,2025-02-24,2025-03-16,2025-03-16,239,109.04,Received
122,9,3,2025-03-24,2025-04-13,2025-04-13,227,116.3,Received
123,9,3,2025-04-07,2025-04-27,2025-04-27,229,114.44,Received
124,9,3,2025-04-13,2025-05-03,2025-05-01,230,110.99,Received
125,9,3,2025-05-29,2025-06-18,2025-06-17,220,112.59,Received
126,9,3,2025-06-16,2025-07-06,2025-07-07,236,115.97,Received
127,9,3,2025-06-18,2025-07-08,2025-07-09,235,111.48,Received
128,9,3,2025-07-26,2025-08-15,2025-08-15,224,114.77,Received
129,9,3,2025-09-23,2025-10-13,2025-10-11,226,111.7,Received
130,9,3,2025-10-03,2025-10-23,,226,116.38,In Transit
131,9,4,2021-08-21,2021-09-10,2021-09-06,238,111.58,Received
132,9,4,2021-09-16,2021-10-06,2021-10-07,236,113.77,Received
133,9,4,2021-10-01,2021-10-21,2021-10-25,237,111.97,Received
134,9,4,2021-10-22,2021-11-11,2021-11-07,240,115.34,Received
135,9,4,2021-10-24,2021-11-13,2021-11-10,237,111.73,Received
136,9,4,2021-11-24,2021-12-14,2021-12-14,226,117.87,Received
137,9,4,2022-01-03,2022-01-23,2022-01-25,222,122.73,Received
138,9,4,2022-01-22,2022-02-11,2022-02-10,235,118.66,Received
139,9,4,2022-02-07,2022-02-27,2022-02-27,226,119.07,Received
140,9,4,2022-02-07,2022-02-27,2022-02-27,223,111.86,Received
141,9,4,2022-04-24,2022-05-14,2022-05-16,234,120.6,Received
142,9,4,2022-04-29,2022-05-19,2022-05-19,220,116.82,Received
143,9,4,2022-06-26,2022-07-16,2022-07-19,223,115.03,Received
144,9,4,2022-07-01,2022-07-21,2022-07-23,231,120.86,Received
145,9,4,2022-07-02,2022-07-22,2022-07-17,228,121.03,Received
146,9,4,2022-07-24,2022-08-13,2022-08-13,228,117.07,Received
147,9,4,2022-08-31,2022-09-20,2022-09-19,230,113.97,Received
148,9,4,2022-09-23,2022-10-13,2022-10-17,228,122.35,Received
149,9,4,2022-09-26,2022-10-16,2022-10-19,229,120.2,Received
150,9,4,2022-10-14,2022-11-03,2022-11-03,229,122.17,Received
151,9,4,2022-10-21,2022-11-10,2022-11-07,231,122.01,Received
152,9,4,2022-10-29,2022-11-18,2022-11-17,218,114.02,Received
153,9,4,2022-12-29,2023-01-18,2023-01-18,226,117.17,Received
154,9,4,2023-01-01,2023-01-21,2023-01-18,226,115.92,Received
155,9,4,2023-01-17,2023-02-06,2023-02-09,236,115.24,Received
156,9,4,2023-01-23,2023-02-12,2023-02-10,218,118.75,Received
157,9,4,2023-01-30,2023-02-19,2023-02-17,244,112.86,Received
158,9,4,2023-03-07,2023-03-27,2023-03-25,230,122.38,Received
159,9,4,2023-03-08,2023-03-28,2023-03-29,221,113.6,Received
160,9,4,2023-05-06,2023-05-26,2023-05-25,241,115.29,Received
161,9,4,2023-08-10,2023-08-30,2023-09-03,236,111.94,Received
162,9,4,2023-09-02,2023-09-22,2023-09-22,229,116.38,Received
163,9,4,2023-09-18,2023-10-08,2023-10-09,223,117.43,Received
164,9,4,2023-10-09,2023-10-29,2023-10-26,241,115.05,Received
165,9,4,2023-10-16,2023-11-05,2023-11-01,239,114.9,Received
166,9,4,2023-11-04,2023-11-24,2023-11-24,228,122.03,Received
167,9,4,2023-11-06,2023-11-26,2023-11-25,229,116.38,Received
168,9,4,2023-11-17,2023-12-07,2023-12-05,236,122.9,Received
169,9,4,2023-12-31,2024-01-20,2024-01-23,228,123.02,Received
170,9,4,2024-02-19,2024-03-10,2024-03-10,233,122.94,Received
171,9,4,2024-02-24,2024-03-15,2024-03-11,232,114.31,Received
172,9,4,2024-03-04,2024-03-24,2024-03-24,219,119.63,Received
173,9,4,2024-03-25,2024-04-14,2024-04-12,226,123.04,Received
174,9,4,2024-03-30,2024-04-19,2024-04-20,239,116.19,Received
175,9,4,2024-06-04,2024-06-24,2024-06-21,224,118.61,Received
176,9,4,2024-07-07,2024-07-27,2024-07-28,227,114.66,Received
177,9,4,2024-08-26,2024-09-15,2024-09-16,233,118.68,Received
178,9,4,2024-08-30,2024-09-19,2024-09-20,234,112.14,Received
179,9,4,2024-09-21,2024-10-11,2024-10-08,245,120.78,Received
180,9,4,2024-12-04,2024-12-24,2024-12-24,217,113.89,Received
181,9,4,2024-12-25,2025-01-14,2025-01-14,226,111.78,Received
182,9,4,2025-01-23,2025-02-12,2025-02-12,230,112.79,Received
183,9,4,2025-01-27,2025-02-16,2025-02-16,246,122.77,Received
184,9,4,2025-02-10,2025-03-02,2025-03-03,235,113.46,Received
185,9,4,2025-03-12,2025-04-01,2025-03-29,225,121.37,Received
186,9,4,2025-04-13,2025-05-03,2025-05-03,229,119.31,Received
187,9,4,2025-05-17,2025-06-06,2025-06-08,215,118.47,Received
188,9,4,2025-06-07,2025-06-27,2025-06-26,240,122.78,Received
189,9,4,2025-07-25,2025-08-14,2025-08-12,241,122.25,Received
190,9,4,2025-08-21,2025-09-10,2025-09-07,236,113.85,Received
191,10,5,2021-08-20,2021-08-27,2021-08-27,33,211.91,Received
192,10,5,2021-08-25,2021-09-01,2021-09-01,50,233.04,Received
193,10,5,2021-09-15,2021-09-22,2021-09-21,44,233.14,Received
194,10,5,2021-09-28,2021-10-05,2021-10-05,41,215.01,Received
195,10,5,2021-12-19,2021-12-26,2021-12-26,39,222.05,Received
196,10,5,2022-01-22,2022-01-29,2022-01-29,46,225.03,Received
197,10,5,2022-02-20,2022-02-27,2022-02-27,66,213.55,Received
198,10,5,2022-03-04,2022-03-11,2022-03-14,50,227.42,Received
199,10,5,2022-04-02,2022-04-09,2022-04-08,40,223.41,Received
200,10,5,2022-04-14,2022-04-21,2022-04-22,49,232.47,Received
201,10,5,2022-06-15,2022-06-22,2022-06-24,35,225.33,Received
202,10,5,2022-06-19,2022-06-26,2022-06-23,51,215.93,Received
203,10,5,2022-06-20,2022-06-27,2022-06-29,60,223.57,Received
204,10,5,2022-08-09,2022-08-16,2022-08-19,34,233.42,Received
205,10,5,2022-10-11,2022-10-18,2022-10-19,40,220.82,Received
206,10,5,2022-10-27,2022-11-03,2022-10-31,46,219.96,Received
207,10,5,2022-12-31,2023-01-07,2023-01-05,44,230.7,Received
208,10,5,2023-05-21,2023-05-28,2023-05-28,34,225.63,Received
209,10,5,2023-07-11,2023-07-18,2023-07-21,36,232.59,Received
210,10,5,2023-07-14,2023-07-21,2023-07-21,31,220.18,Received
211,10,5,2023-07-29,2023-08-05,2023-08-05,32,217.46,Received
212,10,5,2023-09-03,2023-09-10,2023-09-09,47,231.32,Received
213,10,5,2023-09-25,2023-10-02,2023-10-02,29,213.43,Received
214,10,5,2023-10-30,2023-11-06,2023-11-07,28,233.42,Received
215,10,5,2023-12-15,2023-12-22,2023-12-24,33,214.36,Received
216,10,5,2023-12-16,2023-12-23,2023-12-23,47,224.42,Received
217,10,5,2024-01-26,2024-02-02,2024-01-30,37,230.19,Received
218,10,5,2024-02-05,2024-02-12,2024-02-11,49,230.17,Received
219,10,5,2024-02-23,2024-03-01,2024-03-04,46,231.14,Received
220,10,5,2024-06-25,2024-07-02,2024-07-05,46,233.33,Received
221,10,5,2024-07-25,2024-08-01,2024-08-02,31,224.36,Received
222,10,5,2024-08-26,2024-09-02,2024-09-02,49,232.93,Received
223,10,5,2024-09-13,2024-09-20,2024-09-24,47,228.34,Received
224,10,5,2024-10-06,2024-10-13,2024-10-13,38,226.6,Received
225,10,5,2024-12-23,2024-12-30,2024-12-30,48,215.14,Received
226,10,5,2025-01-01,2025-01-08,2025-01-08,38,216.24,Received
227,10,5,2025-05-09,2025-05-16,2025-05-21,38,221.54,Received
228,10,5,2025-05-15,2025-05-22,2025-05-22,57,212.22,Received
229,10,5,2025-05-15,2025-05-22,2025-05-19,48,222.02,Received
230,10,5,2025-06-15,2025-06-22,2025-06-26,62,217.82,Received
231,10,5,2025-08-04,2025-08-11,2025-08-12,45,228.3,Received
232,10,5,2025-08-17,2025-08-24,2025-08-22,47,220.81,Received
233,10,5,2025-08-19,2025-08-26,2025-08-26,37,224.29,Received
234,10,5,2025-08-21,2025-08-28,2025-08-26,53,215.87,Received
235,10,5,2025-08-26,2025-09-02,2025-09-03,39,223.34,Received
236,10,5,2025-09-03,2025-09-10,2025-09-09,53,215.62,Received
237,10,5,2025-10-10,2025-10-17,,50,226.57,In Transit
238,10,6,2021-09-28,2021-10-05,2021-10-03,125,92.87,Received
239,10,6,2021-10-09,2021-10-16,2021-10-17,133,100.41,Received
240,10,6,2021-10-13,2021-10-20,2021-10-22,118,99.84,Received
241,10,6,2021-10-21,2021-10-28,2021-10-27,147,96.22,Received
242,10,6,2021-11-20,2021-11-27,2021-11-27,127,94.56,Received
243,10,6,2021-12-10,2021-12-17,2021-12-19,111,95.67,Received
244,10,6,2021-12-29,2022-01-05,2022-01-06,123,92.67,Received
245,10,6,2022-01-26,2022-02-02,2022-02-02,123,94.66,Received
246,10,6,2022-02-08,2022-02-15,2022-02-13,128,99.18,Received
247,10,6,2022-02-22,2022-03-01,2022-03-01,123,101.71,Received
248,10,6,2022-02-28,2022-03-07,2022-03-05,128,99.39,Received
249,10,6,2022-03-03,2022-03-10,2022-03-12,123,95.02,Received
250,10,6,2022-05-06,2022-05-13,2022-05-12,119,96.96,Received
251,10,6,2022-05-10,2022-05-17,2022-05-14,116,98.57,Received
252,10,6,2022-05-16,2022-05-23,2022-05-24,126,101.62,Received
253,10,6,2022-06-01,2022-06-08,2022-06-06,130,97.86,Received
254,10,6,2022-06-08,2022-06-15,2022-06-12,100,92.93,Received
255,10,6,2022-06-08,2022-06-15,2022-06-13,114,96.36,Received
256,10,6,2022-07-22,2022-07-29,2022-07-26,131,95.82,Received
257,10,6,2022-08-11,2022-08-18,2022-08-18,108,93.88,Received
258,10,6,2022-09-27,2022-10-04,2022-10-04,130,98.6,Received
259,10,6,2022-10-14,2022-10-21,2022-10-21,115,96.97,Received
260,10,6,2022-11-07,2022-11-14,2022-11-14,114,101.58,Received
261,10,6,2022-11-21,2022-11-28,2022-11-28,118,99.11,Received
262,10,6,2022-12-08,2022-12-15,2022-12-15,136,100.03,Received
263,10,6,2022-12-16,2022-12-23,2022-12-23,123,96.74,Received
264,10,6,2022-12-21,2022-12-28,2022-12-25,130,100.76,Received
265,10,6,2023-01-04,2023-01-11,2023-01-09,123,98.34,Received
266,10,6,2023-03-13,2023-03-20,2023-03-19,123,95.39,Received
267,10,6,2023-03-27,2023-04-03,2023-04-02,127,97.48,Received
268,10,6,2023-04-29,2023-05-06,2023-05-06,128,92.13,Received
269,10,6,2023-05-05,2023-05-12,2023-05-13,122,95.39,Received
270,10,6,2023-06-20,2023-06-27,2023-06-26,121,95.99,Received
271,10,6,2023-08-11,2023-08-18,2023-08-18,127,95.05,Received
272,10,6,2023-09-16,2023-09-23,2023-09-25,121,97.06,Received
273,10,6,2023-11-17,2023-11-24,2023-11-27,122,100.91,Received
274,10,6,2024-01-20,2024-01-27,2024-01-27,128,101.02,Received
275,10,6,2024-01-25,2024-02-01,2024-01-31,141,93.51,Received
276,10,6,2024-05-03,2024-05-10,2024-05-10,125,97.99,Received
277,10,6,2024-05-17,2024-05-24,2024-05-24,125,101.23,Received
278,10,6,2024-07-21,2024-07-28,2024-07-31,126,99.03,Received
279,10,6,2024-07-30,2024-08-06,2024-08-07,119,96.34,Received
280,10,6,2024-08-17,2024-08-24,2024-08-25,110,98.65,Received
281,10,6,2024-08-21,2024-08-28,2024-08-28,129,98.92,Received
282,10,6,2024-09-10,2024-09-17,2024-09-18,130,99.82,Received
283,10,6,2024-10-11,2024-10-18,2024-10-21,138,99.58,Received
284,10,6,2024-10-17,2024-10-24,2024-10-24,136,100.13,Received
285,10,6,2024-10-28,2024-11-04,2024-11-04,117,101.49,Received
286,10,6,2024-11-24,2024-12-01,2024-12-01,138,95.12,Received
287,10,6,2024-11-29,2024-12-06,2024-12-05,126,101.14,Received
288,10,6,2024-12-22,2024-12-29,2024-12-30,120,97.51,Received
289,10,6,2024-12-29,2025-01-05,2025-01-03,122,99.42,Received
290,10,6,2025-02-27,2025-03-06,2025-03-06,112,96.25,Received
291,10,6,2025-03-27,2025-04-03,2025-04-04,128,98.17,Received
292,10,6,2025-04-20,2025-04-27,2025-04-26,127,101.27,Received
293,10,6,2025-05-23,2025-05-30,2025-05-29,120,95.75,Received
294,10,6,2025-06-15,2025-06-22,2025-06-22,128,96.31,Received
295,10,6,2025-07-18,2025-07-25,2025-07-24,128,92.93,Received
296,10,6,2025-08-15,2025-08-22,2025-08-23,123,97.31,Received
297,10,6,2025-09-04,2025-09-11,2025-09-13,131,100.32,Received
298,20,7,2021-11-05,2021-11-16,2021-11-17,111,291.57,Received
299,20,7,2021-12-19,2021-12-30,2021-12-31,102,298.64,Received
300,20,7,2022-01-04,2022-01-15,2022-01-15,96,282.39,Received
301,20,7,2022-01-11,2022-01-22,2022-01-22,102,293.31,Received
302,20,7,2022-01-15,2022-01-26,2022-01-26,108,298.37,Received
303,20,7,2022-02-02,2022-02-13,2022-02-12,112,294.51,Received
304,20,7,2022-02-18,2022-03-01,2022-02-28,104,283.06,Received
305,20,7,2022-04-24,2022-05-05,2022-05-07,100,306.58,Received
306,20,7,2022-05-23,2022-06-03,2022-06-06,111,306.21,Received
307,20,7,2022-06-09,2022-06-20,2022-06-22,96,307.15,Received
308,20,7,2022-06-23,2022-07-04,2022-07-04,114,309.92,Received
309,20,7,2022-07-31,2022-08-11,2022-08-14,99,304.36,Received
310,20,7,2022-08-17,2022-08-28,2022-08-23,97,309.6,Received
311,20,7,2022-08-22,2022-09-02,2022-09-01,101,286.26,Received
312,20,7,2022-09-12,2022-09-23,2022-09-22,82,301.73,Received
313,20,7,2022-10-04,2022-10-15,2022-10-12,89,282.65,Received
314,20,7,2022-12-05,2022-12-16,2022-12-13,99,285.02,Received
315,20,7,2022-12-14,2022-12-25,2022-12-28,83,304.05,Received
316,20,7,2022-12-22,2023-01-02,2022-12-30,113,307.32,Received
317,20,7,2023-01-02,2023-01-13,2023-01-13,97,298.08,Received
318,20,7,2023-01-22,2023-02-02,2023-02-04,93,288.96,Received
319,20,7,2023-02-16,2023-02-27,2023-02-26,104,290.26,Received
320,20,7,2023-02-26,2023-03-09,2023-03-08,106,283.04,Received
321,20,7,2023-03-20,2023-03-31,2023-04-07,95,306.31,Received
322,20,7,2023-03-27,2023-04-07,2023-04-08,98,283.4,Received
323,20,7,2023-04-04,2023-04-15,2023-04-15,93,300.0,Received
324,20,7,2023-07-29,2023-08-09,2023-08-09,92,296.42,Received
325,20,7,2023-07-31,2023-08-11,2023-08-11,106,300.94,Received
326,20,7,2023-08-12,2023-08-23,2023-08-24,100,281.15,Received
327,20,7,2023-08-13,2023-08-24,2023-08-24,114,301.97,Received
328,20,7,2023-08-19,2023-08-30,2023-08-28,98,307.87,Received
329,20,7,2023-10-22,2023-11-02,2023-11-03,100,305.46,Received
330,20,7,2023-11-08,2023-11-19,2023-11-16,94,291.53,Received
331,20,7,2023-12-07,2023-12-18,2023-12-21,103,291.28,Received
332,20,7,2023-12-21,2024-01-01,2024-01-01,98,297.47,Received
333,20,7,2024-03-07,2024-03-18,2024-03-20,108,303.47,Received
334,20,7,2024-04-18,2024-04-29,2024-04-29,87,297.76,Received
335,20,7,2024-04-29,2024-05-10,2024-05-13,107,291.33,Received
336,20,7,2024-05-29,2024-06-09,2024-06-10,107,302.22,Received
337,20,7,2024-06-03,2024-06-14,2024-06-15,95,309.63,Received
338,20,7,2024-06-12,2024-06-23,2024-06-26,104,309.19,Received
339,20,7,2024-07-12,2024-07-23,2024-07-22,113,285.71,Received
340,20,7,2024-10-10,2024-10-21,2024-10-21,100,307.57,Received
341,20,7,2024-11-16,2024-11-27,2024-11-27,104,283.36,Received
342,20,7,2024-12-17,2024-12-28,2024-12-28,87,305.99,Received
343,20,7,2024-12-27,2025-01-07,2025-01-10,97,294.38,Received
344,20,7,2025-01-09,2025-01-20,2025-01-20,94,301.57,Received
345,20,7,2025-02-13,2025-02-24,2025-02-26,91,310.05,Received
346,20,7,2025-03-07,2025-03-18,2025-03-19,99,291.03,Received
347,20,7,2025-03-14,2025-03-25,2025-03-23,103,291.69,Received
348,20,7,2025-03-18,2025-03-29,2025-03-31,98,281.76,Received
349,20,7,2025-04-10,2025-04-21,2025-04-25,95,287.26,Received
350,20,7,2025-05-02,2025-05-13,2025-05-10,94,286.22,Received
351,20,7,2025-07-06,2025-07-17,2025-07-22,108,307.38,Received
352,20,7,2025-07-26,2025-08-06,2025-08-05,107,306.71,Received
353,20,7,2025-08-03,2025-08-14,2025-08-15,107,281.89,Received
354,20,7,2025-08-22,2025-09-02,2025-09-02,107,289.95,Received
355,20,7,2025-09-03,2025-09-14,2025-09-14,119,301.42,Received
356,20,7,2025-09-29,2025-10-10,2025-10-13,92,292.36,Received
357,20,7,2025-10-13,2025-10-24,,99,289.86,In Transit
358,20,8,2021-08-31,2021-09-11,2021-09-13,279,123.58,Received
359,20,8,2021-09-09,2021-09-20,2021-09-21,265,115.67,Received
360,20,8,2021-09-14,2021-09-25,2021-09-26,262,127.33,Received
361,20,8,2021-09-23,2021-10-04,2021-10-04,259,119.67,Received
362,20,8,2021-10-01,2021-10-12,2021-10-12,265,124.04,Received
363,20,8,2021-10-02,2021-10-13,2021-10-14,260,126.1,Received
364,20,8,2021-10-28,2021-11-08,2021-11-07,283,121.23,Received
365,20,8,2021-10-30,2021-11-10,2021-11-13,259,118.06,Received
366,20,8,2022-01-20,2022-01-31,2022-02-01,278,116.26,Received
367,20,8,2022-01-23,2022-02-03,2022-02-02,265,122.35,Received
368,20,8,2022-01-30,2022-02-10,2022-02-07,277,121.67,Received
369,20,8,2022-02-20,2022-03-03,2022-03-05,262,119.03,Received
370,20,8,2022-03-02,2022-03-13,2022-03-13,273,115.45,Received
371,20,8,2022-04-22,2022-05-03,2022-05-05,268,124.88,Received
372,20,8,2022-05-02,2022-05-13,2022-05-14,270,119.13,Received
373,20,8,2022-05-06,2022-05-17,2022-05-20,259,122.49,Received
374,20,8,2022-05-08,2022-05-19,2022-05-22,257,117.92,Received
375,20,8,2022-05-24,2022-06-04,2022-06-08,273,117.75,Received
376,20,8,2022-07-25,2022-08-05,2022-08-03,276,123.91,Received
377,20,8,2022-08-04,2022-08-15,2022-08-15,275,127.1,Received
378,20,8,2022-09-20,2022-10-01,2022-10-02,274,117.41,Received
379,20,8,2022-10-05,2022-10-16,2022-10-17,262,117.46,Received
380,20,8,2022-11-08,2022-11-19,2022-11-19,269,125.77,Received
381,20,8,2022-11-11,2022-11-22,2022-11-21,269,121.49,Received
382,20,8,2022-12-03,2022-12-14,2022-12-11,268,123.48,Received
383,20,8,2022-12-04,2022-12-15,2022-12-12,273,124.55,Received
384,20,8,2022-12-18,2022-12-29,2022-12-30,283,121.42,Received
385,20,8,2022-12-25,2023-01-05,2023-01-07,272,120.2,Received
