Store Key,Fiscal Year,Fiscal Period,Budget Sales Amount,Budget Units
8,2023,12,38189.4,69
8,2024,1,32977.25,57
8,2024,2,49137.96,74
8,2024,3,28349.09,59
8,2024,4,26638.5,71
8,2024,5,41338.49,77
8,2024,6,39169.84,69
8,2024,7,29508.8,74
8,2024,8,35850.96,96
8,2024,9,36892.92,75
8,2024,10,39373.03,83
8,2024,11,104819.2,110
8,2024,12,107974.89,97
8,2025,1,84587.81,94
8,2025,2,110797.35,120
8,2025,3,108008.39,88
8,2025,4,104473.53,103
8,2025,5,122640.59,123
8,2025,6,103944.34,115
8,2025,7,118466.68,116
8,2025,8,159168.5,157
8,2025,9,131348.01,118
8,2025,10,131252.96,53
12,2021,8,42867.11,37
12,2021,9,101541.56,63
12,2021,10,82585.37,59
12,2021,11,101293.36,78
12,2021,12,88261.38,59
12,2022,1,92992.92,61
12,2022,2,108236.78,71
12,2022,3,82561.31,60
12,2022,4,87500.68,61
12,2022,5,92616.03,67
12,2022,6,86056.28,62
12,2022,7,98536.7,65
12,2022,8,52298.62,75
12,2022,9,113920.33,68
12,2022,10,93897.46,58
12,2022,11,125175.07,81
12,2022,12,100283.63,64
12,2023,1,105356.98,59
12,2023,2,121526.77,72
12,2023,3,95514.09,64
12,2023,4,97011.25,55
12,2023,5,111333.21,75
12,2023,6,102032.81,48
12,2023,7,109481.75,41
12,2023,8,111041.13,53
12,2023,9,98489.71,46
12,2023,10,132670.72,66
12,2023,11,135990.78,78
12,2023,12,89398.09,75
12,2024,1,94644.29,56
12,2024,2,113159.86,80
12,2024,3,101679.32,69
12,2024,4,94628.16,55
12,2024,5,132354.03,76
12,2024,6,61943.11,55
12,2024,7,71420.43,62
12,2024,8,72085.96,73
12,2024,9,78845.42,65
12,2024,10,108264.78,58
12,2024,11,126771.75,69
12,2024,12,121893.11,65
12,2025,1,122239.11,57
12,2025,2,135568.9,71
12,2025,3,100324.94,57
12,2025,4,86829.6,59
12,2025,5,93838.6,79
12,2025,6,100467.85,74
12,2025,7,96589.9,78
12,2025,8,97425.8,96
12,2025,9,89332.42,61
12,2025,10,89896.49,30
16,2021,8,108415.81,63
16,2021,9,184416.58,93
16,2021,10,136085.42,90
16,2021,11,206837.8,122
16,2021,12,181874.79,105
16,2022,1,143093.16,102
16,2022,2,225352.14,126
16,2022,3,162405.0,96
16,2022,4,195047.07,100
16,2022,5,208853.25,124
16,2022,6,159080.61,99
16,2022,7,155100.42,97
16,2022,8,123086.1,129
16,2022,9,209731.99,97
16,2022,10,158654.98,95
16,2022,11,243955.54,122
16,2022,12,206995.62,103
16,2023,1,173138.3,96
16,2023,2,246700.38,128
16,2023,3,180012.9,99
16,2023,4,238805.85,90
16,2023,5,233922.56,133
16,2023,6,192608.39,77
16,2023,7,184742.69,66
16,2023,8,262763.59,78
16,2023,9,187667.05,90
16,2023,10,168688.93,92
16,2023,11,286256.71,126
16,2023,12,187893.32,124
16,2024,1,229874.97,95
16,2024,2,263453.5,116
16,2024,3,211797.37,105
16,2024,4,193926.26,111
16,2024,5,267601.33,129
16,2024,6,162884.6,103
16,2024,7,117138.15,101
16,2024,8,176560.45,141
16,2024,9,150652.58,109
16,2024,10,170109.94,102
16,2024,11,244670.22,142
16,2024,12,244207.72,105
16,2025,1,213924.71,98
16,2025,2,228000.01,122
16,2025,3,199865.56,99
16,2025,4,180970.86,98
16,2025,5,245229.85,123
16,2025,6,195375.41,118
16,2025,7,182181.78,128
16,2025,8,240822.63,180
16,2025,9,192379.59,118
16,2025,10,215109.16,45
19,2021,8,61888.92,59
19,2021,9,90036.49,89
19,2021,10,104549.38,103
19,2021,11,109753.35,122
19,2021,12,114727.18,96
19,2022,1,97636.77,96
19,2022,2,123182.96,117
19,2022,3,108290.83,93
19,2022,4,90730.45,94
19,2022,5,125661.25,114
19,2022,6,101423.02,97
19,2022,7,114313.75,95
19,2022,8,69774.86,120
19,2022,9,109331.8,99
19,2022,10,125608.33,100
19,2022,11,127947.9,115
19,2022,12,128765.76,99
19,2023,1,110379.08,101
19,2023,2,145166.62,119
19,2023,3,128027.34,103
19,2023,4,107150.86,86
19,2023,5,139255.95,118
19,2023,6,120426.95,70
19,2023,7,126226.51,67
19,2023,8,148112.92,85
19,2023,9,122328.95,81
19,2023,10,121822.69,103
19,2023,11,156515.53,118
19,2023,12,118181.88,116
19,2024,1,129749.39,98
19,2024,2,128166.62,116
19,2024,3,125821.1,97
19,2024,4,126966.26,88
19,2024,5,141495.18,119
19,2024,6,92497.11,80
19,2024,7,78769.74,86
19,2024,8,86666.0,106
19,2024,9,100172.16,70
19,2024,10,105143.55,85
19,2024,11,112999.27,116
19,2024,12,115592.46,78
19,2025,1,97958.25,80
19,2025,2,105791.16,104
19,2025,3,87223.15,79
19,2025,4,100599.66,84
19,2025,5,110052.3,96
19,2025,6,77965.81,109
19,2025,7,79398.15,128
19,2025,8,113529.81,145
19,2025,9,76383.86,97
19,2025,10,83401.13,51
21,2021,8,49915.64,44
21,2021,9,85401.33,86
21,2021,10,78728.19,64
21,2021,11,106178.69,95
21,2021,12,61689.43,65
21,2022,1,73668.36,67
21,2022,2,96972.6,89
21,2022,3,82322.76,81
21,2022,4,75311.44,80
21,2022,5,97229.39,88
21,2022,6,92199.09,74
21,2022,7,80982.55,74
21,2022,8,59436.05,96
21,2022,9,93336.41,73
21,2022,10,93046.55,76
21,2022,11,119494.36,102
21,2022,12,73950.45,72
21,2023,1,91314.17,81
21,2023,2,110556.3,97
21,2023,3,97917.04,81
21,2023,4,89149.13,85
21,2023,5,116602.68,92
21,2023,6,113853.45,78
21,2023,7,98647.47,72
21,2023,8,101920.78,98
21,2023,9,95778.05,81
21,2023,10,83489.57,78
21,2023,11,105914.52,105
21,2023,12,92071.01,88
21,2024,1,111532.58,67
21,2024,2,132730.74,69
21,2024,3,122866.66,54
21,2024,4,120201.82,53
21,2024,5,116982.36,57
21,2024,6,98854.01,44
21,2024,7,99033.85,42
21,2024,8,128175.4,37
21,2024,9,100224.73,21
21,2024,10,105082.75,26
21,2024,11,109817.08,26
21,2024,12,96103.87,18
21,2025,1,67161.05,19
21,2025,2,85613.99,24
21,2025,3,54694.66,14
21,2025,4,59553.67,25
21,2025,5,59227.54,25
21,2025,6,51123.54,15
21,2025,7,47273.98,16
21,2025,8,44546.57,17
21,2025,9,28734.8,27
21,2025,10,26758.16,10
24,2021,8,43915.31,36
24,2021,9,87032.09,57
24,2021,10,95900.66,61
24,2021,11,141870.53,89
24,2021,12,100756.68,64
24,2022,1,93693.76,54
24,2022,2,106238.95,70
24,2022,3,89854.67,63
24,2022,4,92842.46,63
24,2022,5,104432.78,73
24,2022,6,101031.46,56
24,2022,7,94027.19,58
24,2022,8,49969.68,74
24,2022,9,100656.69,63
24,2022,10,112298.6,53
24,2022,11,158639.03,67
24,2022,12,119371.6,55
24,2023,1,107093.86,52
24,2023,2,127673.54,71
24,2023,3,105493.57,62
24,2023,4,105657.27,57
24,2023,5,127779.11,77
24,2023,6,118773.62,55
24,2023,7,112658.97,40
24,2023,8,130722.11,41
24,2023,9,99374.24,45
24,2023,10,100728.62,57
24,2023,11,122192.22,67
24,2023,12,104418.8,79
24,2024,1,108221.22,53
24,2024,2,140259.56,84
24,2024,3,110729.32,56
24,2024,4,97643.17,55
24,2024,5,108845.98,84
24,2024,6,91429.83,57
24,2024,7,63855.29,61
24,2024,8,75515.77,74
24,2024,9,73340.72,59
24,2024,10,91684.59,66
24,2024,11,122491.37,77
24,2024,12,133235.73,58
24,2025,1,100178.87,56
24,2025,2,157451.39,79
24,2025,3,110536.74,54
24,2025,4,114745.3,67
24,2025,5,149715.93,68
24,2025,6,101633.13,64
24,2025,7,108297.87,79
24,2025,8,124289.22,103
24,2025,9,109793.44,61
24,2025,10,125305.05,29
27,2021,8,34500.39,12
27,2021,9,46112.22,26
27,2021,10,38149.94,26
27,2021,11,58039.58,33
27,2021,12,59151.0,25
27,2022,1,46640.46,26
27,2022,2,76369.3,40
27,2022,3,52358.39,28
27,2022,4,43093.24,26
27,2022,5,69417.46,37
27,2022,6,66467.44,31
27,2022,7,65303.95,31
27,2022,8,40614.81,42
27,2022,9,51314.76,34
27,2022,10,43915.21,33
27,2022,11,70838.61,43
27,2022,12,74667.84,37
27,2023,1,54061.6,38
27,2023,2,87334.8,57
27,2023,3,58268.43,48
27,2023,4,51063.15,47
27,2023,5,82329.19,53
27,2023,6,75740.99,42
27,2023,7,73437.74,31
27,2023,8,89152.95,43
27,2023,9,67680.12,44
27,2023,10,68734.14,61
27,2023,11,89207.51,72
27,2023,12,78983.73,69
27,2024,1,88529.01,60
27,2024,2,112358.77,81
27,2024,3,103040.53,67
27,2024,4,114813.96,67
27,2024,5,97571.48,91
27,2024,6,79254.11,66
27,2024,7,69780.62,71
27,2024,8,80351.54,91
27,2024,9,108883.45,78
27,2024,10,119361.92,66
27,2024,11,135686.83,84
27,2024,12,151059.09,72
27,2025,1,129795.61,79
27,2025,2,164076.63,91
27,2025,3,150201.02,74
27,2025,4,127422.83,86
27,2025,5,179278.78,82
27,2025,6,156225.21,80
27,2025,7,178974.44,93
27,2025,8,191788.61,110
27,2025,9,168952.29,79
27,2025,10,136490.07,43
33,2023,9,2621.62,3
33,2023,10,26291.44,12
33,2023,11,33484.04,20
33,2023,12,68042.64,29
33,2024,1,54429.52,27
33,2024,2,92108.95,51
33,2024,3,79965.92,41
33,2024,4,82429.08,52
33,2024,5,122234.96,66
33,2024,6,111146.29,69
33,2024,7,136863.21,74
33,2024,8,191921.17,103
33,2024,9,3171.94,95
33,2024,10,30897.02,100
33,2024,11,41672.9,138
33,2024,12,76010.89,110
33,2025,1,65092.17,96
33,2025,2,106139.72,123
33,2025,3,89140.27,103
33,2025,4,101561.58,99
33,2025,5,134575.57,132
33,2025,6,133495.88,110
33,2025,7,154791.67,108
33,2025,8,222169.0,119
33,2025,9,196658.89,114
33,2025,10,233729.15,43
34,2021,8,25195.44,18
34,2021,9,54977.23,32
34,2021,10,60625.25,36
34,2021,11,83150.47,50
34,2021,12,60893.18,39
34,2022,1,65804.24,42
34,2022,2,85466.4,60
34,2022,3,64961.01,41
34,2022,4,84082.01,53
34,2022,5,95116.8,64
34,2022,6,77390.79,47
34,2022,7,93554.85,49
34,2022,8,29050.55,76
34,2022,9,66700.49,69
34,2022,10,72600.43,55
34,2022,11,98694.63,84
34,2022,12,74686.82,68
34,2023,1,77052.04,67
34,2023,2,97156.43,81
34,2023,3,78283.06,72
34,2023,4,103064.64,63
34,2023,5,116792.8,83
34,2023,6,89877.19,63
34,2023,7,112039.74,46
34,2023,8,137189.96,55
34,2023,9,107929.01,60
34,2023,10,115993.59,68
34,2023,11,151764.58,90
34,2023,12,115746.01,93
34,2024,1,139007.16,62
34,2024,2,144482.88,85
34,2024,3,140213.88,66
34,2024,4,124780.13,73
34,2024,5,143786.8,89
34,2024,6,98199.1,77
34,2024,7,81317.6,93
34,2024,8,108539.05,98
34,2024,9,104659.43,72
34,2024,10,130156.0,87
34,2024,11,166179.74,120
34,2024,12,182764.67,88
34,2025,1,98069.42,83
34,2025,2,154798.81,105
34,2025,3,107529.5,95
34,2025,4,145034.58,80
34,2025,5,170387.06,111
34,2025,6,140062.14,104
34,2025,7,185193.04,121
34,2025,8,164447.99,132
34,2025,9,146731.77,97
34,2025,10,169954.91,42
36,2021,8,70506.54,39
36,2021,9,147514.53,82
36,2021,10,111208.11,71
36,2021,11,165167.48,91
36,2021,12,117295.99,67
36,2022,1,146878.33,77
36,2022,2,176604.48,90
36,2022,3,129812.96,83
36,2022,4,145561.63,66
36,2022,5,166295.28,88
36,2022,6,109407.86,67
36,2022,7,149431.47,73
36,2022,8,84573.35,94
36,2022,9,177391.51,69
36,2022,10,136032.77,69
36,2022,11,196397.1,93
36,2022,12,141107.84,77
36,2023,1,177506.56,71
36,2023,2,196818.26,92
36,2023,3,158669.16,82
36,2023,4,165531.86,74
36,2023,5,206558.47,89
36,2023,6,132383.62,74
36,2023,7,175198.58,55
36,2023,8,183688.03,59
36,2023,9,146769.25,62
36,2023,10,164255.16,71
36,2023,11,187982.5,86
36,2023,12,168040.06,91
36,2024,1,162709.41,76
36,2024,2,192980.38,86
36,2024,3,167292.12,67
36,2024,4,163619.14,80
36,2024,5,185508.08,90
36,2024,6,163582.01,75
36,2024,7,111658.07,78
36,2024,8,124071.81,93
36,2024,9,143875.87,73
36,2024,10,155369.21,71
36,2024,11,189310.23,93
36,2024,12,201543.37,90
36,2025,1,157578.74,79
36,2025,2,174828.75,104
36,2025,3,120507.69,91
36,2025,4,162969.26,79
36,2025,5,182897.53,104
36,2025,6,145376.31,98
36,2025,7,158210.58,126
36,2025,8,215160.22,135
36,2025,9,144532.55,96
36,2025,10,143766.88,42
39,2021,8,45059.18,23
39,2021,9,73738.52,47
39,2021,10,76325.89,45
39,2021,11,104062.3,57
39,2021,12,72927.44,51
39,2022,1,71043.67,47
39,2022,2,94345.16,55
39,2022,3,82807.75,47
39,2022,4,70799.52,47
39,2022,5,91591.84,49
39,2022,6,63586.08,40
39,2022,7,74193.99,46
39,2022,8,54164.22,57
39,2022,9,88398.11,53
39,2022,10,91775.63,42
39,2022,11,120244.08,54
39,2022,12,81923.55,52
39,2023,1,85888.72,42
39,2023,2,107883.69,61
39,2023,3,101486.3,43
39,2023,4,84520.63,49
39,2023,5,115681.68,64
39,2023,6,70105.09,43
39,2023,7,83686.11,36
39,2023,8,98247.0,41
39,2023,9,76064.02,38
39,2023,10,77707.53,50
39,2023,11,94654.62,75
39,2023,12,112613.97,91
39,2024,1,77059.26,67
39,2024,2,108574.71,96
39,2024,3,88305.28,81
39,2024,4,86852.65,88
39,2024,5,117119.66,117
39,2024,6,68206.46,104
39,2024,7,71354.5,108
39,2024,8,78112.07,146
39,2024,9,86004.78,119
39,2024,10,86310.61,122
39,2024,11,145025.65,162
39,2024,12,166995.28,124
39,2025,1,120977.69,126
39,2025,2,177239.63,161
39,2025,3,162826.12,130
39,2025,4,135435.23,127
39,2025,5,229747.32,178
39,2025,6,203256.18,153
39,2025,7,186889.09,171
39,2025,8,265839.1,201
39,2025,9,213393.2,161
39,2025,10,206379.37,69
50,2021,8,42520.86,33
50,2021,9,85190.15,54
50,2021,10,99348.09,65
50,2021,11,103452.32,63
50,2021,12,68020.4,54
50,2022,1,87260.23,57
50,2022,2,97333.1,66
50,2022,3,68792.89,53
50,2022,4,81460.03,60
50,2022,5,74128.98,64
50,2022,6,70705.11,55
50,2022,7,84547.96,62
50,2022,8,48804.09,70
50,2022,9,96957.53,53
50,2022,10,122590.39,62
50,2022,11,123661.5,64
50,2022,12,77325.56,51
50,2023,1,99465.89,55
50,2023,2,116749.18,50
50,2023,3,86758.89,49
50,2023,4,92138.61,44
50,2023,5,88398.95,48
50,2023,6,82936.27,31
50,2023,7,101314.15,26
50,2023,8,126291.11,30
50,2023,9,92789.52,29
50,2023,10,106315.81,33
50,2023,11,113947.98,52
50,2023,12,94081.32,43
50,2024,1,77994.95,35
50,2024,2,90774.95,35
50,2024,3,90886.1,29
50,2024,4,74330.88,27
50,2024,5,70842.75,37
50,2024,6,47578.18,26
50,2024,7,42970.98,27
50,2024,8,47660.87,27
50,2024,9,42279.97,23
50,2024,10,52333.74,25
50,2024,11,71267.2,28
50,2024,12,76521.7,18
50,2025,1,51657.59,20
50,2025,2,52976.94,27
50,2025,3,50644.31,22
50,2025,4,43152.56,18
50,2025,5,60623.82,19
50,2025,6,38657.97,24
50,2025,7,37984.36,29
50,2025,8,42536.47,38
50,2025,9,41320.82,28
50,2025,10,43289.83,10
56,2021,8,62780.95,66
56,2021,9,109788.28,95
56,2021,10,116222.99,106
56,2021,11,135127.34,128
56,2021,12,101924.05,88
56,2022,1,112585.51,97
56,2022,2,137841.07,129
56,2022,3,109144.2,93
56,2022,4,120615.89,95
56,2022,5,143983.63,125
56,2022,6,122541.78,98
56,2022,7,105201.97,96
56,2022,8,74445.19,137
56,2022,9,124915.71,109
56,2022,10,142379.29,98
56,2022,11,159062.03,134
56,2022,12,123126.14,93
56,2023,1,134543.33,90
56,2023,2,167996.61,126
56,2023,3,125254.79,106
56,2023,4,136387.97,93
56,2023,5,164756.64,126
56,2023,6,144019.08,85
56,2023,7,124338.95,65
56,2023,8,176082.43,80
56,2023,9,151470.59,76
56,2023,10,139669.05,103
56,2023,11,159252.02,104
56,2023,12,140985.6,100
56,2024,1,124828.13,70
56,2024,2,161335.58,81
56,2024,3,130552.09,63
56,2024,4,123813.19,51
56,2024,5,171879.26,75
56,2024,6,113389.47,49
56,2024,7,69007.18,38
56,2024,8,96045.9,42
56,2024,9,87688.1,35
56,2024,10,129769.84,38
56,2024,11,102450.96,37
56,2024,12,101589.32,26
56,2025,1,73761.12,33
56,2025,2,87570.02,39
56,2025,3,58825.5,26
56,2025,4,62960.73,33
56,2025,5,65246.44,29
56,2025,6,57021.58,48
56,2025,7,28398.66,67
56,2025,8,39396.23,71
56,2025,9,26736.24,39
56,2025,10,35246.03,17
58,2021,8,41832.96,35
58,2021,9,71293.24,65
58,2021,10,59911.4,66
58,2021,11,100188.2,80
58,2021,12,60148.47,51
58,2022,1,78703.56,70
58,2022,2,91066.21,72
58,2022,3,74667.94,60
58,2022,4,72821.69,63
58,2022,5,78392.0,77
58,2022,6,51934.02,52
58,2022,7,83743.76,68
58,2022,8,49244.28,77
58,2022,9,81755.4,63
58,2022,10,73113.29,60
58,2022,11,119130.09,73
58,2022,12,70538.78,63
58,2023,1,89213.58,58
58,2023,2,100756.44,82
58,2023,3,82419.53,64
58,2023,4,90438.88,61
58,2023,5,92615.3,81
58,2023,6,62730.54,64
58,2023,7,100734.52,48
58,2023,8,94125.8,55
58,2023,9,77406.84,60
58,2023,10,80947.86,79
58,2023,11,93288.09,80
58,2023,12,89238.07,81
58,2024,1,75494.51,49
58,2024,2,99451.96,65
58,2024,3,71626.98,59
58,2024,4,70550.88,52
58,2024,5,92955.15,74
58,2024,6,83703.72,49
58,2024,7,54701.65,43
58,2024,8,75468.15,50
58,2024,9,74577.14,42
58,2024,10,98215.39,37
58,2024,11,82049.85,33
58,2024,12,91384.8,28
58,2025,1,60687.63,28
58,2025,2,77024.63,44
58,2025,3,65996.3,23
58,2025,4,49221.2,30
58,2025,5,71760.12,38
58,2025,6,57821.48,38
58,2025,7,36572.63,54
58,2025,8,46671.9,53
58,2025,9,37146.63,31
58,2025,10,34592.06,12
67,2021,8,33904.8,24
67,2021,9,50517.96,29
67,2021,10,52974.0,37
67,2021,11,86212.44,38
67,2021,12,54779.14,34
67,2022,1,85525.46,38
67,2022,2,94228.85,54
67,2022,3,66978.45,41
67,2022,4,72169.63,40
67,2022,5,84574.54,47
67,2022,6,59211.89,35
67,2022,7,70399.6,35
67,2022,8,40116.58,44
67,2022,9,56394.06,38
67,2022,10,61419.18,37
67,2022,11,99122.25,43
67,2022,12,63094.51,40
67,2023,1,97101.32,37
67,2023,2,111118.3,38
67,2023,3,79983.55,41
67,2023,4,81350.64,35
67,2023,5,93429.67,45
67,2023,6,67610.65,33
67,2023,7,83033.87,24
67,2023,8,88113.92,33
67,2023,9,80945.92,34
67,2023,10,82024.73,44
67,2023,11,79811.7,57
67,2023,12,77921.81,76
67,2024,1,105430.67,50
67,2024,2,94359.37,83
67,2024,3,77520.17,61
67,2024,4,82414.48,65
67,2024,5,103805.18,83
67,2024,6,73013.62,72
67,2024,7,56101.75,65
67,2024,8,66237.26,99
67,2024,9,70395.48,71
67,2024,10,82625.01,74
67,2024,11,128370.53,108
67,2024,12,168664.7,77
67,2025,1,109528.99,77
67,2025,2,156257.87,98
67,2025,3,130839.96,80
67,2025,4,139585.89,74
67,2025,5,174951.05,93
67,2025,6,138448.53,77
67,2025,7,148757.94,101
67,2025,8,209982.97,108
67,2025,9,147271.09,79
67,2025,10,151865.85,35
70,2021,8,51975.21,42
70,2021,9,122874.64,75
70,2021,10,89393.84,76
70,2021,11,136978.55,88
70,2021,12,109199.54,67
70,2022,1,103860.86,72
70,2022,2,145273.36,87
70,2022,3,119115.07,80
70,2022,4,104672.32,72
70,2022,5,129401.52,93
70,2022,6,102860.18,64
70,2022,7,105806.41,75
70,2022,8,58728.55,85
70,2022,9,143047.57,72
70,2022,10,108791.18,75
70,2022,11,150261.22,90
70,2022,12,125345.99,75
70,2023,1,128557.37,74
70,2023,2,168766.6,96
70,2023,3,136631.49,79
70,2023,4,127125.24,81
70,2023,5,151569.05,93
70,2023,6,113814.11,60
70,2023,7,127298.52,55
70,2023,8,151595.43,59
70,2023,9,147005.14,56
70,2023,10,108984.82,72
70,2023,11,159935.1,97
70,2023,12,116543.96,99
70,2024,1,121338.82,66
70,2024,2,144333.44,91
70,2024,3,104047.21,77
70,2024,4,131256.19,89
70,2024,5,161088.8,131
70,2024,6,113265.34,110
70,2024,7,98317.26,111
70,2024,8,115878.58,141
70,2024,9,112484.09,142
70,2024,10,112348.81,136
70,2024,11,180515.68,174
70,2024,12,171528.59,139
70,2025,1,128705.79,133
70,2025,2,172761.28,166
70,2025,3,127796.5,151
70,2025,4,145663.64,163
70,2025,5,218875.85,201
70,2025,6,182930.5,175
70,2025,7,198135.58,169
70,2025,8,233545.13,222
70,2025,9,221927.62,158
70,2025,10,247431.22,84
71,2021,8,38030.16,39
71,2021,9,68365.53,65
71,2021,10,74301.07,63
71,2021,11,92675.66,86
71,2021,12,74195.82,61
71,2022,1,67820.77,65
71,2022,2,95018.94,81
71,2022,3,85828.97,61
71,2022,4,69129.91,70
71,2022,5,97383.46,86
71,2022,6,65237.48,62
71,2022,7,62982.47,68
71,2022,8,44142.03,79
71,2022,9,78064.61,55
71,2022,10,90113.33,63
71,2022,11,104166.21,81
71,2022,12,88769.84,61
71,2023,1,78155.47,72
71,2023,2,116240.28,72
71,2023,3,95615.46,71
71,2023,4,86553.59,63
71,2023,5,112920.55,79
71,2023,6,73924.41,63
71,2023,7,76238.46,42
71,2023,8,95964.3,56
71,2023,9,78169.13,56
71,2023,10,86595.41,70
71,2023,11,89453.74,80
71,2023,12,85036.87,81
71,2024,1,75056.32,48
71,2024,2,122882.51,52
71,2024,3,98978.05,44
71,2024,4,94143.89,40
71,2024,5,106477.67,47
71,2024,6,95845.45,42
71,2024,7,55515.84,34
71,2024,8,85280.58,47
71,2024,9,75784.45,35
71,2024,10,111846.59,33
71,2024,11,96542.93,39
71,2024,12,80461.57,30
71,2025,1,48364.8,32
71,2025,2,43719.21,37
71,2025,3,44840.09,33
71,2025,4,38514.5,26
71,2025,5,50656.97,44
71,2025,6,43027.58,45
71,2025,7,38501.69,52
71,2025,8,40531.78,59
71,2025,9,47246.5,34
71,2025,10,31133.12,12
83,2021,8,50283.12,25
83,2021,9,71803.98,44
83,2021,10,93939.25,43
83,2021,11,83048.59,51
83,2021,12,77442.84,36
83,2022,1,75722.54,45
83,2022,2,102469.89,51
83,2022,3,76960.12,50
83,2022,4,83196.72,37
83,2022,5,108625.49,54
83,2022,6,86637.46,39
83,2022,7,70427.76,42
83,2022,8,59705.25,53
83,2022,9,88686.68,43
83,2022,10,114508.05,46
83,2022,11,101963.03,64
83,2022,12,92462.12,55
83,2023,1,91648.39,51
83,2023,2,124887.95,62
83,2023,3,89137.88,61
83,2023,4,98535.68,58
83,2023,5,123796.27,64
83,2023,6,103557.38,42
83,2023,7,85835.12,34
83,2023,8,97428.47,46
83,2023,9,84509.57,46
83,2023,10,85387.47,59
83,2023,11,159753.36,78
83,2023,12,121499.9,74
83,2024,1,124448.87,67
83,2024,2,159130.25,73
83,2024,3,131930.01,60
83,2024,4,111516.86,61
83,2024,5,143923.05,78
83,2024,6,95659.4,70
83,2024,7,84686.83,71
83,2024,8,112064.15,99
83,2024,9,93664.78,91
83,2024,10,148674.09,91
83,2024,11,177985.84,117
83,2024,12,181463.83,103
83,2025,1,136764.32,89
83,2025,2,178767.75,119
83,2025,3,127653.06,89
83,2025,4,142367.52,92
83,2025,5,168842.99,114
83,2025,6,157698.36,111
83,2025,7,158344.33,111
83,2025,8,206137.45,152
83,2025,9,184759.09,104
83,2025,10,197237.18,50
84,2021,8,79980.62,50
84,2021,9,99507.4,65
84,2021,10,120667.05,67
84,2021,11,150422.36,94
84,2021,12,117758.26,68
84,2022,1,133978.0,77
84,2022,2,163541.9,95
84,2022,3,111856.49,69
84,2022,4,118026.52,70
84,2022,5,141942.63,98
84,2022,6,114475.38,71
84,2022,7,139200.49,78
84,2022,8,95284.58,84
84,2022,9,122041.76,67
84,2022,10,142958.64,63
84,2022,11,184841.66,93
84,2022,12,143345.32,74
84,2023,1,156429.28,65
84,2023,2,188810.84,92
84,2023,3,126018.18,67
84,2023,4,135562.03,69
84,2023,5,162834.6,99
84,2023,6,139104.81,61
84,2023,7,160045.41,53
84,2023,8,182973.95,61
84,2023,9,131370.07,48
84,2023,10,139196.07,72
84,2023,11,175238.76,95
84,2023,12,124352.38,85
84,2024,1,126236.82,75
84,2024,2,161220.65,98
84,2024,3,149374.94,77
84,2024,4,140243.28,70
84,2024,5,175765.87,93
84,2024,6,119822.53,66
84,2024,7,101639.47,76
84,2024,8,116260.73,104
84,2024,9,94421.49,67
84,2024,10,123139.83,77
84,2024,11,167901.09,97
84,2024,12,165141.13,66
84,2025,1,126257.87,72
84,2025,2,182931.3,96
84,2025,3,133133.6,74
84,2025,4,130780.81,73
84,2025,5,186253.08,96
84,2025,6,126212.89,82
84,2025,7,126574.86,103
84,2025,8,195836.56,113
84,2025,9,117583.76,77
