Edition,Rank,Artist,Song,songid,Released
2010,111,Otis Redding,I've Been Loving You Too Long (To Stop Now),I've Been Loving You Too Long (To Stop Now)Otis Redding,1965
2010,112,Hank Williams,I'm So Lonesome I Could Cry,I'm So Lonesome I Could CryHank Williams,1949
2010,113,Elvis Presley,That's All Right,That's All RightElvis Presley,1954
2010,114,The Drifters,Up on the Roof,Up on the RoofThe Drifters,1962
2010,115,Sam Cooke,You Send Me,You Send MeSam Cooke,1957
2010,116,The Rolling Stones,Honky Tonk Woman,Honky Tonk WomanThe Rolling Stones,1969
2010,117,Al Green,Take Me to the River,Take Me to the RiverAl Green,1974
2010,118,Beyonce feat. Jay-Z,Crazy in Love,Crazy in LoveBeyonce feat. Jay-Z,2003
2010,119,The Isley Brothers,Shout (Parts 1 and 2),Shout (Parts 1 and 2)The Isley Brothers,1959
2010,120,Fleetwood Mac,Go Your Own Way,Go Your Own WayFleetwood Mac,1977
2010,121,The Jackson 5,I Want You Back,I Want You BackThe Jackson 5,1969
2010,122,Ben E. King,Stand by Me,Stand by MeBen E. King,1961
2010,123,The Animals,The House of the Rising Sun,The House of the Rising SunThe Animals,1964
2010,124,James Brown,It's a Man's Man's Man's World,It's a Man's Man's Man's WorldJames Brown,1966
2010,125,The Rolling Stones,Jumpin' Jack Flash,Jumpin' Jack FlashThe Rolling Stones,1968
2010,126,The Shirelles,Will You Love Me Tomorrow,Will You Love Me TomorrowThe Shirelles,1960
2010,127,Big Joe Turner,"Shake, Rattle & Roll","Shake, Rattle & RollBig Joe Turner",1954
2010,128,David Bowie,Changes,ChangesDavid Bowie,1971
2010,129,Chuck Berry,Rock & Roll Music,Rock & Roll MusicChuck Berry,1957
2010,130,Steppenwolf,Born to Be Wild,Born to Be WildSteppenwolf,1968
2010,131,Rod Stewart,Maggie May,Maggie MayRod Stewart,1971
2010,132,U2,With or Without You,With or Without YouU2,1987
2010,133,Bo Diddley,Who Do You Love?,Who Do You Love?Bo Diddley,1957
2010,134,The Who,Won't Get Fooled Again,Won't Get Fooled AgainThe Who,1971
2010,135,Wilson Pickett,In the Midnight Hour,In the Midnight HourWilson Pickett,1965
2010,136,The Beatles,While My Guitar Gently Weeps,While My Guitar Gently WeepsThe Beatles,1968
2010,137,Elton John,Your Song,Your SongElton John,1970
2010,138,The Beatles,Eleanor Rigby,Eleanor RigbyThe Beatles,1966
2010,139,Sly & The Family Stone,Family Affair,Family AffairSly & The Family Stone,1971
2010,140,The Beatles,I Saw Her Standing There,I Saw Her Standing ThereThe Beatles,1964
2010,141,Led Zeppelin,Kashmir,KashmirLed Zeppelin,1975
2010,142,The Everly Brothers,All I Have to Do Is Dream,All I Have to Do Is DreamThe Everly Brothers,1958
2010,143,James Brown,"Please, Please, Please","Please, Please, PleaseJames Brown",1956
2010,144,Prince,Purple Rain,Purple RainPrince,1984
2010,145,Ramones,I Wanna Be Sedated,I Wanna Be SedatedRamones,1978
2010,146,Sly & The Family Stone,Everyday People,Everyday PeopleSly & The Family Stone,1968
2010,147,The B-52's,Rock Lobster,Rock LobsterThe B-52's,1979
2010,148,Janis Joplin,Me And Bobby McGee,Me And Bobby McGeeJanis Joplin,1971
2010,149,Iggy Pop,Lust for Life,Lust for LifeIggy Pop,1977
2010,150,The Everly Brothers,Cathy's Clown,Cathy's ClownThe Everly Brothers,1960
2010,151,The Byrds,Eight Miles High,Eight Miles HighThe Byrds,1966
2010,152,The Penguins,Earth Angel,Earth AngelThe Penguins,1954
2010,153,Jimi Hendrix,Foxey Lady,Foxey LadyJimi Hendrix,1965
2010,154,The Beatles,A Hard Day's Night,A Hard Day's NightThe Beatles,1964
2010,155,Buddy Holly,Rave On,Rave OnBuddy Holly,1958
2010,156,Creedence Clearwater Revival,Proud Mary,Proud MaryCreedence Clearwater Revival,1969
2010,157,Simon & Garfunkel,The Sounds of Silence,The Sounds of SilenceSimon & Garfunkel,1965
2010,158,The Flamingos,I Only Have Eyes for You,I Only Have Eyes for YouThe Flamingos,1959
2010,159,Bill Haley and His Comets,(We're Gonna) Rock Around the Clock,(We're Gonna) Rock Around the ClockBill Haley and His Comets,1954
2010,160,U2,Moment of Surrender,Moment of SurrenderU2,2009
2010,161,The Velvet Underground,I'm Waiting for the Man,I'm Waiting for the ManThe Velvet Underground,1967
2010,162,Public Enemy,Bring the Noise,Bring the NoisePublic Enemy,1988
2010,163,Johnny Cash,Folsom Prison Blues,Folsom Prison BluesJohnny Cash,1956
2010,164,Ray Charles,I Can't Stop Loving You,I Can't Stop Loving YouRay Charles,1962
2010,165,Sinead O'Connor,Nothing Compares 2 U,Nothing Compares 2 USinead O'Connor,1990
2010,166,Queen,Bohemian Rhapsody,Bohemian RhapsodyQueen,1975
2010,167,Tracy Chapman,Fast Car,Fast CarTracy Chapman,1988
2010,168,Marvin Gaye,Let's Get It On,Let's Get It OnMarvin Gaye,1973
2010,169,The Temptations,Papa Was a Rollin' Stone,Papa Was a Rollin' StoneThe Temptations,1972
2010,170,R.E.M.,Losing My Religion,Losing My ReligionR.E.M.,1991
2010,171,Joni Mitchell,Both Sides Now,Both Sides NowJoni Mitchell,1969
2010,172,Jay-Z,99 Problems,99 ProblemsJay-Z,2003
2010,173,Aerosmith,Dream On,Dream OnAerosmith,1973
2010,174,ABBA,Dancing Queen,Dancing QueenABBA,1976
2010,175,The Sex Pistols,God Save the Queen,God Save the QueenThe Sex Pistols,1977
2010,176,The Rolling Stones,Paint it Black,Paint it BlackThe Rolling Stones,1966
2010,177,The Bobby Fuller Four,I Fought the Law,I Fought the LawThe Bobby Fuller Four,1966
2010,178,The Beach Boys,Don't Worry Baby,Don't Worry BabyThe Beach Boys,1964
2010,179,Tom Petty,Free Fallin',Free Fallin'Tom Petty,1989
2010,180,Big Star,September Gurls,September GurlsBig Star,1974
2010,181,Joy Division,Love Will Tear Us Apart,Love Will Tear Us ApartJoy Division,1980
2010,182,Outkast,Hey Ya!,Hey Ya!Outkast,2003
2010,183,Booker T & The MG's,Green Onions,Green OnionsBooker T & The MG's,1962
2010,184,The Drifters,Save the Last Dance for Me,Save the Last Dance for MeThe Drifters,1960
2010,185,B.B. King,The Thrill is Gone,The Thrill is GoneB.B. King,1969
2010,186,The Beatles,Please Please Me,Please Please MeThe Beatles,1964
2010,187,Bob Dylan,Desolation Row,Desolation RowBob Dylan,1965
2010,188,Creedence Clearwater Revival,Who'll Stop the Rain,Who'll Stop the RainCreedence Clearwater Revival,1970
2010,189,Aretha Franklin,I Never Loved a Man (the Way I Love You),I Never Loved a Man (the Way I Love You)Aretha Franklin,1967
2010,190,AC/DC,Back in Black,Back in BlackAC/DC,1980
2010,191,Bee Gees,Stayin' Alive,Stayin' AliveBee Gees,1977
2010,192,Bob Dylan,Knockin' on Heaven's Door,Knockin' on Heaven's DoorBob Dylan,1973
2010,193,Lynyrd Skynyrd,Free Bird,Free BirdLynyrd Skynyrd,1973
2010,194,Amy Winehouse,Rehab,RehabAmy Winehouse,2007
2010,195,Glen Campbell,Wichita Lineman,Wichita LinemanGlen Campbell,1968
2010,196,The Drifters,There Goes My Baby,There Goes My BabyThe Drifters,1959
2010,197,Buddy Holly,Peggy Sue,Peggy SueBuddy Holly,1957
2010,198,Guns N' Roses,Sweet Child O' Mine,Sweet Child O' MineGuns N' Roses,1987
2010,199,The Chantels,Maybe,MaybeThe Chantels,1957
2010,200,Elvis Presley,Don't Be Cruel,Don't Be CruelElvis Presley,1956
2010,201,Jimi Hendrix,Hey Joe,Hey JoeJimi Hendrix,1966
2010,202,Parliament,Flash Light,Flash LightParliament,1977
2010,203,Beck,Loser,LoserBeck,1993
2010,204,New Order,Bizarre Love Triangle,Bizarre Love TriangleNew Order,1986
2010,205,The Beatles,Come Together,Come TogetherThe Beatles,1969
2010,206,Bob Dylan,Positively 4th Street,Positively 4th StreetBob Dylan,1965
2010,207,Otis Redding,Try a Little Tenderness,Try a Little TendernessOtis Redding,1966
2010,208,Bill Withers,Lean on Me,Lean on MeBill Withers,1972
2010,209,Four Tops,Reach Out (I'll Be There),Reach Out (I'll Be There)Four Tops,1966
2010,210,The Everly Brothers,Bye Bye Love,Bye Bye LoveThe Everly Brothers,1957
2010,211,Them,Gloria,GloriaThem,1965
2010,212,The Beach Boys,In My Room,In My RoomThe Beach Boys,1963
2010,213,? & The Mysterians,96 Tears,96 Tears? & The Mysterians,1966
2010,214,The Beach Boys,"Caroline, No","Caroline, NoThe Beach Boys",1966
2010,215,Prince,1999,1999Prince,1982
2010,216,Neil Young,Rockin' in the Free World,Rockin' in the Free WorldNeil Young,1989
2010,217,Hank Williams,Your Cheatin' Heart,Your Cheatin' HeartHank Williams,1953
2010,218,The Lovin' Spoonful,Do You Believe in Magic,Do You Believe in MagicThe Lovin' Spoonful,1965
2010,219,Dolly Parton,Jolene,JoleneDolly Parton,1974
2010,220,John Lee Hooker,Boom Boom,Boom BoomJohn Lee Hooker,1962
2010,221,Howlin' Wolf,Spoonful,SpoonfulHowlin' Wolf,1960
2010,222,The Left Banke,Walk Away Renee,Walk Away ReneeThe Left Banke,1966
2010,223,Lou Reed,Walk on the Wild Side,Walk on the Wild SideLou Reed,1972
2010,224,Roy Orbison,"Oh, Pretty Woman","Oh, Pretty WomanRoy Orbison",1964
2010,225,Sly & The Family Stone,Dance to the Music,Dance to the MusicSly & The Family Stone,1968
2010,226,Muddy Waters,Hoochie Coochie Man,Hoochie Coochie ManMuddy Waters,1954
2010,227,James Taylor,Fire and Rain,Fire and RainJames Taylor,1970
2010,228,The Clash,Should I Stay or Should I Go,Should I Stay or Should I GoThe Clash,1982
2010,229,Chic,Good Times,Good TimesChic,1979
2010,230,Muddy Waters,Mannish Boy,Mannish BoyMuddy Waters,1955
2010,231,Van Morrison,Moondance,MoondanceVan Morrison,1970
2010,232,Bob Dylan,Just Like a Woman,Just Like a WomanBob Dylan,1966
2010,233,Marvin Gaye,Sexual Healing,Sexual HealingMarvin Gaye,1982
2010,234,Roy Orbison,Only the Lonely,Only the LonelyRoy Orbison,1960
2010,235,The Animals,We Gotta Get Out of This Place,We Gotta Get Out of This PlaceThe Animals,1965
2010,236,M.I.A.,Paper Planes,Paper PlanesM.I.A.,2007
2010,237,The Byrds,I'll Feel a Whole Lot Better,I'll Feel a Whole Lot BetterThe Byrds,1965
2010,238,Buddy Holly,Everyday,EverydayBuddy Holly,1957
2010,239,Ray Charles,I Got a Woman,I Got a WomanRay Charles,1954
2010,240,Afrika Bambaataa & Soulsonic Force,Planet Rock,Planet RockAfrika Bambaataa & Soulsonic Force,1982
2010,241,Patsy Cline,I Fall to Pieces,I Fall to PiecesPatsy Cline,1961
2010,242,Dusty Springfield,Son of a Preacher Man,Son of a Preacher ManDusty Springfield,1968
2010,243,Dion,The Wanderer,The WandererDion,1961
2010,244,Sly & The Family Stone,Stand,StandSly & The Family Stone,1969
2010,245,Elton John,Rocket Man,Rocket ManElton John,1972
2010,246,The B-52's,Love Shack,Love ShackThe B-52's,1989
2010,247,The Spencer Davis Group,Gimme Some Lovin',Gimme Some Lovin'The Spencer Davis Group,1966
2010,248,Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,(Your Love Keeps Lifting Me) Higher and HigherJackie Wilson,1967
2010,249,The Band,The Night They Drove Old Dixie Down,The Night They Drove Old Dixie DownThe Band,1969
2010,250,Sly & The Family Stone,Hot Fun in the Summertime,Hot Fun in the SummertimeSly & The Family Stone,1969
2010,251,Sugarhill Gang,Rapper's Delight,Rapper's DelightSugarhill Gang,1979
2010,252,Aretha Franklin,Chain of Fools,Chain of FoolsAretha Franklin,1967
2010,253,Black Sabbath,Paranoid,ParanoidBlack Sabbath,1970
2010,254,The Drifters,Money Honey,Money HoneyThe Drifters,1953
2010,255,Bobby Darin,Mack the Knife,Mack the KnifeBobby Darin,1959
2010,256,Mott the Hoople,All the Young Dudes,All the Young DudesMott the Hoople,1972
2010,257,Radiohead,Paranoid Android,Paranoid AndroidRadiohead,1997
2010,258,AC/DC,Highway to Hell,Highway to HellAC/DC,1979
2010,259,Blondie,Heart of Glass,Heart of GlassBlondie,1978
2010,260,Bob Dylan,Mississippi,MississippiBob Dylan,2001
2010,261,The Troggs,Wild Thing,Wild ThingThe Troggs,1966
2010,262,The Who,I Can See For Miles,I Can See For MilesThe Who,1967
2010,263,The Dells,Oh What a Nite,Oh What a NiteThe Dells,1969
2010,264,Jeff Buckley,Hallelujah,HallelujahJeff Buckley,1994
2010,265,Stevie Wonder,Higher Ground,Higher GroundStevie Wonder,1973
2010,266,Smokey Robinson and the Miracles,Ooo Baby Baby,Ooo Baby BabySmokey Robinson and the Miracles,1965
2010,267,The Crystals,He's A Rebel,He's A RebelThe Crystals,1962
2010,268,Randy Newman,Sail Away,Sail AwayRandy Newman,1972
2010,269,The Ronettes,Walking in the Rain,Walking in the RainThe Ronettes,1964
2010,270,Archie Bell and The Drells,Tighten Up,Tighten UpArchie Bell and The Drells,1968
2010,271,New York Dolls,Personality Crisis,Personality CrisisNew York Dolls,1973
2010,272,U2,Sunday Bloody Sunday [Live],Sunday Bloody Sunday [Live]U2,1983
2010,273,Kanye West,Jesus Walks,Jesus WalksKanye West,2004
2010,274,The Modern Lovers,Roadrunner,RoadrunnerThe Modern Lovers,1976
2010,275,George Jones,He Stopped Loving Her Today,He Stopped Loving Her TodayGeorge Jones,1980
2010,276,The Beach Boys,Sloop John B,Sloop John BThe Beach Boys,1966
2010,277,Chuck Berry,Sweet Little Sixteen,Sweet Little SixteenChuck Berry,1958
2010,278,The Beatles,Something,SomethingThe Beatles,1969
2010,279,Jefferson Airplane,Somebody to Love,Somebody to LoveJefferson Airplane,1967
2010,280,Bruce Springsteen,Born in the U.S.A.,Born in the U.S.A.Bruce Springsteen,1984
2010,281,The Staple Singers,I'll Take You There,I'll Take You ThereThe Staple Singers,1972
2010,282,David Bowie,Ziggy Stardust,Ziggy StardustDavid Bowie,1972
2010,283,The Cure,Pictures of You,Pictures of YouThe Cure,1989
2010,284,The Dixie Cups,Chapel of Love,Chapel of LoveThe Dixie Cups,1964
2010,285,Bill Withers,Ain't No Sunshine,Ain't No SunshineBill Withers,1971
2010,286,The White Stripes,Seven Nation Army,Seven Nation ArmyThe White Stripes,2003
2010,287,Stevie Wonder,You Are the Sunshine of My Life,You Are the Sunshine of My LifeStevie Wonder,1972
2010,288,Joni Mitchell,Help Me,Help MeJoni Mitchell,1974
2010,289,Blondie,Call Me,Call MeBlondie,1980
2010,290,Elvis Costello,"(What's So Funny About) Peace, Love and Understanding","(What's So Funny About) Peace, Love and UnderstandingElvis Costello",1979
2010,291,Howlin' Wolf,Smokestack Lightnin,Smokestack LightninHowlin' Wolf,1956
2010,292,Pavement,Summer Babe (Winter Version),Summer Babe (Winter Version)Pavement,1992
2010,293,Run-DMC,Walk This Way,Walk This WayRun-DMC,1986
2010,294,Barrett Strong,Money (That's What I Want),Money (That's What I Want)Barrett Strong,1960
2010,295,The Beatles,Can't Buy Me Love,Can't Buy Me LoveThe Beatles,1964
2010,296,Eminem,Stan,StanEminem,2000
2010,297,The Zombies,She's Not There,She's Not ThereThe Zombies,1964
2010,298,The Clash,Train in Vain,Train in VainThe Clash,1979
2010,299,Al Green,Tired of Being Alone,Tired of Being AloneAl Green,1971
2010,300,Led Zeppelin,Black Dog,Black DogLed Zeppelin,1971
2010,301,The Rolling Stones,Street Fighting Man,Street Fighting ManThe Rolling Stones,1968
2010,302,Bob Marley and the Wailers,"Get Up, Stand Up","Get Up, Stand UpBob Marley and the Wailers",1975
2010,303,Neil Young,Heart of Gold,Heart of GoldNeil Young,1972
2010,304,Prince,Sign 'O' The Times,Sign 'O' The TimesPrince,1987
2010,305,Blondie,One Way or Another,One Way or AnotherBlondie,1978
2010,306,Madonna,Like a Prayer,Like a PrayerMadonna,1989
2010,307,Daft Punk,One More Time,One More TimeDaft Punk,2000
2010,308,Rod Stewart,Do Ya Think I'm Sexy?,Do Ya Think I'm Sexy?Rod Stewart,1978
2010,309,Willie Nelson,Blue Eyes Crying in the Rain,Blue Eyes Crying in the RainWillie Nelson,1975
2010,310,The Rolling Stones,Ruby Tuesday,Ruby TuesdayThe Rolling Stones,1967
2010,311,The Beatles,With a Little Help From My Friends,With a Little Help From My FriendsThe Beatles,1967
2010,312,James Brown,Say It Loud - I'm Black and I'm Proud,Say It Loud - I'm Black and I'm ProudJames Brown,1968
2010,313,The Jam,That's Entertainment,That's EntertainmentThe Jam,1980
2010,314,Frankie Lymon and The Teenagers,What a Fool Believes,What a Fool BelievesFrankie Lymon and The Teenagers,1956
2010,315,Jackie Wilson,Lonely Teardrops,Lonely TeardropsJackie Wilson,1958
2010,316,Tina Turner,What's Love Got to Do With It,What's Love Got to Do With ItTina Turner,1984
2010,317,Black Sabbath,Iron Man,Iron ManBlack Sabbath,1971
2010,318,The Everly Brothers,Wake Up Little Susie,Wake Up Little SusieThe Everly Brothers,1957
2010,319,Roy Orbison,In Dreams,In DreamsRoy Orbison,1963
2010,320,Screamin' Jay Hawkins,I Put a Spell on You,I Put a Spell on YouScreamin' Jay Hawkins,1956
2010,321,Pink Floyd,Comfortably Numb,Comfortably NumbPink Floyd,1979
2010,322,The Animals,Don't Let Me Be Misunderstood,Don't Let Me Be MisunderstoodThe Animals,1965
2010,323,Elvis Costello,Alison,AlisonElvis Costello,1977
2010,324,Pink Floyd,Wish You Were Here,Wish You Were HerePink Floyd,1975
2010,325,Jimmy Cliff,Many Rivers to Cross,Many Rivers to CrossJimmy Cliff,1969
2010,326,Alice Cooper,School's Out,School's OutAlice Cooper,1972
2010,327,Franz Ferdinand,Take Me Out,Take Me OutFranz Ferdinand,2004
2010,328,Led Zeppelin,Heartbreaker,HeartbreakerLed Zeppelin,1969
2010,329,Neil Young,Cortez the Killer,Cortez the KillerNeil Young,1975
2010,330,Public Enemy,Fight the Power,Fight the PowerPublic Enemy,1989
2010,331,Patti Smith,Dancing Barefoot,Dancing BarefootPatti Smith,1979
2010,332,The Supremes,Baby Love,Baby LoveThe Supremes,1964
2010,333,The Young Rascals,Good Lovin',Good Lovin'The Young Rascals,1966
2010,334,James Brown,Get Up (I Feel Like Being a) Sex Machine,Get Up (I Feel Like Being a) Sex MachineJames Brown,1970
2010,335,Jerry Butler and The Impressions,For Your Precious Love,For Your Precious LoveJerry Butler and The Impressions,1958
2010,336,The Doors,The End,The EndThe Doors,1967
2010,337,"Earth, Wind, and Fire",Way of the World,"Way of the WorldEarth, Wind, and Fire",1975
2010,338,Queen,We Will Rock You,We Will Rock YouQueen,1977
2010,339,Bonnie Raitt,I Can't Make You Love Me,I Can't Make You Love MeBonnie Raitt,1991
2010,340,Bob Dylan,Subterranean Homesick Blues,Subterranean Homesick BluesBob Dylan,1965
