School Name,District,Address,Mascot,Tier 1 Category,Tier 2 Category,Latitude,Longitude
Putnam County High School,Putnam County R-I School District,"803 S 20th St, Unionville, MO 63565",Midgets,Historical/Military Figures,Civic/Community Identity,40.4698435,-93.0061925
Knox County High School,Knox County R-I School District,"55701 State Hwy 6, Edina, MO 63537",Eagles,Animals,Birds of Prey,40.1675386,-92.1726821
Bowling Green High School,Bowling Green R-I School District,"700 W Adams St, Bowling Green, MO 63334",Bobcats,Animals,Big Cats & Wildcats,39.3369914,-91.2005439
Clopton High School,Clopton C-1 School District,"28176 Hwy WW, Clarksville, MO 63336",Hawks,Animals,Birds of Prey,39.3706026,-90.9051315
South Shelby High School,Shelby County R-IV School District,"4154 Highway 36, Shelbina, MO 63468",Cardinals,Animals,Songbirds & Poultry,39.6939275,-92.0429502
Blue Springs High School,Blue Springs R-IV School District,"2000 NW Ashton Dr, Blue Springs, MO 64015",Wildcats,Animals,Big Cats & Wildcats,39.0260009,-94.2880965
Blue Springs South High School,Blue Springs R-IV School District,"3200 SW Eagles Pkwy, Blue Springs, MO 64015",Jaguars,Animals,Other Mammals,39.0038606,-94.2526196
Lee's Summit High School,Lee's Summit R-VII School District,"400 SE Blue Pkwy, Lee's Summit, MO 64063",Tigers,Animals,Big Cats & Wildcats,38.9061619,-94.3658956
Lee's Summit West High School,Lee's Summit R-VII School District,"2600 SW Ranson Rd, Lee's Summit, MO 64082",Titans,Mythical & Legendary Beings,Titanic/Giant Figures,38.8732472,-94.4027828
Lee's Summit North High School,Lee's Summit R-VII School District,"901 NE Douglas St, Lee's Summit, MO 64086",Broncos,Animals,Farm & Hoofed Animals,38.9287368,-94.3749199
Raymore-Peculiar High School,Raymore-Peculiar R-II School District,"21005 School Rd, Peculiar, MO 64078",Panthers,Animals,Big Cats & Wildcats,38.7418656,-94.4584327
Belton High School,Belton 124 School District,"401 Markey Pkwy, Belton, MO 64012",Pirates,Historical/Military Figures,Civic/Community Identity,38.8275214,-94.5256535
Grain Valley High School,Grain Valley R-V School District,"551 SW Eagles Pkwy, Grain Valley, MO 64029",Eagles,Animals,Birds of Prey,39.0092871,-94.2062903
Liberty High School,Liberty Public School District,"200 Blue Jay Dr, Liberty, MO 64068",Blue Jays,Animals,Songbirds & Poultry,39.2467540,-94.4490419
Oak Park High School,North Kansas City School District,"825 NE 79th Terr, Kansas City, MO 64118",Northmen,Historical/Military Figures,Norse/Viking Figures,39.2366941,-94.5698273
Winnetonka High School,North Kansas City School District,"5815 NE 48th St, Kansas City, MO 64119",Griffins,Mythical & Legendary Beings,Mythical Creatures,39.1782216,-94.5097079
Staley High School,North Kansas City School District,"2800 NE Shoal Creek Pkwy, Kansas City, MO 64157",Falcons,Animals,Birds of Prey,39.2916000,-94.5421004
North Kansas City High School,North Kansas City School District,"620 E 23rd Ave, North Kansas City, MO 64116",Hornets,Objects/Characters/Other,Insects,39.1452722,-94.5733888
Southeast High School,Kansas City Public Schools,"3500 E Meyer Blvd, Kansas City, MO 64132",Knights,Historical/Military Figures,Medieval Warriors,39.0078236,-94.5459150
Pleasant Hill High School,Pleasant Hill R-III School District,"1 Rooster Way, Pleasant Hill, MO 64080",Roosters,Animals,Songbirds & Poultry,38.7864836,-94.2540448
Lexington High School,Lexington R-V School District,"2309 Aull Ln, Lexington, MO 64067",Minutemen,Historical/Military Figures,American Historical Soldiers,39.1741207,-93.8676866
Odessa High School,Odessa R-VII School District,"713 S 3rd St, Odessa, MO 64076",Bulldogs,Animals,Canines,38.9891939,-93.9563188
Concordia High School,Concordia R-II School District,"117 SW 11th St, Concordia, MO 64020",Orioles,Animals,Songbirds & Poultry,38.9772423,-93.5709236
Lafayette County High School,Lafayette County C-1 School District,"807A W 31st St, Higginsville, MO 64037",Huskers,Historical/Military Figures,Civic/Community Identity,39.0645035,-93.7258312
Sweet Springs High School,Sweet Springs R-VII School District,"600 E Marshall St, Sweet Springs, MO 65351",Greyhounds,Animals,Canines,38.9649346,-93.4106775
Clinton High School,Clinton School District,"1106 S 2nd St, Clinton, MO 64735",Cardinals,Animals,Songbirds & Poultry,38.3576511,-93.7712437
Butler High School,Butler R-V School District,"420 S Fulton St, Butler, MO 64730",Bears,Animals,Other Mammals,38.2522149,-94.3360815
Lathrop High School,Lathrop R-II School District,"102 N School Dr, Lathrop, MO 64465",Mules,Animals,Farm & Hoofed Animals,39.5607318,-94.3305603
Mid-Buchanan High School,Mid-Buchanan R-V School District,"3221 SE State Route H, Faucett, MO 64448",Dragons,Mythical & Legendary Beings,Mythical Creatures,39.6006007,-94.8010190
La Monte High School,La Monte R-IV School District,"301 S Washington St, La Monte, MO 65337",Vikings,Historical/Military Figures,Norse/Viking Figures,38.7722790,-93.4193330
Central High School (Springfield),Springfield Public Schools (R-XII),"423 E Central St, Springfield, MO 65807",Bulldogs,Animals,Canines,37.2183570,-93.2885196
Kickapoo High School,Springfield Public Schools (R-XII),"3710 S Jefferson Ave, Springfield, MO 65807",Chiefs,Historical/Military Figures,Native American Figures,37.1476779,-93.2891351
Hillcrest High School,Springfield Public Schools (R-XII),"3319 N Grant Ave, Springfield, MO 65803",Hornets,Objects/Characters/Other,Insects,37.2578240,-93.2991470
Parkview High School,Springfield Public Schools (R-XII),"516 W Meadowmere St, Springfield, MO 65807",Vikings,Historical/Military Figures,Norse/Viking Figures,37.1908723,-93.2968706
Glendale High School,Springfield Public Schools (R-XII),"2727 S Ingram Mill Rd, Springfield, MO 65804",Falcons,Animals,Birds of Prey,37.1632833,-93.2276021
Nixa High School,Nixa Public Schools (R-II),"514 S Nicholas Rd, Nixa, MO 65714",Eagles,Animals,Birds of Prey,37.0325505,-93.3252194
Ozark High School,Ozark School District (R-VI),"1350 W Bluff Dr, Ozark, MO 65721",Tigers,Animals,Big Cats & Wildcats,37.0317132,-93.2171286
Branson High School,Branson Public Schools (R-IV),"935 Buchanan St, Branson, MO 65616",Pirates,Historical/Military Figures,Civic/Community Identity,36.6980441,-93.2324840
Reeds Spring High School,Reeds Spring R-IV School District,"20277A State Hwy 413, Reeds Spring, MO 65737",Wolves,Animals,Canines,36.7497827,-93.3779642
Logan-Rogersville High School,Logan-Rogersville R-VIII School District,"4700 S State Hwy 125, Rogersville, MO 65742",Wildcats,Animals,Big Cats & Wildcats,37.1236945,-93.1177062
Marshfield High School,Marshfield R-I School District,"370 State Hwy DD, Marshfield, MO 65706",Blue Jays,Animals,Songbirds & Poultry,37.3371209,-92.9065915
Bolivar High School,Bolivar R-I School District,"1401 N Pomme De Terre Ave, Bolivar, MO 65613",Liberators,Historical/Military Figures,American Historical Soldiers,37.6234210,-93.3928010
Webb City High School,School District of Webb City R-VII,"621 N Madison St, Webb City, MO 64870",Cardinals,Animals,Songbirds & Poultry,37.1379290,-94.4832243
Aurora High School,Aurora R-VIII School District,"305 W Prospect St, Aurora, MO 65605",Houn' Dawgs,Animals,Canines,36.9549036,-93.7265504
Monett High School,Monett R-I School District,"1 David Sippy Dr, Monett, MO 65708",Cubs,Animals,Other Mammals,36.9303750,-93.9075060
Mount Vernon High School,Mount Vernon R-V School District,"400 W Hwy 174, Mount Vernon, MO 65712",Mountaineers,Historical/Military Figures,Civic/Community Identity,37.1140670,-93.8239574
Marion C. Early High School,Marion C. Early R-V School District,"5309 S Main St, Morrisville, MO 65710",Panthers,Animals,Big Cats & Wildcats,37.4785117,-93.4279957
Spokane High School,Spokane R-VII School District,"1123 Spokane Rd, Spokane, MO 65754",Owls,Animals,Birds of Prey,36.8610319,-93.2973237
Sparta High School,Sparta R-III School District,"217 W Division St, Sparta, MO 65753",Trojans,Historical/Military Figures,Ancient & Classical Warriors,37.0046978,-93.0767066
El Dorado Springs High School,El Dorado Springs R-II School District,"901 S Grand Ave, El Dorado Springs, MO 64744",Bulldogs,Animals,Canines,37.8679953,-94.0194744
McDonald County High School,McDonald County R-I School District,"100 Mustang Dr, Anderson, MO 64831",Mustangs,Animals,Farm & Hoofed Animals,36.6438724,-94.4258997
Buffalo High School,Dallas County R-I School District,"500 W Main St, Buffalo, MO 65622",Bisons,Animals,Farm & Hoofed Animals,37.6425467,-93.0964538
Greenwood Laboratory School,Missouri State University (Laboratory School),"901 S National Ave, Springfield, MO 65897",Blue Jays,Animals,Songbirds & Poultry,37.2017202,-93.2807714
Crane High School,Crane R-III School District,"209 Pirate Ln, Crane, MO 65633",Pirates,Historical/Military Figures,Civic/Community Identity,36.8956826,-93.5712634
Diamond High School,Diamond R-IV School District,"405 W Main St, Diamond, MO 64840",Wildcats,Animals,Big Cats & Wildcats,37.0024035,-94.3146298
Rock Bridge High School,Columbia Public Schools,"4303 S Providence Rd, Columbia, MO 65203",Bruins,Animals,Other Mammals,38.9028180,-92.3351381
Jefferson City High School,Jefferson City Public Schools,"609 Union St, Jefferson City, MO 65101",Jays,Animals,Songbirds & Poultry,38.5627444,-92.1763736
Battle High School,Columbia Public Schools,"7575 East St. Charles Rd, Columbia, MO 65202",Spartans,Historical/Military Figures,Ancient & Classical Warriors,38.9710166,-92.2204635
Southern Boone High School,Southern Boone County R-I School District,"14520 Crump Ln, Ashland, MO 65010",Eagles,Animals,Birds of Prey,38.7808971,-92.2589640
Blair Oaks High School,Blair Oaks R-II School District,"6124 Falcon Ln, Jefferson City, MO 65101",Falcons,Animals,Birds of Prey,38.5773590,-92.1724265
California High School,California R-I School District,"1501 West Buchanan St, California, MO 65018",Pintos,Animals,Farm & Hoofed Animals,38.6337985,-92.5925130
Hickman High School,Columbia Public Schools,"1104 North Providence Rd, Columbia, MO 65203",Kewpies,Objects/Characters/Other,Dolls/Pop-Culture Characters,38.9627681,-92.3316779
Boonville High School,Boonville R-I School District,"1 Pirate Dr, Boonville, MO 65233",Pirates,Historical/Military Figures,Civic/Community Identity,38.9406982,-92.7698227
Eldon High School,Eldon R-I School District,"101 S Pine St, Eldon, MO 65026",Mustangs,Animals,Farm & Hoofed Animals,38.3500584,-92.5822496
Mexico High School,Mexico School District 59,"639 North Wade St, Mexico, MO 65265",Bulldogs,Animals,Canines,39.1771604,-91.8900755
Fulton High School,Fulton 58 School District,"1 Hornet Dr, Fulton, MO 65251",Hornets,Objects/Characters/Other,Insects,38.8720429,-91.9392702
Centralia High School,Centralia R-VI School District,"849 S Jefferson St, Centralia, MO 65240",Panthers,Animals,Big Cats & Wildcats,39.2002510,-92.1340593
Moberly High School,Moberly School District,"1625 Gratz Brown Rd, Moberly, MO 65270",Spartans,Historical/Military Figures,Ancient & Classical Warriors,39.3978234,-92.4250845
Central High School (Cape Girardeau),Cape Girardeau School District,"1000 South Silver Springs Rd, Cape Girardeau, MO 63703",Tigers,Animals,Big Cats & Wildcats,37.2761967,-89.5655443
Jackson High School,Jackson R-II School District,"315 S Missouri St, Jackson, MO 63755",Indians,Historical/Military Figures,Native American Figures,37.3796598,-89.6695022
Poplar Bluff High School,Poplar Bluff R-I School District,"3209 Oak Grove Rd, Poplar Bluff, MO 63901",Mules,Animals,Farm & Hoofed Animals,36.7888908,-90.4512749
Charleston High School,Charleston R-I School District,"606 South Thorn St, Charleston, MO 63834",Blue Jays,Animals,Songbirds & Poultry,36.9167619,-89.3376612
Dexter High School,Dexter R-XI School District,"1101 W Grant St, Dexter, MO 63841",Bearcats,Animals,Big Cats & Wildcats,36.7889880,-89.9754044
Kennett High School,Kennett School District 39,"1400 W Washington, Kennett, MO 63857",Indians,Historical/Military Figures,Native American Figures,36.2388832,-90.0716209
New Madrid County Central High School,New Madrid County R-I School District,"310 Highway 61 North, New Madrid, MO 63869",Eagles,Animals,Birds of Prey,36.5734628,-89.5856162
Perryville High School,Perry County 32 School District,"326 College St, Perryville, MO 63775",Pirates,Historical/Military Figures,Civic/Community Identity,37.7204513,-89.8598221
Farmington Senior High School,Farmington R-VII School District,"1 Black Knight Dr, Farmington, MO 63640",Knights,Historical/Military Figures,Medieval Warriors,37.7807630,-90.4362220
Fredericktown High School,Fredericktown R-I School District,"805 E Hwy 72, Fredericktown, MO 63645",Blackcats,Animals,Big Cats & Wildcats,37.5657847,-90.2786103
Scott City High School,Scott City R-I School District,"3000 Main St, Scott City, MO 63780",Rams,Animals,Farm & Hoofed Animals,37.2142176,-89.5487006
Chaffee High School,Chaffee R-II School District,"517 W Yoakum St, Chaffee, MO 63740",Red Devils,Objects/Characters/Other,Color/Persona,37.1844791,-89.6654550
