ID,deaths,pumpID,distpump,distBSpump,BSpump,COORD_X,COORD_Y,Latitude,Longitude,geom_source
19,4,1,86.957569444555205,86.957,1,529314.132180806016549,180997.381113124429248,51.51311119,-0.13786487,point_from_csv_bng
20,3,1,85.526419432857168,85.526,1,529317.997149086673744,180991.274680827977136,51.51305543,-0.13781144,point_from_csv_bng
21,2,2,74.926510305212034,145.814,0,529250.957853543688543,181032.509987638797611,51.51344133,-0.13876188,point_from_csv_bng
22,1,2,63.115960750772572,150.569,0,529247.968953609466553,181049.246391925844364,51.51359241,-0.13879880,point_from_csv_bng
23,2,2,64.738123276045371,165.160,0,529231.448344526928850,181027.674720335169695,51.51340233,-0.13904464,point_from_csv_bng
24,2,2,69.875524443485730,159.875,0,529236.710886237095110,181025.275304194830824,51.51337957,-0.13896973,point_from_csv_bng
25,2,2,72.093579103964558,152.631,0,529244.001543328980915,181028.933471527008805,51.51341077,-0.13886338,point_from_csv_bng
26,1,2,63.491887284793364,148.540,0,529251.046003098832443,181054.780703314580023,51.51364145,-0.13875245,point_from_csv_bng
27,1,2,57.709426880987003,153.681,0,529247.036808385513723,181060.462205742252991,51.51369342,-0.13880812,point_from_csv_bng
28,3,2,52.750130408185385,158.424,0,529243.569958940381184,181066.099011120211799,51.51374487,-0.13885599,point_from_csv_bng
29,1,2,53.403653024157734,158.506,0,529241.624686534982175,181058.396513624466024,51.51367609,-0.13888682,point_from_csv_bng
30,1,2,39.936460683422965,180.664,0,529217.411087858956307,181048.161029804672580,51.51358964,-0.13923932,point_from_csv_bng
31,1,2,29.991859986553798,187.673,0,529211.519768803613260,181056.181765742425341,51.51366307,-0.13932123,point_from_csv_bng
32,1,2,45.614777966787891,184.728,0,529212.340483479900286,181038.313576083630323,51.51350231,-0.13931595,point_from_csv_bng
33,2,2,32.714865734145064,206.437,0,529191.300445397733711,181046.709147149522323,51.51358256,-0.13961592,point_from_csv_bng
34,2,2,38.369713843241406,213.025,0,529184.245796320727095,181041.939469101955183,51.51354131,-0.13971927,point_from_csv_bng
35,1,2,72.725661660359293,236.520,0,529160.337379582109861,181014.205880244146101,51.51329754,-0.14007377,point_from_csv_bng
36,1,2,73.562567748166714,168.538,0,529228.341516506392509,181015.153689763683360,51.51329052,-0.13909398,point_from_csv_bng
37,1,2,96.297729086941445,213.462,0,529187.272968828445300,180983.264854729000945,51.51301333,-0.13969715,point_from_csv_bng
38,1,2,102.976813654501427,189.316,0,529213.091001354507171,180978.516137992672157,51.51296475,-0.13932704,point_from_csv_bng
39,2,2,110.931292113665151,190.584,0,529213.965931284823455,180970.581212666176725,51.51289324,-0.13931735,point_from_csv_bng
40,8,2,105.180679803490136,179.847,0,529222.825202039326541,180978.696752316260245,51.51296415,-0.13918678,point_from_csv_bng
41,2,2,102.122713654583805,168.137,0,529233.122584654018283,180985.710917124408297,51.51302483,-0.13903590,point_from_csv_bng
42,1,2,98.062961356162262,179.871,0,529221.101595395943150,180985.609562292695045,51.51302667,-0.13920907,point_from_csv_bng
43,1,1,134.682462276511274,134.682,1,529275.922782895388082,180965.225608538952656,51.51283096,-0.13842697,point_from_csv_bng
44,1,2,128.963688789983109,145.008,0,529262.096374614862725,180970.838170031143818,51.51288455,-0.13862405,point_from_csv_bng
45,1,1,134.331214469029391,134.331,1,529299.770194064360112,180931.948779021680821,51.51252646,-0.13809570,point_from_csv_bng
46,1,8,130.685901582106510,136.023,0,529304.188016151660122,180925.247845761594363,51.51246523,-0.13803453,point_from_csv_bng
47,4,8,126.949682047596909,136.612,0,529307.832120623788796,180921.219966338831000,51.51242820,-0.13798352,point_from_csv_bng
48,1,8,124.905858389725267,141.544,0,529302.229016779805534,180919.569458840938751,51.51241464,-0.13806482,point_from_csv_bng
49,1,8,135.120454285941662,140.659,0,529293.015683272038586,180929.896156520990189,51.51250955,-0.13819373,point_from_csv_bng
50,1,8,123.349151150844321,133.635,0,529319.484133616206236,180915.926820724969730,51.51237796,-0.13781764,point_from_csv_bng
51,1,1,120.855893363939813,120.855,1,529330.516324008000083,180923.876083276642021,51.51244688,-0.13765584,point_from_csv_bng
52,4,1,113.991002834312070,113.990,1,529335.361117071937770,180928.918434798484668,51.51249108,-0.13758421,point_from_csv_bng
53,1,8,125.881161190412129,127.453,0,529331.110300996922888,180915.727960892661940,51.51237352,-0.13765027,point_from_csv_bng
54,1,1,123.969936576610451,123.969,1,529345.127460486954078,180912.294861518603284,51.51233946,-0.13744964,point_from_csv_bng
55,1,1,119.308430964238497,119.308,1,529350.173235310008749,180915.169307213451248,51.51236414,-0.13737592,point_from_csv_bng
56,1,1,122.633484166928000,122.633,1,529353.686518320580944,180910.197432234010193,51.51231865,-0.13732714,point_from_csv_bng
57,1,1,91.690310507378982,91.690,1,529377.156301072565839,180935.471335906186141,51.51254041,-0.13697985,point_from_csv_bng
58,2,1,84.878569245458266,84.878,1,529362.932618481107056,180947.147176573285833,51.51264859,-0.13718043,point_from_csv_bng
59,1,1,76.957680751995454,76.957,1,529371.705056645441800,180952.245479739678558,51.51269240,-0.13705222,point_from_csv_bng
60,1,1,83.182656417200704,83.182,1,529326.339691362343729,180980.483109915454406,51.51295654,-0.13769524,point_from_csv_bng
61,1,1,87.872549789897406,87.872,1,529338.145264861173928,180959.433005698316265,51.51276467,-0.13753293,point_from_csv_bng
62,2,1,81.340048405348014,81.340,1,529346.007526406785473,180961.353050673962571,51.51278013,-0.13741899,point_from_csv_bng
63,1,1,83.920341851459099,83.920,1,529349.722725074272603,180955.443939224700443,51.51272618,-0.13736764,point_from_csv_bng
64,1,1,86.443333889384277,86.443,1,529352.818724091397598,180950.519680043158587,51.51268121,-0.13732486,point_from_csv_bng
65,2,1,76.476252208990914,76.476,1,529337.878931861370802,180976.030279910075478,51.51291389,-0.13753068,point_from_csv_bng
66,2,1,70.188916375376280,70.189,1,529335.353686205809936,180990.712624590843916,51.51304641,-0.13756167,point_from_csv_bng
67,1,1,62.898742742948393,62.898,1,529341.920218887971714,180993.906730727583636,51.51307361,-0.13746592,point_from_csv_bng
68,2,1,57.313600855874462,57.313,1,529347.425457912147976,180995.554115712002385,51.51308716,-0.13738603,point_from_csv_bng
69,3,1,50.578723171502538,50.578,1,529352.889919839566574,180999.539413630438503,51.51312172,-0.13730586,point_from_csv_bng
70,1,1,33.889356628451196,33.889,1,529367.760807034093887,181007.185131854901556,51.51318703,-0.13708888,point_from_csv_bng
71,4,1,26.817862082692816,26.817,1,529374.095458124880679,181010.398346032248810,51.51321446,-0.13699647,point_from_csv_bng
72,15,1,16.740519115741336,16.740,1,529383.540103131206706,181014.522525832697283,51.51324936,-0.13685893,point_from_csv_bng
73,3,1,10.887596531723586,10.887,1,529389.121781914844178,181017.097429526736960,51.51327122,-0.13677759,point_from_csv_bng
74,4,1,5.257965546518053,5.257,1,529394.065151228103787,181020.425304649397731,51.51330000,-0.13670517,point_from_csv_bng
75,5,1,23.556082206639360,23.556,1,529409.150137506308965,181005.174767964112107,51.51315950,-0.13649350,point_from_csv_bng
76,2,1,43.139706118095226,43.139,1,529420.931471279123798,180989.496140227478463,51.51301590,-0.13632957,point_from_csv_bng
77,1,1,49.701870410786050,49.701,1,529414.680934342555702,180978.805431462533306,51.51292126,-0.13642351,point_from_csv_bng
78,2,1,51.175407298996390,51.175,1,529407.844306183396839,180975.166677261353470,51.51289012,-0.13652331,point_from_csv_bng
79,1,1,53.800377420373152,53.800,1,529402.649948892416432,180971.626030693762004,51.51285949,-0.13659942,point_from_csv_bng
80,1,1,56.864268948940150,56.864,1,529395.832430535461754,180968.219155666243751,51.51283043,-0.13669886,point_from_csv_bng
81,1,1,63.119009742601818,63.118,1,529387.664408488664776,180962.589029503462370,51.51278171,-0.13681857,point_from_csv_bng
82,1,1,71.324063380673934,71.323,1,529377.120253657223657,180956.454364183067810,51.51272899,-0.13697268,point_from_csv_bng
83,1,1,56.806593656473588,56.806,1,529419.342759604100138,180973.051762054441497,51.51286848,-0.13635848,point_from_csv_bng
84,1,1,68.862067743751993,68.862,1,529400.924911364447325,180956.360160530370194,51.51272270,-0.13662987,point_from_csv_bng
85,1,1,76.629088811385358,76.629,1,529404.274456162005663,180948.847001524351072,51.51265441,-0.13658438,point_from_csv_bng
86,1,1,71.944783138144189,71.944,1,529415.339698607218452,180955.639085495204199,51.51271292,-0.13642252,point_from_csv_bng
87,1,1,83.831815261550133,83.831,1,529420.991490853484720,180944.901273559022229,51.51261513,-0.13634506,point_from_csv_bng
88,1,1,95.944962087207102,95.944,1,529414.937176640611142,180930.926020300132222,51.51249092,-0.13643738,point_from_csv_bng
89,1,1,101.296572625733603,101.296,1,529419.230795146082528,180926.369974427041598,51.51244899,-0.13637721,point_from_csv_bng
90,1,1,102.859236767983404,102.859,1,529431.701872866018675,180928.431488270580303,51.51246467,-0.13619684,point_from_csv_bng
91,1,6,98.120243380316111,109.531,0,529435.686390457442030,180922.798857636691537,51.51241314,-0.13614152,point_from_csv_bng
92,2,6,91.645416582534381,116.238,0,529438.609186303452589,180916.740413686318789,51.51235802,-0.13610165,point_from_csv_bng
93,1,6,81.500549932365928,126.987,0,529443.815120423561893,180907.242816066020168,51.51227148,-0.13603016,point_from_csv_bng
94,1,6,94.418485074684142,112.496,0,529424.179274289403111,180916.047486580326222,51.51235510,-0.13630973,point_from_csv_bng
95,4,6,49.943761614714845,158.495,0,529450.839234852930531,180876.207275472057518,51.51199096,-0.13594038,point_from_csv_bng
96,2,6,60.261392698539559,150.914,0,529456.310290142195299,180886.535988414718304,51.51208253,-0.13585779,point_from_csv_bng
97,1,6,54.983761112708663,157.754,0,529460.464759256807156,180880.889354811923113,51.51203084,-0.13580003,point_from_csv_bng
98,4,6,49.589381517019369,166.272,0,529466.418652290944010,180874.238900861062575,51.51196971,-0.13571672,point_from_csv_bng
99,4,6,67.157328046853621,194.771,0,529508.132161290734075,180865.496895607793704,51.51188160,-0.13511916,point_from_csv_bng
100,1,6,77.989989017812775,178.417,0,529505.905925125698559,180884.159676106821280,51.51204982,-0.13514437,point_from_csv_bng
101,4,6,86.794447789809539,150.201,0,529488.028374522924423,180905.994496280036401,51.51225014,-0.13539384,point_from_csv_bng
102,1,6,77.486838259534608,157.664,0,529487.216010975535028,180896.137370870681480,51.51216174,-0.13540915,point_from_csv_bng
103,1,6,80.747569076147201,150.567,0,529482.707636861247011,180901.642065896478016,51.51221224,-0.13547207,point_from_csv_bng
104,2,1,105.991583737758347,105.991,1,529461.330166621482931,180941.218026993272360,51.51257279,-0.13576543,point_from_csv_bng
105,1,1,101.586453591349667,101.586,1,529453.980277625727467,180941.310448131000157,51.51257531,-0.13587126,point_from_csv_bng
106,2,1,88.637527343754087,88.637,1,529446.465072263032198,180951.853888542798813,51.51267178,-0.13597563,point_from_csv_bng
107,3,1,81.364643644291363,81.364,1,529442.338618952780962,180957.840427371091209,51.51272652,-0.13603286,point_from_csv_bng
108,1,1,71.987165273746541,71.987,1,529436.440754900570028,180965.170690606348217,51.51279375,-0.13611512,point_from_csv_bng
109,4,1,64.668858221266021,64.668,1,529431.776437545660883,180970.859348744794261,51.51284594,-0.13618021,point_from_csv_bng
110,1,1,65.479567015405976,65.479,1,529438.428772418759763,180974.759826029534452,51.51287947,-0.13608297,point_from_csv_bng
111,1,1,57.880562306675486,57.880,1,529434.344339225324802,180981.256218033144251,51.51293878,-0.13613941,point_from_csv_bng
112,7,1,112.918104997381562,112.918,1,529491.090611852356233,180963.392609530012123,51.51276526,-0.13532867,point_from_csv_bng
113,3,1,120.741323779500576,120.741,1,529505.204260765342042,180972.508203574572690,51.51284394,-0.13512205,point_from_csv_bng
114,8,5,85.036620985530988,166.843,0,529539.212932115537114,180938.663537071028259,51.51253200,-0.13464467,point_from_csv_bng
115,1,5,64.702831642498552,195.947,0,529548.706689708516933,180901.699887003924232,51.51219765,-0.13452150,point_from_csv_bng
116,1,5,95.665362193393605,172.209,0,529517.756461302866228,180902.811590744880959,51.51221473,-0.13496685,point_from_csv_bng
117,5,1,110.966010058364347,110.966,1,529505.989504540571943,181006.980134852405172,51.51315355,-0.13509809,point_from_csv_bng
118,8,5,116.158355782682591,161.058,0,529555.152902681380510,180997.377804323798046,51.51305600,-0.13439353,point_from_csv_bng
119,2,5,130.562506601662022,151.417,0,529547.094168420764618,181009.348600313591305,51.51316542,-0.13450521,point_from_csv_bng
120,1,5,121.680713743154186,157.249,0,529552.035093696555123,181001.951837276748847,51.51309782,-0.13443676,point_from_csv_bng
121,1,5,140.613799033499362,144.471,0,529540.757581772515550,181017.271538179949857,51.51323807,-0.13459356,point_from_csv_bng
122,2,1,140.861596319837957,140.862,1,529537.349193996400572,181023.308547199179884,51.51329311,-0.13464043,point_from_csv_bng
123,1,1,136.090579205155620,136.091,1,529532.372363334288821,181032.764024125703145,51.51337922,-0.13470864,point_from_csv_bng
124,2,1,133.098881564143227,133.099,1,529528.930319619248621,181038.392657579039223,51.51343059,-0.13475615,point_from_csv_bng
125,2,1,99.942032430782646,99.942,1,529494.931834914488718,181042.428105505881831,51.51347464,-0.13524434,point_from_csv_bng
126,3,1,123.254987681075136,123.255,1,529519.165186039172113,181037.141701511805877,51.51342159,-0.13489726,point_from_csv_bng
127,1,1,106.878481634577781,106.879,1,529500.779236927512102,181048.524599928758107,51.51352809,-0.13515789,point_from_csv_bng
128,2,1,93.219586026553202,93.220,1,529487.989429604378529,181043.000266108312644,51.51348137,-0.13534412,point_from_csv_bng
129,2,1,114.896066511552362,114.896,1,529507.152813706314191,181056.016755815770011,51.51359396,-0.13506334,point_from_csv_bng
130,3,1,61.516790303447152,61.517,1,529457.015692121116444,181013.894365589483641,51.51322690,-0.13580091,point_from_csv_bng
131,1,1,65.431707050779579,65.432,1,529459.878831104375422,181008.724590814905241,51.51317979,-0.13576157,point_from_csv_bng
132,2,1,68.481007094021095,68.481,1,529461.500011372263543,181003.451596891332883,51.51313203,-0.13574015,point_from_csv_bng
133,1,1,78.161929550602252,78.162,1,529468.348201278713532,180994.253038920520339,51.51304780,-0.13564490,point_from_csv_bng
134,1,1,82.885403647888069,82.885,1,529471.466013678233139,180989.679002643912099,51.51300598,-0.13560167,point_from_csv_bng
135,1,1,95.725136033405619,95.725,1,529478.777567248442210,180976.125176751986146,51.51288250,-0.13550134,point_from_csv_bng
136,1,1,58.566280413911976,58.566,1,529454.731462303316221,181018.605279084120411,51.51326976,-0.13583208,point_from_csv_bng
137,3,1,44.922372689611791,44.923,1,529439.161482130293734,181039.212570315634366,51.51345851,-0.13604877,point_from_csv_bng
138,3,1,38.023671049293313,38.024,1,529432.937107169535011,181036.025195527530741,51.51343129,-0.13613959,point_from_csv_bng
139,3,1,31.295349044602261,31.296,1,529426.900092263123952,181032.616803511977196,51.51340205,-0.13622779,point_from_csv_bng
140,3,5,109.853949275994893,142.654,0,529514.434330567601137,180944.817153265641537,51.51259298,-0.13499928,point_from_csv_bng
141,1,5,96.874299108416125,155.020,0,529528.777997298631817,180944.251754927390721,51.51258461,-0.13479290,point_from_csv_bng
142,2,5,101.525604135739528,150.971,0,529521.703222082462162,180940.723313435097225,51.51255452,-0.13489609,point_from_csv_bng
143,1,5,106.438447382171802,147.452,0,529514.594790480332449,180936.786494651052635,51.51252077,-0.13499992,point_from_csv_bng
144,1,5,111.353546525184484,222.293,0,529618.113505054730922,181008.018188829650171,51.51313719,-0.13348283,point_from_csv_bng
145,1,5,123.335483172508177,236.578,0,529632.957503543351777,181018.512595392647199,51.51322810,-0.13326518,point_from_csv_bng
146,2,5,114.659398226209802,235.035,0,529631.025590679026209,181010.037663219438400,51.51315238,-0.13329612,point_from_csv_bng
147,1,5,132.668119225201764,259.439,0,529655.889381063403562,181022.378758635255508,51.51325759,-0.13293348,point_from_csv_bng
148,1,5,158.853581258991824,186.733,0,529581.212322128587402,181052.357165155524854,51.51354411,-0.13399802,point_from_csv_bng
149,1,5,168.377492079044771,185.055,0,529577.937315082061104,181061.398283259419259,51.51362611,-0.13404187,point_from_csv_bng
150,2,5,171.211047675947725,177.471,0,529569.981203914387152,181062.419458025542554,51.51363711,-0.13415608,point_from_csv_bng
151,2,5,157.943277145226745,180.045,0,529574.801965239224955,181049.961742464627605,51.51352405,-0.13409123,point_from_csv_bng
152,1,1,174.631435260905249,174.632,1,529561.402768539497629,181082.496206962096039,51.51381950,-0.13427227,point_from_csv_bng
153,1,1,175.186475889318729,175.187,1,529565.284109036088921,181071.943246962095145,51.51372377,-0.13422024,point_from_csv_bng
154,1,1,142.188645772962474,142.189,1,529531.772311999578960,181068.857671319681685,51.51370372,-0.13470404,point_from_csv_bng
155,1,1,141.799905242554672,141.800,1,529525.982214042916894,181082.857150497962721,51.51383085,-0.13478229,point_from_csv_bng
156,1,1,131.623568583093601,131.624,1,529509.912403684575111,181091.856367949279957,51.51391541,-0.13501044,point_from_csv_bng
157,1,1,124.422739430524487,124.423,1,529516.871328628971241,181056.563459907891229,51.51359665,-0.13492317,point_from_csv_bng
158,1,1,145.733885296195638,145.734,1,529518.309283527894877,181105.052085314528085,51.51403207,-0.13488466,point_from_csv_bng
159,5,1,181.136929120057800,181.137,1,529565.357872770633548,181090.575985109258909,51.51389120,-0.13421233,point_from_csv_bng
160,1,1,181.839954016290761,181.840,1,529571.088132700882852,181075.850508019619156,51.51375755,-0.13413521,point_from_csv_bng
161,1,1,179.067300149147286,179.068,1,529554.332533052307554,181109.608551617071498,51.51406477,-0.13436414,point_from_csv_bng
162,2,1,178.336380086243281,178.337,1,529548.372242704848759,181118.510086914873682,51.51414613,-0.13444672,point_from_csv_bng
163,2,1,179.553090417342418,179.554,1,529545.951778953196481,181124.545298846438527,51.51420092,-0.13447937,point_from_csv_bng
164,1,1,171.048720614923155,171.049,1,529533.490737830870785,181127.460320261714514,51.51422997,-0.13465777,point_from_csv_bng
165,1,1,193.244239783467094,193.245,1,529553.397659326088615,181137.834397067490499,51.51431864,-0.13436724,point_from_csv_bng
166,1,1,207.736297639236199,207.737,1,529566.318610037094913,181144.664892633270938,51.51437706,-0.13417863,point_from_csv_bng
167,1,1,207.617610582718015,207.618,1,529567.684333605458960,181142.492666695732623,51.51435723,-0.13415976,point_from_csv_bng
168,2,1,214.425124382645095,214.426,1,529573.932176126516424,181145.410521303710993,51.51438202,-0.13406870,point_from_csv_bng
169,2,1,214.661773460778221,214.662,1,529572.736933684675023,181147.568696718022693,51.51440168,-0.13408512,point_from_csv_bng
170,5,1,237.290257778668376,237.291,1,529590.694556916132569,181161.364558931905776,51.51452155,-0.13382141,point_from_csv_bng
171,1,1,229.978075324792997,229.979,1,529583.764791045337915,181158.502907752874307,51.51449742,-0.13392227,point_from_csv_bng
172,1,1,232.651104623539055,232.652,1,529588.867044250597246,181155.851090887270402,51.51447242,-0.13384976,point_from_csv_bng
173,1,1,241.841800248128749,241.842,1,529597.415440751938149,181159.609173576114699,51.51450423,-0.13372526,point_from_csv_bng
174,1,1,243.184782229602575,243.185,1,529595.905462729744613,181164.196233446709812,51.51454580,-0.13374532,point_from_csv_bng
175,4,1,248.164981364807318,248.165,1,529600.691103702643886,181166.033122935099527,51.51456121,-0.13367572,point_from_csv_bng
176,1,1,256.678545234383932,256.679,1,529608.387095201178454,181169.861456634418573,51.51459385,-0.13356346,point_from_csv_bng
177,2,1,261.606332356565588,261.607,1,529615.150129138026386,181168.617513620411046,51.51458112,-0.13346651,point_from_csv_bng
178,1,1,267.383523296188457,267.384,1,529620.190553099731915,181171.463237414602190,51.51460554,-0.13339287,point_from_csv_bng
179,1,1,316.495480519317653,316.496,1,529541.685034509166144,181306.213276860769838,51.51583449,-0.13447412,point_from_csv_bng
180,1,1,228.276071253354331,228.277,1,529489.041828584508039,181233.686669943970628,51.51519477,-0.13525898,point_from_csv_bng
181,1,1,219.701748111040928,219.702,1,529479.713857122231275,181228.345135493960697,51.51514890,-0.13539530,point_from_csv_bng
182,1,1,170.367381311224818,170.368,1,529437.152907046140172,181190.469339878822211,51.51481827,-0.13602221,point_from_csv_bng
183,3,1,167.437226077818792,167.438,1,529382.832655875827186,181191.891076744708698,51.51484348,-0.13680408,point_from_csv_bng
184,1,1,175.080164904965756,175.081,1,529397.950831139809452,181200.088315785455052,51.51491368,-0.13658332,point_from_csv_bng
185,1,1,146.509259214740638,146.510,1,529463.689320247154683,181155.231013430049643,51.51449552,-0.13565293,point_from_csv_bng
186,2,1,173.399560641302713,173.400,1,529468.192609470570460,181182.911794102226850,51.51474325,-0.13557791,point_from_csv_bng
187,1,1,177.359104749725560,177.360,1,529518.814392268657684,181153.465217170654796,51.51446703,-0.13485961,point_from_csv_bng
188,1,1,184.859518253100305,184.860,1,529530.653971696039662,181152.211698876402806,51.51445305,-0.13468954,point_from_csv_bng
189,1,1,210.903422809549767,210.904,1,529520.615074553294107,181195.533548957435414,51.51484467,-0.13481823,point_from_csv_bng
190,1,1,134.435446227202391,134.436,1,529460.481990775093436,181143.274708716664463,51.51438881,-0.13570351,point_from_csv_bng
191,1,1,140.585582232752927,140.586,1,529470.319257885799743,181144.685891871398780,51.51439924,-0.13556131,point_from_csv_bng
192,2,1,131.295749459129581,131.296,1,529464.441158175468445,181137.393572004279122,51.51433505,-0.13564865,point_from_csv_bng
193,1,1,131.222448305681326,131.223,1,529480.956871362752281,181125.478220774035435,51.51422419,-0.13541514,point_from_csv_bng
194,1,1,123.724384458229110,123.725,1,529469.785737953498028,181124.732451849384233,51.51422004,-0.13557632,point_from_csv_bng
195,2,1,127.638351767382304,127.639,1,529485.240415106411092,181116.792934556375258,51.51414515,-0.13535664,point_from_csv_bng
196,3,1,118.903739464617360,118.904,1,529477.106866346788593,181112.463917614426464,51.51410811,-0.13547537,point_from_csv_bng
197,2,1,117.339264924998702,117.340,1,529424.308983108843677,181139.034968912950717,51.51435899,-0.13622607,point_from_csv_bng
198,1,1,112.079919334946567,112.080,1,529417.324372244998813,181135.166742790141143,51.51432582,-0.13632809,point_from_csv_bng
199,1,1,137.369820193886454,137.370,1,529424.060373109183274,181159.608362912549637,51.51454393,-0.13622211,point_from_csv_bng
200,1,1,141.915422291473931,141.916,1,529431.252644535037689,181162.626246666186489,51.51456940,-0.13611741,point_from_csv_bng
201,1,1,145.425907805327824,145.426,1,529437.250498956069350,181164.631601898057852,51.51458605,-0.13603028,point_from_csv_bng
202,1,1,144.131982499884629,144.133,1,529420.789357500150800,181167.099239597213455,51.51461200,-0.13626647,point_from_csv_bng
203,2,1,138.346182901068033,138.347,1,529410.150250971317291,181162.698979691136628,51.51457489,-0.13642132,point_from_csv_bng
204,3,1,131.031716069210688,131.032,1,529374.734547505970113,181154.230390505050309,51.51450689,-0.13693452,point_from_csv_bng
205,3,1,105.381961089552135,105.382,1,529375.654649212956429,181128.324545280251186,51.51427387,-0.13693077,point_from_csv_bng
206,1,1,106.256561843563091,106.257,1,529384.732528403401375,181130.631544713745825,51.51429252,-0.13679918,point_from_csv_bng
207,1,1,80.193426095704837,80.194,1,529386.756108786561526,181104.634759374079295,51.51405843,-0.13677956,point_from_csv_bng
208,3,1,89.793126973924331,89.794,1,529392.309833311708644,181114.731241264904384,51.51414790,-0.13669587,point_from_csv_bng
209,1,1,69.075757787789001,69.076,1,529391.708113042521290,181093.950181182241067,51.51396128,-0.13671216,point_from_csv_bng
210,1,1,85.141101189168140,85.142,1,529432.388032587245107,181102.262675297679380,51.51402668,-0.13612320,point_from_csv_bng
211,1,1,95.428457249016517,95.429,1,529443.692549094092101,181107.996808722964488,51.51407562,-0.13595828,point_from_csv_bng
212,1,1,100.095084608346198,100.096,1,529448.885533126653172,181110.346242683997843,51.51409554,-0.13588262,point_from_csv_bng
213,2,1,107.339082948059897,107.340,1,529455.363876557326876,181114.811676944897044,51.51413419,-0.13578767,point_from_csv_bng
214,2,1,95.708035760726432,95.709,1,529451.369312227005139,181103.475430292717647,51.51403323,-0.13584937,point_from_csv_bng
215,4,1,86.103932037261870,86.104,1,529440.454345307778567,181099.097901419678237,51.51399639,-0.13600818,point_from_csv_bng
216,5,1,79.389578247479989,79.390,1,529434.274606270366348,181094.885597623011563,51.51395995,-0.13609873,point_from_csv_bng
217,2,1,75.548203652222924,75.549,1,529429.402962208609097,181093.065162790124305,51.51394470,-0.13616957,point_from_csv_bng
218,5,1,97.951125280861802,97.952,1,529477.250918465899304,181080.511741303082090,51.51382094,-0.13548502,point_from_csv_bng
219,5,1,115.855473058064121,115.856,1,529484.450731428340077,181100.471253272437025,51.51399866,-0.13537400,point_from_csv_bng
220,3,1,90.749478758313600,90.750,1,529470.610389930545352,181077.448381900903769,51.51379493,-0.13558179,point_from_csv_bng
221,3,1,83.386550308621807,83.387,1,529463.947125262231566,181074.109154033998493,51.51376644,-0.13567898,point_from_csv_bng
222,1,1,73.076866379329999,73.077,1,529454.664633514941670,181069.319339819136076,51.51372552,-0.13581444,point_from_csv_bng
223,5,1,65.794170773899168,65.795,1,529448.507632585242391,181065.382903048652224,51.51369156,-0.13590456,point_from_csv_bng
224,4,1,59.667118891898511,59.668,1,529442.487046215916052,181063.101674200384878,51.51367244,-0.13599211,point_from_csv_bng
225,4,1,42.736795444631696,42.737,1,529427.093023070716299,181054.927155544690322,51.51360250,-0.13621683,point_from_csv_bng
226,1,1,16.827432253174958,16.828,1,529402.325560767319985,181040.859341654169839,51.51348174,-0.13657871,point_from_csv_bng
227,4,1,13.039017877736185,13.040,1,529395.707764663151465,181038.071845018246677,51.51345821,-0.13667504,point_from_csv_bng
